,alpha,n_dim,n_scores,coverage_vol,coverage_cal,coverage_test,runtime
0,0.2,2,50,142.01716740810758,0.8199999999999997,0.7982000000000002,0.0005572867393493652
1,0.2,2,60,148.94343938796882,0.8178333333333329,0.8121666666666667,0.0005493664741516113
2,0.2,2,70,147.38760198317604,0.825142857142857,0.8142857142857138,0.0005556654930114746
3,0.2,2,80,142.41657243626622,0.8107500000000001,0.8057499999999999,0.0005573415756225586
4,0.2,2,90,140.7922283774033,0.814,0.8096666666666663,0.0005554914474487305
5,0.2,2,100,138.38864200948402,0.8106000000000003,0.7940000000000002,0.0005558276176452637
6,0.2,2,110,136.6197277299737,0.8045454545454543,0.7908181818181818,0.0005545377731323242
7,0.2,2,120,138.41140319725102,0.8127500000000002,0.7969999999999999,0.0005586051940917969
8,0.2,2,130,137.0017970903974,0.8123846153846153,0.8096923076923074,0.0005580115318298339
9,0.2,2,140,135.9941484771817,0.8109285714285714,0.7994285714285714,0.0005584049224853515
10,0.2,2,150,139.42785149532304,0.8140666666666667,0.8093333333333331,0.0005587267875671386
11,0.2,2,160,136.79556539561992,0.8101249999999999,0.8035624999999997,0.0005611801147460938
12,0.2,2,170,136.49466958803032,0.8053529411764706,0.8001176470588233,0.0005706238746643066
13,0.2,2,180,137.17572976210826,0.807666666666667,0.8011111111111114,0.0005618405342102051
14,0.2,2,190,135.47854633183528,0.8074736842105265,0.8011052631578944,0.0005637598037719726
15,0.2,2,200,134.2462113816088,0.8022500000000004,0.7925500000000002,0.0005630064010620117
16,0.2,2,210,133.01462353358954,0.8038571428571428,0.8003333333333329,0.0005639815330505372
17,0.2,2,220,134.1561803770729,0.8075454545454543,0.8009545454545451,0.0005647921562194824
18,0.2,2,230,135.1820588014124,0.8056956521739121,0.8009999999999997,0.0005675172805786133
19,0.2,2,240,136.16648695991273,0.8055,0.8063750000000001,0.0005666804313659668
20,0.2,2,250,134.1768420410539,0.8055199999999999,0.8019600000000001,0.0005749893188476562
21,0.2,2,260,134.65887305192226,0.8077692307692311,0.8061923076923079,0.0005706429481506347
22,0.2,2,270,133.03226431553307,0.8037407407407408,0.7957037037037036,0.000568692684173584
23,0.2,2,280,133.24823768203962,0.80625,0.8003928571428571,0.0005713510513305664
24,0.2,2,290,132.3017463966854,0.7979655172413793,0.7949310344827587,0.0005666399002075195
25,0.2,2,300,135.9810952051618,0.8047666666666667,0.8019333333333334,0.0005656909942626953
26,0.2,2,310,137.89212625930665,0.8089354838709677,0.815290322580645,0.0005712342262268066
27,0.2,2,320,135.00786623767888,0.8071562500000001,0.80028125,0.0005726122856140137
28,0.2,2,330,132.15765504164037,0.8021212121212122,0.7968484848484849,0.0005760550498962403
29,0.2,2,340,134.83232254510287,0.8036470588235298,0.801029411764706,0.0005769109725952148
30,0.2,2,350,131.73533410161662,0.8024,0.7970571428571428,0.0005859661102294921
31,0.2,2,360,134.45746805142156,0.8038611111111109,0.8046388888888886,0.0005836820602416992
32,0.2,2,370,129.813878181402,0.7982702702702702,0.7931891891891891,0.0005859065055847167
33,0.2,2,380,132.94690147475967,0.8043421052631579,0.8028947368421053,0.0005963826179504394
34,0.2,2,390,133.57269034230666,0.8047435897435897,0.8029999999999999,0.0005969929695129394
35,0.2,2,400,133.02097544999376,0.8017499999999997,0.8002249999999997,0.0006013250350952148
36,0.2,2,410,134.15874421388068,0.8054634146341465,0.8036829268292685,0.000620577335357666
37,0.2,2,420,131.56862522421184,0.8041190476190476,0.7966666666666667,0.0006058955192565918
38,0.2,2,430,132.75143978039645,0.8036976744186046,0.7986279069767442,0.000604255199432373
39,0.2,2,440,132.65478822799813,0.8022727272727272,0.7995681818181819,0.0006168603897094727
40,0.2,2,450,133.75333715253407,0.8038000000000003,0.804755555555556,0.0006184267997741699
41,0.2,2,460,133.15583941141455,0.8039130434782601,0.796826086956521,0.0006224584579467774
42,0.2,2,470,134.33343578219387,0.8049787234042556,0.8037872340425531,0.0006362342834472656
43,0.2,2,480,133.38270465679352,0.8031874999999999,0.799541666666667,0.0006129026412963867
44,0.2,2,490,131.2572349931478,0.8009795918367345,0.7933469387755102,0.000628659725189209
45,0.2,2,500,134.30785350830877,0.8029199999999999,0.8025399999999999,0.0006269550323486328
46,0.2,2,510,132.73550274438603,0.8016862745098036,0.8022941176470586,0.0006285214424133301
47,0.2,2,520,132.0558740598586,0.8005000000000001,0.7993846153846159,0.0006322908401489258
48,0.2,2,530,132.8218233703053,0.8022452830188681,0.8005283018867924,0.0006341958045959473
49,0.2,2,540,131.418573749195,0.8015925925925926,0.795888888888889,0.0006340146064758301
50,0.2,2,550,134.81871596531462,0.8034181818181821,0.8076363636363638,0.0006213855743408204
51,0.2,2,560,132.81180088463802,0.8018750000000001,0.8011607142857143,0.000636742115020752
52,0.2,2,570,132.37368571763366,0.8009999999999999,0.7990526315789477,0.0006384658813476563
53,0.2,2,580,133.95597060254727,0.8047413793103444,0.8052931034482761,0.0006466984748840332
54,0.2,2,590,133.2607309734406,0.8027966101694914,0.8006610169491524,0.0006427240371704102
55,0.2,2,600,131.71112663107075,0.803533333333333,0.7993166666666665,0.0006278491020202636
56,0.2,2,610,132.4660548640411,0.7998032786885247,0.7995573770491805,0.0006482720375061036
57,0.2,2,620,131.8438193434664,0.8002903225806455,0.7962580645161289,0.0006468176841735839
58,0.2,2,630,131.94830203273528,0.8021269841269842,0.797507936507936,0.0006475520133972168
59,0.2,2,640,133.3664213179144,0.8046562500000001,0.8035468750000001,0.0006357359886169433
60,0.2,2,650,133.1030008041761,0.8029538461538462,0.8016615384615386,0.0006504034996032714
61,0.2,2,660,131.24377942091374,0.7998787878787875,0.7988636363636364,0.0006515288352966309
62,0.2,2,670,133.07438985762627,0.8017910447761192,0.8023731343283584,0.0006536436080932617
63,0.2,2,680,131.699822267176,0.799970588235294,0.8007647058823533,0.0006552314758300781
64,0.2,2,690,132.6825294929113,0.8023333333333325,0.8009855072463763,0.000659801959991455
65,0.2,2,700,131.30313802833902,0.7995857142857141,0.7978857142857142,0.0006435275077819824
66,0.2,2,710,130.95494014468926,0.8007323943661969,0.7974366197183099,0.00065812349319458
67,0.2,2,720,131.94468972809202,0.8019999999999999,0.8002499999999999,0.0006593060493469238
68,0.2,2,730,132.8542010928185,0.8005479452054797,0.8018219178082191,0.0006621241569519043
69,0.2,2,740,132.57319424016202,0.8018783783783782,0.8008918918918917,0.0006455278396606445
70,0.2,2,750,133.73094114826645,0.8034533333333336,0.8032400000000003,0.0006622552871704101
71,0.2,2,760,134.1017326437852,0.8044736842105265,0.8036052631578948,0.0006660652160644531
72,0.2,2,770,131.16050177921943,0.7992987012987011,0.7985844155844158,0.0006651830673217773
73,0.2,2,780,132.27675650066863,0.8026025641025646,0.8014615384615386,0.0006637310981750488
74,0.2,2,790,132.32069808455856,0.8022531645569622,0.8007594936708868,0.0006592249870300292
75,0.2,2,800,132.77485616632194,0.8003999999999999,0.8029624999999999,0.0006717681884765625
76,0.2,2,810,130.8275908513768,0.8025185185185185,0.7978024691358021,0.0006717967987060546
77,0.2,2,820,132.5979119254257,0.8030487804878047,0.8006951219512197,0.0006903219223022461
78,0.2,2,830,132.67556278219024,0.8022771084337351,0.803831325301205,0.0006619524955749511
