,alpha,n_dim,n_scores,coverage_vol,coverage_cal,coverage_test,runtime
0,0.2,2,50,187.31068757411413,0.8199999999999987,0.8038000000000001,2.7182102203369142e-05
1,0.2,2,60,196.62540579252698,0.8166666666666671,0.8228333333333333,2.6671886444091798e-05
2,0.2,2,70,172.7687436910576,0.8142857142857156,0.7992857142857145,2.691984176635742e-05
3,0.2,2,80,181.49036356746987,0.8125,0.8058750000000002,2.747535705566406e-05
4,0.2,2,90,177.45677570213874,0.8111111111111119,0.8018888888888889,2.74658203125e-05
5,0.2,2,100,177.08466053276868,0.8100000000000012,0.7967000000000002,2.8371810913085938e-05
6,0.2,2,110,176.8249530317629,0.8090909090909107,0.7978181818181818,2.9010772705078127e-05
7,0.2,2,120,171.92452104071631,0.8083333333333329,0.7891666666666669,2.9001235961914063e-05
8,0.2,2,130,174.50836464902204,0.8076923076923069,0.8046153846153848,3.3168792724609376e-05
9,0.2,2,140,172.50849578418845,0.8071428571428585,0.8002857142857144,3.295421600341797e-05
10,0.2,2,150,177.69666777220974,0.8066666666666668,0.8026666666666664,3.2520294189453126e-05
11,0.2,2,160,173.45936505334382,0.8062500000000005,0.8008125000000001,3.3974647521972656e-05
12,0.2,2,170,174.0966410934173,0.805882352941177,0.8033529411764707,3.36909294128418e-05
13,0.2,2,180,175.88013110856403,0.8055555555555567,0.8040555555555557,3.533601760864258e-05
14,0.2,2,190,172.3165505257458,0.8052631578947372,0.7946315789473686,3.505945205688477e-05
15,0.2,2,200,171.16833787222293,0.8050000000000013,0.7933999999999999,3.6814212799072265e-05
16,0.2,2,210,174.5884836264726,0.804761904761904,0.8005238095238093,3.635883331298828e-05
17,0.2,2,220,171.08476012983007,0.8045454545454531,0.7981363636363635,3.7543773651123047e-05
18,0.2,2,230,172.05191995048688,0.8043478260869549,0.800434782608695,3.765106201171875e-05
19,0.2,2,240,174.34211854028555,0.8041666666666656,0.8025000000000003,3.8514137268066404e-05
20,0.2,2,250,169.9488242378015,0.8040000000000009,0.7963600000000003,3.879547119140625e-05
21,0.2,2,260,175.22063057551645,0.803846153846153,0.8073076923076923,4.167795181274414e-05
22,0.2,2,270,169.99306247586082,0.8037037037037037,0.798925925925926,4.1170120239257814e-05
23,0.2,2,280,170.6840085429666,0.8035714285714295,0.7995000000000002,4.2819976806640624e-05
24,0.2,2,290,174.0573155341632,0.803448275862068,0.8033103448275867,4.294395446777344e-05
25,0.2,2,300,173.5819985901127,0.8033333333333329,0.8006666666666667,4.486560821533203e-05
26,0.2,2,310,175.02274814889017,0.8032258064516123,0.8070645161290322,4.546403884887695e-05
27,0.2,2,320,171.12687715885428,0.8031249999999995,0.7967187499999998,4.5928955078125e-05
28,0.2,2,330,169.56209232101872,0.8030303030303027,0.7991515151515148,4.61888313293457e-05
29,0.2,2,340,173.9114279650433,0.8029411764705879,0.8021764705882356,4.7039985656738284e-05
30,0.2,2,350,172.99427392317853,0.802857142857144,0.8017142857142858,4.7600269317626954e-05
31,0.2,2,360,170.85967102451866,0.8027777777777773,0.8005277777777782,4.7688484191894534e-05
32,0.2,2,370,168.80491908361975,0.802702702702703,0.7948108108108112,4.896163940429688e-05
33,0.2,2,380,172.99958683294187,0.8026315789473695,0.8029473684210524,4.941225051879883e-05
34,0.2,2,390,172.4308382009531,0.8025641025641039,0.8017948717948716,4.960060119628906e-05
35,0.2,2,400,173.27310292500457,0.8024999999999994,0.8033,5.165338516235352e-05
36,0.2,2,410,172.01540664162982,0.8024390243902434,0.8015609756097559,5.2337646484375e-05
37,0.2,2,420,169.644676598871,0.802380952380953,0.7959047619047621,5.189895629882813e-05
38,0.2,2,430,169.67579733365153,0.80232558139535,0.7972790697674421,5.3272247314453124e-05
39,0.2,2,440,172.8567989018095,0.8022727272727269,0.8014999999999998,5.3517818450927734e-05
40,0.2,2,450,172.69441915933672,0.8022222222222223,0.8021333333333333,5.3970813751220704e-05
41,0.2,2,460,172.0087021573957,0.8021739130434767,0.799108695652173,5.6636333465576175e-05
42,0.2,2,470,171.45473895791557,0.8021276595744671,0.8025957446808509,5.54203987121582e-05
43,0.2,2,480,170.86790971357152,0.8020833333333331,0.7964166666666668,5.642414093017578e-05
44,0.2,2,490,171.57779368270766,0.8020408163265299,0.7964897959183673,5.742311477661133e-05
45,0.2,2,500,172.60875738176242,0.8020000000000012,0.8019800000000002,5.80596923828125e-05
46,0.2,2,510,171.94800721272406,0.8019607843137254,0.8027843137254901,5.831241607666016e-05
47,0.2,2,520,170.88226522181475,0.8019230769230756,0.7982115384615384,6.187200546264648e-05
48,0.2,2,530,171.55993901106794,0.8018867924528322,0.8005283018867927,6.179094314575196e-05
49,0.2,2,540,171.68332398564212,0.8018518518518509,0.7979444444444446,6.243228912353516e-05
50,0.2,2,550,172.6074247493107,0.8018181818181818,0.8049636363636361,6.252765655517578e-05
51,0.2,2,560,169.60912156616317,0.801785714285714,0.7976785714285717,6.313323974609375e-05
52,0.2,2,570,170.33253864536348,0.8017543859649123,0.7995087719298242,6.417989730834961e-05
53,0.2,2,580,171.7463504417106,0.8017241379310331,0.8030172413793101,7.044792175292969e-05
54,0.2,2,590,170.43665517199875,0.8016949152542365,0.7971864406779663,7.368803024291992e-05
55,0.2,2,600,169.25900935655966,0.8016666666666665,0.7967166666666665,7.169246673583984e-05
56,0.2,2,610,171.4099783462064,0.801639344262297,0.7984590163934423,7.00068473815918e-05
57,0.2,2,620,170.66810324893657,0.8016129032258064,0.7977258064516132,7.171869277954102e-05
58,0.2,2,630,170.98070930243847,0.801587301587303,0.7984126984126988,7.726430892944336e-05
59,0.2,2,640,171.77310977995975,0.8015625000000014,0.7990625,6.986141204833984e-05
60,0.2,2,650,171.07991572953347,0.8015384615384614,0.8011538461538461,7.263660430908204e-05
61,0.2,2,660,172.0752796643351,0.8015151515151515,0.8036060606060613,7.117986679077149e-05
62,0.2,2,670,173.25769833710856,0.8014925373134346,0.804283582089552,7.228612899780273e-05
63,0.2,2,680,170.6549555988656,0.8014705882352942,0.7989264705882345,7.308483123779297e-05
64,0.2,2,690,170.84730623858883,0.8014492753623174,0.8005362318840571,7.346391677856445e-05
65,0.2,2,700,171.13587593247433,0.8014285714285723,0.8013857142857138,7.409095764160156e-05
66,0.2,2,710,171.42275035080362,0.8014084507042254,0.8017605633802815,7.437944412231446e-05
67,0.2,2,720,171.21679546979377,0.801388888888889,0.8025138888888891,7.463693618774414e-05
68,0.2,2,730,170.72208861383623,0.8013698630136991,0.8020821917808222,7.804155349731445e-05
69,0.2,2,740,171.97514062014957,0.8013513513513518,0.8042027027027031,7.662534713745117e-05
70,0.2,2,750,172.01623469590234,0.8013333333333325,0.8030533333333335,7.768154144287109e-05
71,0.2,2,760,172.19270557743752,0.8013157894736851,0.8026447368421055,8.056402206420899e-05
72,0.2,2,770,171.7975926170428,0.8012987012987012,0.8023506493506489,7.889747619628907e-05
73,0.2,2,780,169.79701788639474,0.8012820512820527,0.7987564102564106,7.988929748535156e-05
74,0.2,2,790,170.68233157915174,0.8012658227848121,0.7998987341772152,8.083820343017578e-05
75,0.2,2,800,171.78983528878453,0.8012500000000002,0.8015375000000001,8.139371871948242e-05
76,0.2,2,810,169.7291621434362,0.8012345679012338,0.7992716049382715,8.252143859863281e-05
77,0.2,2,820,171.06201994627332,0.8012195121951222,0.7987560975609754,8.352279663085937e-05
78,0.2,2,830,170.40879492613843,0.8012048192771078,0.8018554216867474,8.479118347167968e-05
79,0.2,2,840,170.35468448891032,0.8011904761904757,0.8011785714285709,8.460521697998047e-05
80,0.2,2,850,169.96366225664616,0.8011764705882356,0.7975176470588236,8.994817733764648e-05
81,0.2,2,860,168.82368740900776,0.8011627906976743,0.7961279069767443,8.645057678222657e-05
82,0.2,2,870,170.85284861479767,0.8011494252873577,0.8010689655172416,8.683204650878906e-05
83,0.2,2,880,169.05372041749698,0.801136363636364,0.7977727272727273,8.675098419189453e-05
84,0.2,2,890,171.04960035149736,0.8011235955056165,0.8026966292134822,8.846521377563477e-05
85,0.2,2,900,170.62022673859457,0.8011111111111119,0.7988111111111114,8.908510208129882e-05
86,0.2,2,910,171.7312774449452,0.801098901098901,0.7996483516483518,8.950471878051758e-05
87,0.2,2,920,169.41307354268736,0.8010869565217391,0.7977173913043475,9.108781814575196e-05
88,0.2,2,930,170.01264426719155,0.8010752688172047,0.7991720430107527,9.119272232055664e-05
89,0.2,2,940,170.5575667453228,0.8010638297872344,0.8003829787234045,9.916305541992188e-05
90,0.2,2,950,171.88019279506668,0.8010526315789461,0.8037368421052632,0.00010177850723266601
91,0.2,2,960,170.414272387497,0.8010416666666671,0.7995520833333332,9.835481643676757e-05
92,0.2,2,970,170.83929674601063,0.8010309278350521,0.7996288659793815,0.0001016855239868164
93,0.2,2,980,170.04413991104195,0.8010204081632666,0.797887755102041,0.00010144233703613282
94,0.2,2,990,169.78703935260083,0.8010101010101015,0.7996464646464645,9.869813919067383e-05
95,0.2,2,1000,170.794851988331,0.8010000000000008,0.8010199999999998,9.724855422973632e-05
96,0.2,2,1010,169.67479174294584,0.8009900990098997,0.7990495049504958,9.903192520141602e-05
97,0.2,2,1020,170.33887538691812,0.8009803921568632,0.8013039215686281,9.90605354309082e-05
98,0.2,2,1030,170.2386597948622,0.8009708737864074,0.8012038834951457,9.926557540893555e-05
99,0.2,2,1040,170.9810733747493,0.8009615384615372,0.7997980769230767,0.00010281801223754883
100,0.2,3,50,9668.98153125948,0.8199999999999987,0.7978000000000002,2.503633499145508e-05
101,0.2,3,60,9648.594084006527,0.8166666666666671,0.8045000000000003,2.530813217163086e-05
102,0.2,3,70,10011.04836143813,0.8142857142857156,0.7965714285714292,2.6593208312988283e-05
103,0.2,3,80,9575.356827241636,0.8125,0.8028749999999999,2.726316452026367e-05
104,0.2,3,90,9629.717142755582,0.8111111111111119,0.8105555555555555,2.7618408203125e-05
105,0.2,3,100,9784.514204472443,0.8100000000000012,0.8054000000000004,2.8121471405029298e-05
106,0.2,3,110,9629.948196874786,0.8090909090909107,0.7989090909090912,2.8963088989257813e-05
107,0.2,3,120,9392.836369878978,0.8083333333333329,0.80425,3.1201839447021485e-05
108,0.2,3,130,9441.836943604096,0.8076923076923069,0.8037692307692302,3.240585327148437e-05
109,0.2,3,140,9324.851716516034,0.8071428571428585,0.7987142857142857,3.224849700927734e-05
110,0.2,3,150,9189.926614960408,0.8066666666666668,0.8036666666666664,3.2782554626464844e-05
111,0.2,3,160,9193.04580288811,0.8062500000000005,0.7988750000000002,3.453493118286133e-05
112,0.2,3,170,9356.923523549294,0.805882352941177,0.7975294117647056,3.431320190429687e-05
113,0.2,3,180,9156.325029030373,0.8055555555555567,0.7980555555555562,3.530263900756836e-05
114,0.2,3,190,9169.136774187617,0.8052631578947372,0.8041052631578947,3.5784244537353516e-05
115,0.2,3,200,9064.08817931442,0.8050000000000013,0.7996499999999997,3.697872161865234e-05
116,0.2,3,210,9143.233407767575,0.804761904761904,0.8005238095238097,3.752470016479492e-05
117,0.2,3,220,9029.661748641027,0.8045454545454531,0.7970909090909091,3.857135772705078e-05
118,0.2,3,230,9270.262269192344,0.8043478260869549,0.8073043478260864,3.826618194580078e-05
119,0.2,3,240,9258.716370782786,0.8041666666666656,0.80325,3.890037536621094e-05
120,0.2,3,250,9005.986631059437,0.8040000000000009,0.8022800000000001,3.959178924560547e-05
121,0.2,3,260,9039.475165310125,0.803846153846153,0.7961923076923076,4.133462905883789e-05
122,0.2,3,270,9077.229638998091,0.8037037037037037,0.8021111111111111,4.197120666503906e-05
123,0.2,3,280,9157.750982532134,0.8035714285714295,0.8020714285714284,4.2328834533691404e-05
124,0.2,3,290,9106.764066645279,0.803448275862068,0.8009655172413794,4.334688186645508e-05
125,0.2,3,300,8995.073681252221,0.8033333333333329,0.7995666666666663,4.733562469482422e-05
126,0.2,3,310,8901.830526603684,0.8032258064516123,0.7961290322580649,4.477262496948242e-05
127,0.2,3,320,9225.526696008641,0.8031249999999995,0.80503125,4.5545101165771485e-05
128,0.2,3,330,9122.765605550767,0.8030303030303027,0.803060606060606,4.856586456298828e-05
129,0.2,3,340,9076.184428522767,0.8029411764705879,0.8005882352941179,4.7423839569091796e-05
130,0.2,3,350,9123.110742137034,0.802857142857144,0.8018000000000002,4.801034927368164e-05
131,0.2,3,360,8961.544984878197,0.8027777777777773,0.7979722222222222,4.832267761230469e-05
132,0.2,3,370,8891.490033154487,0.802702702702703,0.797054054054054,4.9593448638916013e-05
133,0.2,3,380,8960.53993518386,0.8026315789473695,0.800394736842105,5.128145217895508e-05
134,0.2,3,390,9005.814678734141,0.8025641025641039,0.8007948717948719,5.167245864868164e-05
135,0.2,3,400,9034.62136219276,0.8024999999999994,0.8016,5.151748657226563e-05
136,0.2,3,410,9101.646282565267,0.8024390243902434,0.8015365853658538,5.300521850585937e-05
137,0.2,3,420,8879.31756853455,0.802380952380953,0.7994761904761906,5.298137664794922e-05
138,0.2,3,430,9055.397786413987,0.80232558139535,0.8035348837209303,5.4051876068115236e-05
139,0.2,3,440,8924.667685356924,0.8022727272727269,0.7956363636363635,6.307125091552735e-05
140,0.2,3,450,8950.20798229838,0.8022222222222223,0.8001777777777777,6.099462509155274e-05
141,0.2,3,460,8845.677313642678,0.8021739130434767,0.7969130434782603,6.064891815185547e-05
142,0.2,3,470,9012.838144551079,0.8021276595744671,0.7995106382978728,5.861520767211914e-05
143,0.2,3,480,8878.706963488019,0.8020833333333331,0.7998124999999997,6.223440170288085e-05
144,0.2,3,490,8893.274525855084,0.8020408163265299,0.7985102040816326,6.52003288269043e-05
145,0.2,3,500,8885.817402666788,0.8020000000000012,0.7993400000000002,5.986690521240234e-05
146,0.2,3,510,9122.294597926739,0.8019607843137254,0.8057254901960783,5.9821605682373046e-05
147,0.2,3,520,8866.61862577058,0.8019230769230756,0.7992499999999998,6.395101547241211e-05
148,0.2,3,530,8910.942260300273,0.8018867924528322,0.800566037735849,6.285190582275391e-05
149,0.2,3,540,9016.222628299023,0.8018518518518509,0.802111111111111,6.30354881286621e-05
150,0.2,3,550,8964.83667648127,0.8018181818181818,0.798909090909091,6.38580322265625e-05
151,0.2,3,560,8970.546001323044,0.801785714285714,0.8010357142857144,6.445169448852539e-05
152,0.2,3,570,9024.802728946983,0.8017543859649123,0.8028070175438599,6.555080413818359e-05
153,0.2,3,580,9013.81929355041,0.8017241379310331,0.800241379310345,6.593942642211914e-05
154,0.2,3,590,8853.313287613148,0.8016949152542365,0.8005084745762707,6.686925888061524e-05
155,0.2,3,600,8909.97166440438,0.8016666666666665,0.7975333333333339,6.825923919677735e-05
156,0.2,3,610,8907.091603730336,0.801639344262297,0.8011311475409838,6.903648376464844e-05
157,0.2,3,620,9048.282872168633,0.8016129032258064,0.8006612903225806,6.902694702148437e-05
158,0.2,3,630,8857.39731055311,0.801587301587303,0.7973492063492061,7.260560989379882e-05
159,0.2,3,640,8908.075176536744,0.8015625000000014,0.8003281250000001,7.089853286743164e-05
160,0.2,3,650,8910.658565944106,0.8015384615384614,0.7986461538461533,7.135391235351562e-05
161,0.2,3,660,8888.85355885282,0.8015151515151515,0.7991212121212122,7.265567779541016e-05
162,0.2,3,670,8941.644297566883,0.8014925373134346,0.7992835820895526,7.32278823852539e-05
163,0.2,3,680,8925.31026031684,0.8014705882352942,0.7989117647058825,7.330894470214844e-05
164,0.2,3,690,8891.581649428423,0.8014492753623174,0.7972753623188396,7.486581802368164e-05
165,0.2,3,700,8991.856064590223,0.8014285714285723,0.8009857142857142,7.762670516967773e-05
