,alpha,n_dim,n_cals,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,runtime_1std
0,0.1,2,30,100,0.93718,0.064909008573074,1.660794026351234,0.17764002812493696,9.204207971686344,0.00028994083404541013,0.0004560259417302462
1,0.1,2,50,100,0.9153200000000001,0.0604589985448858,1.564634720107201,0.14239096044700977,8.496011128098797,0.0003099560737609863,0.0004654550460451666
2,0.1,2,100,100,0.9028999999999999,0.04061086583960534,1.5107214512018459,0.09036411366068879,8.106261691422262,0.0003301405906677246,0.0004727918097133914
3,0.1,2,300,100,0.9026600000000002,0.024222962642747065,1.495555003074355,0.04978018793097101,7.921653293673012,0.00037518501281738284,0.0004930165062194241
4,0.1,2,500,100,0.9001800000000002,0.01847541637151949,1.4887535009877881,0.03522068920647329,7.886885066515099,0.00042122840881347656,0.0004976786010160236
5,0.1,4,30,100,0.92814,0.06360119114569722,4.332838061176897,0.3543593817891216,22.06674085002338,0.00030013799667358396,0.0004607904598908036
6,0.1,4,50,100,0.9230800000000001,0.049486592409286254,4.1971646677927215,0.25693060439018145,20.718344855152097,0.0004299116134643555,0.0004975213433307835
7,0.1,4,100,100,0.9081200000000001,0.033679199587408316,4.0531632717532124,0.1493166999080074,18.870783079734288,0.00029985666275024415,0.0004603836561949611
8,0.1,4,300,100,0.9032800000000001,0.01824085767964021,3.9949982594993587,0.07084458309085082,17.9160982867347,0.00034027814865112305,0.0004764940441697106
9,0.1,4,500,100,0.9030000000000001,0.014134991326420406,3.98732172054675,0.06099329884079706,18.037090188357105,0.00035292625427246093,0.0004843979538019355
10,0.1,10,30,100,0.9332400000000003,0.06144310335175908,14.800050496225584,0.7219126967050431,73.23010895368576,0.00044005870819091797,0.0004990092565927659
11,0.1,10,50,100,0.9209999999999998,0.05648455585826137,14.390481416787885,0.6016815975478741,61.98707247270716,0.00023962974548339845,0.0004285788498278927
12,0.1,10,100,100,0.90124,0.04398418448543164,13.904981679863049,0.2952468984581045,56.1443136221087,0.00036041259765625,0.0004829885295630915
13,0.1,10,300,100,0.8982000000000001,0.028068458878933566,13.745837921622147,0.15339693739792054,52.505566095177656,0.00038010120391845703,0.00048811496722498836
14,0.1,10,500,100,0.8946400000000001,0.02724357768819151,13.695316448784888,0.13612752666243694,51.97161869694345,0.0003639984130859375,0.0004890777713879786
15,0.1,100,30,100,0.9378200000000001,0.05434130449057487,254.49217200256183,5.83217383988334,1260.3816199430105,0.00032993793487548826,0.0004725018658966318
16,0.1,100,50,100,0.9319000000000002,0.04883067011043717,248.46983973256806,4.122688896477652,1010.7869023230292,0.00038006305694580076,0.0004879226384941909
17,0.1,100,100,100,0.9017000000000001,0.04643785898891924,242.8029847478327,2.0735908528068543,807.0609261074566,0.00023135662078857422,0.0004256925429450187
18,0.1,100,300,100,0.90408,0.02677692357914996,240.68719842585804,1.021021054219516,723.4398987249311,0.00037877082824707033,0.0004862993855795596
19,0.1,100,500,100,0.9062600000000002,0.019390000546986107,240.34021127561772,0.7738306855147762,701.8415494724974,0.0005129480361938477,0.0005067574367917542
