,alpha,n_dim,n_cals,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,runtime_1std
0,0.1,2,30,100,0.8718,0.057655542805194505,3.5691038455553623,0.8297811390499502,2.0269627776717103,0.0004003572463989258,0.0004928188193174122
1,0.1,2,50,100,0.87896,0.050988990691297004,3.687929076085794,0.7324533629610349,2.032625737244356,0.0004609179496765137,0.000501964233836919
2,0.1,2,100,100,0.8927400000000002,0.03235491937991515,3.739983574836105,0.524374346568567,2.024889549488384,0.0011332225799560547,0.0003364720658593074
3,0.1,2,300,100,0.89906,0.020594115075855436,3.7884723572534624,0.29163365267635943,2.0149032375657785,0.00521986722946167,0.0004297253973472187
4,0.1,2,500,100,0.8986200000000001,0.018194671214563377,3.7967821101301484,0.2178225825850268,1.9981618934997378,0.014956023693084717,0.0006527307299756296
5,0.1,2,1000,100,0.9008200000000002,0.014024783258736863,3.8147609159916915,0.14733850310219987,1.9792790042403743,0.06732457637786865,0.002166814325612562
6,0.1,10,30,100,0.72382,0.07929644928171041,4421.851179067091,2598.275684208871,3.0810366829846854,0.0005416226387023926,0.0005419883715071538
7,0.1,10,50,100,0.81914,0.054724474239667954,9616.931149566686,6107.829222384232,3.1669563160507668,0.0010293197631835937,0.0002499693176112575
8,0.1,10,100,100,0.82848,0.03662324701910279,7064.590197578075,2474.3405126993725,2.8691159469017613,0.002488875389099121,0.0004969623761983746
9,0.1,10,300,100,0.8761199999999999,0.022946261331443733,10598.42465513178,2533.194633688503,2.8079386630420373,0.02361034870147705,0.0008417659116133304
10,0.1,10,500,100,0.8885600000000001,0.01917928175101584,11440.553252554308,2308.079807608458,2.7701516586871975,0.07519901990890503,0.0031173829433067957
11,0.1,10,1000,100,0.8982400000000001,0.015536935464767948,12283.574494182047,1385.992541920131,2.732637512496139,0.35372841596603394,0.010711160617562042
