,alpha,n_dim,n_cals,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,runtime_1std
0,0.1,2,30,100,0.91622,0.04527705508501758,36.16317691494235,9.312010480994523,8.261914762508326,0.0009708857536315918,0.0007833184834108102
1,0.1,2,50,100,0.90396,0.04417959673510802,33.00773650865068,6.266794071586343,8.121866722188408,0.0011277222633361817,0.0007250309465598747
2,0.1,2,100,100,0.9100599999999998,0.03121959369215157,32.671326813647646,4.863381859355101,8.084262321322935,0.0012427616119384767,0.0006663326016151687
3,0.1,2,300,100,0.90338,0.02025233743835935,30.973304747502425,2.5491907881996814,7.8968088883535685,0.0016934418678283692,0.00036983409478806643
4,0.1,2,500,100,0.9011399999999999,0.01775308765291609,30.776882693840545,1.7817421821414894,7.851002838242257,0.0020926618576049805,0.0007749754395829309
5,0.1,2,1000,100,0.9023000000000002,0.013869157701660749,30.702816536015874,1.1800609558158814,7.839902066155296,0.0031823229789733885,0.0006597886691806792
6,0.1,10,30,100,0.93944,0.04969163903413721,552775591585032.4,966774089477120.2,64.90717979218245,0.006425137519836426,0.0005833466855218152
7,0.1,10,50,100,0.9113600000000001,0.042697791677572906,122369001546337.4,99768982989845.5,56.080332646162816,0.007445096969604492,0.0009407066826044568
8,0.1,10,100,100,0.9107599999999999,0.033439564058827746,76240628479580.23,43920415274410.54,53.412558226674804,0.009116742610931396,0.0009862950480313015
9,0.1,10,300,100,0.9043599999999999,0.02230800010504907,53584142210008.16,13491506061571.398,51.77100744891217,0.012350907325744629,0.0006704028859477954
10,0.1,10,500,100,0.9035599999999999,0.018790885389927053,49192906074763.52,10524811785824.43,51.81686356711061,0.015469286441802978,0.0007653324285915831
11,0.1,10,1000,100,0.9038,0.01580052422094172,48401430947047.14,6011482227493.568,51.615023890028084,0.022881577014923094,0.00090102459762592
