alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.9,0.0,True,2400,600,30,150.65234633614475,60.913814996897585,149.20212593411316,2.443895899326578,74.10422521840908
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.9,0.0,True,2400,600,30,728.473053367792,352.91456081005634,632.1032469814011,2.5138968716054726,362.9795782480932
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.9,0.0,True,2400,600,30,498.9080610746881,339.3397997458571,376.87639495501696,1.4165913833966495,248.74573484564567
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.9,0.0,True,2400,600,30,35.06835217696958,4.814301879378159,34.48002981810734,2.443895899326578,16.312228138821506
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.9,0.0,True,2400,600,30,35.610717864162844,4.354306184984754,35.21442473439443,2.5138968716054726,16.548410496278684
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.9,0.0,True,2400,600,30,20.913391079559993,3.122793401190676,20.88494913525981,1.4165913833966495,9.748399848081675
0.1,3,100,TSCP_R,Gaussian,1,cqr,capped,0.9,0.0,True,2400,600,30,36.24499880432394,4.051627321310295,35.56353488850979,2.443895899326578,16.90055145249868
0.1,3,100,TSCP_R,Gaussian,2,cqr,capped,0.9,0.0,True,2400,600,30,37.45696871167902,3.970584279173052,36.980950993853156,2.5138968716054726,17.47153592003678
0.1,3,100,TSCP_R,Gaussian,3,cqr,capped,0.9,0.0,True,2400,600,30,21.529696434554854,2.7240339923435246,21.848383309052018,1.4165913833966495,10.056552525579102
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.9,0.0,True,2400,600,30,33.73215263281205,3.230105988853384,34.15524342357948,2.443895899326578,15.644128366742736
