alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length,redraw_train_test,n_train,n_test
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.3911177340829965,87.78518710983913,177.96149195376057,True,2400,600
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.306103990619708,463.492323393793,929.2907507782058,True,2400,600
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.3750567840407542,336.9314827703088,675.2380223246585,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.3911177340829965,19.590626842757402,41.57237141959782,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.306103990619708,15.257734669061303,32.82157332874225,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.3750567840407542,10.321421185735844,22.017899155512435,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.3911177340829965,15.64488360888104,33.68088495184507,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.306103990619708,15.64488360888104,33.59587120838174,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.3750567840407542,15.64488360888104,32.66482400180281,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.3911177340829965,19.52697099906208,41.44505973220708,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.306103990619708,11.667211880229228,25.640527751078185,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.3750567840407542,8.018196093809419,17.41144897165958,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.4496145093975863,103.74434072893924,209.93829596727554,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.410793193487122,445.8695655143453,894.149924222177,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.364877981199814,206.4231056067066,414.2110891946131,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.4496145093975863,15.683694628235077,33.81700376586772,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.410793193487122,16.88711085386818,36.18501490122343,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.364877981199814,9.915106374502514,21.19509073020484,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.4496145093975863,14.928922998291485,32.30746050598056,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.410793193487122,14.928922998291485,32.268639190070054,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.364877981199814,14.928922998291485,31.222723977782813,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.4496145093975863,14.530363734934546,31.51034197926668,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.410793193487122,15.698622543103706,33.80803827969453,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.364877981199814,10.123676039523309,21.612230060246418,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.4915731297597614,54.55167198573689,111.59491710123329,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.4696839007838527,192.3431883966381,387.1560606940598,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.4090920998935617,124.40761608599864,250.2243242718909,True,2400,600
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.4915731297597614,14.77943980912649,32.05045274801275,True,2400,600
