alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,30,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,23.09285523956696,3.9190105885751385,22.644790676387426
0.1,10,30,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.898262929692528,4.180422329054001,20.80303894043395
0.1,10,30,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,18.84088773499811,3.7482635486722273,18.47190603598814
0.1,10,30,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,16.74944709674147,3.152627177524873,16.41180039339468
0.1,10,30,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,13.528061196784732,2.6809949509076905,13.019672714522978
0.1,10,30,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,11.69758102010717,2.1879059566970325,11.61796828538543
0.1,10,30,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,9.572277240868775,1.8258837864459672,9.500615548077192
0.1,10,30,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,6.98006138584154,1.304741341115172,6.697953039508912
0.1,10,30,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,4.702296877765921,0.9343074542206586,4.589058932942317
0.1,10,30,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.3016100494795975,0.5201810478825892,2.2284550244572525
0.1,10,30,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,35.15551857783832,10.473079517523239,32.91771692174346
0.1,10,30,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,31.632890017586696,10.77174187152508,29.697589308951763
0.1,10,30,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,28.179863431644137,8.54042309609009,26.41709808138454
0.1,10,30,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,25.441388824873332,8.35790938326303,23.90630414109998
0.1,10,30,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,21.177741017899567,6.600769223157739,20.198067207081447
0.1,10,30,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,17.574994948204658,5.753939465407862,16.060547992468123
0.1,10,30,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,14.256710009257068,4.848121497256127,13.134979614100239
0.1,10,30,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,10.913476955529784,3.45688903009203,10.156449735884108
0.1,10,30,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,6.999138795390923,2.241442896782654,6.571624429920156
0.1,10,30,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,3.478081687725494,1.1464180096866758,3.2128470253783963
0.1,10,30,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,28.502648084522317,4.34590170892685,28.522589419924365
0.1,10,30,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,25.62511626084384,4.285925304412791,25.706469471941006
0.1,10,30,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,23.085694551372352,3.4632406729100236,23.169474338595258
0.1,10,30,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.360560481227242,3.0975932496923444,20.129516187302734
0.1,10,30,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,16.891579948876576,2.767546580061249,16.744003768943898
0.1,10,30,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,14.22284956675333,2.180202166010451,14.351987245458954
0.1,10,30,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,11.720369485683523,1.9565506960795092,11.691922765926037
0.1,10,30,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,8.728331537730547,1.3627147200030763,8.649791832025457
0.1,10,30,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.831002357806226,0.9784382246365049,5.743679124851981
0.1,10,30,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.8230829242886246,0.5086204883564206,2.767332525285502
0.1,10,30,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.135851328032285,2.070442262276437,20.060997542033356
