dataset,method,coordinate,target,n_trials,full_length_mean,full_length_sd,paired_length_ratio_mean,paired_length_ratio_sd,infinite_fraction,marginal_coverage_mean,marginal_coverage_sd,marginal_mc95_lower,marginal_mc95_upper
stock,Empirical_copula,1,Annual Return,200,0.2770230081933416,0.04577080461374025,0.3356201567782729,0.10469683667787345,0.0,0.94546875,0.05606364825325608,0.9376987247718448,0.9532387752281551
stock,Empirical_copula,2,Excess Return,200,0.09642797008140333,0.012419120171218788,0.11804808344628906,0.03771161103240032,0.0,0.94359375,0.060945451903535265,0.9351471413046002,0.9520403586953998
stock,Empirical_copula,3,Systematic Risk,200,0.8836517446675086,0.37262439542713854,0.9586312590019118,0.09069703550434609,0.0,0.93625,0.06933708898957136,0.9266403697407969,0.9458596302592032
stock,Empirical_copula,4,Total Risk,200,0.11139204111978235,0.038232782984506074,0.12574065132419046,0.02392478212789224,0.0,0.934296875,0.0704070501220854,0.9245389556934052,0.9440547943065949
stock,Empirical_copula,5,Abs. Win Rate,200,0.3440886993426512,0.057683547239119976,0.4198197556826142,0.13663292666665944,0.0,0.9390625,0.06131092498578916,0.9305652393196189,0.9475597606803812
stock,Empirical_copula,6,Rel. Win Rate,200,0.6129132860822838,0.0678583586520331,0.7521211000531122,0.2302259025033927,0.0,0.94234375,0.06380911481012536,0.933500257874385,0.9511872421256151
stock,Unscaled,1,Annual Return,200,0.9109588476015932,0.34871956563323514,1.0,0.0,0.0,1.0,0.0,1.0,1.0
stock,Unscaled,2,Excess Return,200,0.9109588476015932,0.34871956563323514,1.0,0.0,0.0,1.0,0.0,1.0,1.0
stock,Unscaled,3,Systematic Risk,200,0.9109588476015932,0.34871956563323514,1.0,0.0,0.0,0.952109375,0.039443882552793505,0.9466427317814364,0.9575760182185636
stock,Unscaled,4,Total Risk,200,0.9109588476015932,0.34871956563323514,1.0,0.0,0.0,1.0,0.0,1.0,1.0
stock,Unscaled,5,Abs. Win Rate,200,0.9109588476015932,0.34871956563323514,1.0,0.0,0.0,1.0,0.0,1.0,1.0
stock,Unscaled,6,Rel. Win Rate,200,0.9109588476015932,0.34871956563323514,1.0,0.0,0.0,0.986484375,0.027025982454343588,0.9827387649295077,0.9902299850704922
stock,Point_CHR,1,Annual Return,200,inf,,inf,,1.0,1.0,0.0,1.0,1.0
stock,Point_CHR,2,Excess Return,200,inf,,inf,,1.0,1.0,0.0,1.0,1.0
stock,Point_CHR,3,Systematic Risk,200,inf,,inf,,1.0,1.0,0.0,1.0,1.0
