dataset,trial,n_cal,n_test,n_dim,method,coordinate,target,full_length,marginal_covered_count,marginal_coverage,unscaled_full_length,paired_length_ratio
stock,0,15,64,6,Empirical_copula,1,Annual Return,0.3405859129421161,64,1.0,0.6855971776417302,0.4967726298314704
stock,0,15,64,6,Empirical_copula,2,Excess Return,0.1138722177273235,64,1.0,0.6855971776417302,0.16609201647972544
stock,0,15,64,6,Empirical_copula,3,Systematic Risk,0.6589656081947621,61,0.953125,0.6855971776417302,0.9611556606190044
stock,0,15,64,6,Empirical_copula,4,Total Risk,0.0876140739180471,61,0.953125,0.6855971776417302,0.12779234917421325
stock,0,15,64,6,Empirical_copula,5,Abs. Win Rate,0.45782176954715,64,1.0,0.6855971776417302,0.6677707908920127
stock,0,15,64,6,Empirical_copula,6,Rel. Win Rate,0.6855971775539546,63,0.984375,0.6855971776417302,0.999999999871972
stock,0,15,64,6,Unscaled,1,Annual Return,0.6855971776417302,64,1.0,0.6855971776417302,1.0
stock,0,15,64,6,Unscaled,2,Excess Return,0.6855971776417302,64,1.0,0.6855971776417302,1.0
stock,0,15,64,6,Unscaled,3,Systematic Risk,0.6855971776417302,63,0.984375,0.6855971776417302,1.0
stock,0,15,64,6,Unscaled,4,Total Risk,0.6855971776417302,64,1.0,0.6855971776417302,1.0
stock,0,15,64,6,Unscaled,5,Abs. Win Rate,0.6855971776417302,64,1.0,0.6855971776417302,1.0
stock,0,15,64,6,Unscaled,6,Rel. Win Rate,0.6855971776417302,63,0.984375,0.6855971776417302,1.0
stock,0,15,64,6,Point_CHR,1,Annual Return,inf,64,1.0,0.6855971776417302,inf
stock,0,15,64,6,Point_CHR,2,Excess Return,inf,64,1.0,0.6855971776417302,inf
stock,0,15,64,6,Point_CHR,3,Systematic Risk,inf,64,1.0,0.6855971776417302,inf
stock,0,15,64,6,Point_CHR,4,Total Risk,inf,64,1.0,0.6855971776417302,inf
stock,0,15,64,6,Point_CHR,5,Abs. Win Rate,inf,64,1.0,0.6855971776417302,inf
stock,0,15,64,6,Point_CHR,6,Rel. Win Rate,inf,64,1.0,0.6855971776417302,inf
stock,0,15,64,6,TSCP_R,1,Annual Return,0.5330004764527032,64,1.0,0.6855971776417302,0.777425132183422
stock,0,15,64,6,TSCP_R,2,Excess Return,0.1915960616484112,64,1.0,0.6855971776417302,0.2794586499137148
stock,0,15,64,6,TSCP_R,3,Systematic Risk,1.1410280333525962,64,1.0,0.6855971776417302,1.6642834459695788
stock,0,15,64,6,TSCP_R,4,Total Risk,0.1461145647874625,64,1.0,0.6855971776417302,0.213120137527487
stock,0,15,64,6,TSCP_R,5,Abs. Win Rate,0.5607064591856441,64,1.0,0.6855971776417302,0.8178365919100242
stock,0,15,64,6,TSCP_R,6,Rel. Win Rate,1.1251288767391738,64,1.0,0.6855971776417302,1.6410932154203353
stock,1,15,64,6,Empirical_copula,1,Annual Return,0.246747343683224,59,0.921875,0.721504647847112,0.341989957264295
stock,1,15,64,6,Empirical_copula,2,Excess Return,0.0897764266973903,58,0.90625,0.721504647847112,0.12442945026795459
stock,1,15,64,6,Empirical_copula,3,Systematic Risk,0.7215046477593363,59,0.921875,0.721504647847112,0.9999999998783435
stock,1,15,64,6,Empirical_copula,4,Total Risk,0.083015038769105,60,0.9375,0.721504647847112,0.11505821759681308
