alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,2,30,0,TSCP_R,Gaussian,absolute_residual,1,3.534060755968923,True,2400,600
0.1,2,30,0,TSCP_R,Gaussian,absolute_residual,2,2.607845204343753,True,2400,600
0.1,2,30,0,Point_CHR,Gaussian,absolute_residual,1,4.222435485187848,True,2400,600
0.1,2,30,0,Point_CHR,Gaussian,absolute_residual,2,3.0665092589558727,True,2400,600
0.1,2,30,0,Unscaled,Gaussian,absolute_residual,1,3.0665092590381486,True,2400,600
0.1,2,30,0,Unscaled,Gaussian,absolute_residual,2,3.0665092590381486,True,2400,600
0.1,2,30,1,TSCP_R,Gaussian,absolute_residual,1,3.7389704375118322,True,2400,600
0.1,2,30,1,TSCP_R,Gaussian,absolute_residual,2,1.6510573627607692,True,2400,600
0.1,2,30,1,Point_CHR,Gaussian,absolute_residual,1,3.5110146346618922,True,2400,600
0.1,2,30,1,Point_CHR,Gaussian,absolute_residual,2,1.7674947706431219,True,2400,600
0.1,2,30,1,Unscaled,Gaussian,absolute_residual,1,3.506203061295843,True,2400,600
0.1,2,30,1,Unscaled,Gaussian,absolute_residual,2,3.506203061295843,True,2400,600
0.1,2,30,2,TSCP_R,Gaussian,absolute_residual,1,5.000162424313094,True,2400,600
0.1,2,30,2,TSCP_R,Gaussian,absolute_residual,2,1.8979862887248977,True,2400,600
0.1,2,30,2,Point_CHR,Gaussian,absolute_residual,1,4.671084876929269,True,2400,600
0.1,2,30,2,Point_CHR,Gaussian,absolute_residual,2,1.8563130480076877,True,2400,600
0.1,2,30,2,Unscaled,Gaussian,absolute_residual,1,3.9093522492033386,True,2400,600
0.1,2,30,2,Unscaled,Gaussian,absolute_residual,2,3.9093522492033386,True,2400,600
0.1,2,30,3,TSCP_R,Gaussian,absolute_residual,1,4.0032505862512675,True,2400,600
0.1,2,30,3,TSCP_R,Gaussian,absolute_residual,2,2.2544746826096103,True,2400,600
0.1,2,30,3,Point_CHR,Gaussian,absolute_residual,1,3.903967399237059,True,2400,600
0.1,2,30,3,Point_CHR,Gaussian,absolute_residual,2,2.224015009500741,True,2400,600
0.1,2,30,3,Unscaled,Gaussian,absolute_residual,1,3.642706466216968,True,2400,600
0.1,2,30,3,Unscaled,Gaussian,absolute_residual,2,3.642706466216968,True,2400,600
0.1,2,30,4,TSCP_R,Gaussian,absolute_residual,1,4.382577480497723,True,2400,600
0.1,2,30,4,TSCP_R,Gaussian,absolute_residual,2,2.492093988989257,True,2400,600
0.1,2,30,4,Point_CHR,Gaussian,absolute_residual,1,4.295278287431454,True,2400,600
0.1,2,30,4,Point_CHR,Gaussian,absolute_residual,2,3.6444382668460222,True,2400,600
