alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.05,10,100,Empirical_copula,Gaussian,1,0.6,equicorrelated,absolute_residual,200,27.129561917211277,3.9541062159435953,26.692570777820304
0.05,10,100,Empirical_copula,Gaussian,2,0.6,equicorrelated,absolute_residual,200,23.438919280901164,3.307544014179874,23.167935238888994
0.05,10,100,Empirical_copula,Gaussian,3,0.6,equicorrelated,absolute_residual,200,21.040216863691285,2.593843113041001,20.845252869307473
0.05,10,100,Empirical_copula,Gaussian,4,0.6,equicorrelated,absolute_residual,200,18.69237697348464,2.549747688453048,18.365661898833732
0.05,10,100,Empirical_copula,Gaussian,5,0.6,equicorrelated,absolute_residual,200,16.074797840065028,2.5229643245052245,15.807834482063228
0.05,10,100,Empirical_copula,Gaussian,6,0.6,equicorrelated,absolute_residual,200,13.274305160268398,1.9603470462332901,13.133256545806564
0.05,10,100,Empirical_copula,Gaussian,7,0.6,equicorrelated,absolute_residual,200,10.825526943530333,1.6398304587931873,10.630257338282135
0.05,10,100,Empirical_copula,Gaussian,8,0.6,equicorrelated,absolute_residual,200,7.931684983263414,1.1841556924534375,7.846520485756001
0.05,10,100,Empirical_copula,Gaussian,9,0.6,equicorrelated,absolute_residual,200,5.31284543916482,0.6769671680011479,5.209672930049974
0.05,10,100,Empirical_copula,Gaussian,10,0.6,equicorrelated,absolute_residual,200,2.6873964153584837,0.360599719553227,2.6991597738778093
0.05,10,100,Point_CHR,Gaussian,1,0.6,equicorrelated,absolute_residual,200,30.343155985224225,5.13737126114859,29.84065525729501
0.05,10,100,Point_CHR,Gaussian,2,0.6,equicorrelated,absolute_residual,200,27.22363910686933,4.774953078612734,26.47906724453943
0.05,10,100,Point_CHR,Gaussian,3,0.6,equicorrelated,absolute_residual,200,24.12468324595713,3.741223026408909,23.853864247877226
0.05,10,100,Point_CHR,Gaussian,4,0.6,equicorrelated,absolute_residual,200,21.471789811497565,3.7397413918237605,21.219640581723134
0.05,10,100,Point_CHR,Gaussian,5,0.6,equicorrelated,absolute_residual,200,18.199997635438475,3.0138417964505924,17.813014026003863
0.05,10,100,Point_CHR,Gaussian,6,0.6,equicorrelated,absolute_residual,200,15.303511234467585,2.6535342931178896,15.087852166275917
0.05,10,100,Point_CHR,Gaussian,7,0.6,equicorrelated,absolute_residual,200,12.508619172662529,2.1871344606059178,12.359142115676756
0.05,10,100,Point_CHR,Gaussian,8,0.6,equicorrelated,absolute_residual,200,9.040415840392498,1.4625044995200827,8.911136976258398
0.05,10,100,Point_CHR,Gaussian,9,0.6,equicorrelated,absolute_residual,200,6.105939045919962,1.0314881872672663,6.034482254011898
0.05,10,100,Point_CHR,Gaussian,10,0.6,equicorrelated,absolute_residual,200,3.0540727068120326,0.5008862934280962,3.0413937966745905
0.05,10,100,TSCP_R,Gaussian,1,0.6,equicorrelated,absolute_residual,200,27.738229950038207,2.5187273055755006,27.660753702353936
0.05,10,100,TSCP_R,Gaussian,2,0.6,equicorrelated,absolute_residual,200,24.821711800865224,2.075582493849313,24.833400482128233
0.05,10,100,TSCP_R,Gaussian,3,0.6,equicorrelated,absolute_residual,200,22.140055210624524,1.8699753517208106,22.072389353913994
0.05,10,100,TSCP_R,Gaussian,4,0.6,equicorrelated,absolute_residual,200,19.480100291403563,1.6534096303048895,19.281404960019742
0.05,10,100,TSCP_R,Gaussian,5,0.6,equicorrelated,absolute_residual,200,16.72358880940753,1.5283329383606956,16.649001213244226
0.05,10,100,TSCP_R,Gaussian,6,0.6,equicorrelated,absolute_residual,200,13.85151453961911,1.2259655010461745,13.734176526306413
0.05,10,100,TSCP_R,Gaussian,7,0.6,equicorrelated,absolute_residual,200,11.122002086575202,1.0668255891053937,11.109924686290093
0.05,10,100,TSCP_R,Gaussian,8,0.6,equicorrelated,absolute_residual,200,8.315328532314048,0.7304561404763388,8.318119354548767
0.05,10,100,TSCP_R,Gaussian,9,0.6,equicorrelated,absolute_residual,200,5.5540322217752065,0.4490548002431024,5.5519015117911685
0.05,10,100,TSCP_R,Gaussian,10,0.6,equicorrelated,absolute_residual,200,2.7827550801758774,0.2613177521974619,2.8046630048116397
0.05,10,100,Unscaled,Gaussian,1,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,2,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,3,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,4,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,5,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,6,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,7,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,8,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,9,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.05,10,100,Unscaled,Gaussian,10,0.6,equicorrelated,absolute_residual,200,21.626689172815357,1.6962350234651768,21.55099974877331
0.1,10,100,Empirical_copula,Gaussian,1,0.6,equicorrelated,absolute_residual,200,23.84666352302211,2.7933057830007444,23.580586764789402
0.1,10,100,Empirical_copula,Gaussian,2,0.6,equicorrelated,absolute_residual,200,20.93771886256654,2.5247400802412767,20.644412330568755
0.1,10,100,Empirical_copula,Gaussian,3,0.6,equicorrelated,absolute_residual,200,18.758957449024447,2.167473509338794,18.477326815012272
0.1,10,100,Empirical_copula,Gaussian,4,0.6,equicorrelated,absolute_residual,200,16.535326904252095,1.7949147357828872,16.375767484154856
0.1,10,100,Empirical_copula,Gaussian,5,0.6,equicorrelated,absolute_residual,200,14.157149701238161,1.6419324843492462,14.114797430130114
0.1,10,100,Empirical_copula,Gaussian,6,0.6,equicorrelated,absolute_residual,200,11.692595283520642,1.3917572682283998,11.5526857185383
0.1,10,100,Empirical_copula,Gaussian,7,0.6,equicorrelated,absolute_residual,200,9.525514567704887,1.1594818517460417,9.470054154962776
0.1,10,100,Empirical_copula,Gaussian,8,0.6,equicorrelated,absolute_residual,200,7.002768329836624,0.796183894811162,6.951246671010907
0.1,10,100,Empirical_copula,Gaussian,9,0.6,equicorrelated,absolute_residual,200,4.745120038596276,0.5401582321084634,4.737172080916919
0.1,10,100,Empirical_copula,Gaussian,10,0.6,equicorrelated,absolute_residual,200,2.3691310648033608,0.2855873439141086,2.3560741083329813
0.1,10,100,Point_CHR,Gaussian,1,0.6,equicorrelated,absolute_residual,200,24.922514511532917,3.3939034246548254,24.703688291159942
0.1,10,100,Point_CHR,Gaussian,2,0.6,equicorrelated,absolute_residual,200,22.72539169159558,3.010807960112708,22.379584716175714
0.1,10,100,Point_CHR,Gaussian,3,0.6,equicorrelated,absolute_residual,200,19.856196572671184,2.7275692132968885,19.78900646221583
0.1,10,100,Point_CHR,Gaussian,4,0.6,equicorrelated,absolute_residual,200,17.46725339823879,2.2009109519173364,17.35583006838852
0.1,10,100,Point_CHR,Gaussian,5,0.6,equicorrelated,absolute_residual,200,15.108464460588866,1.8767007227166292,14.945262652245056
0.1,10,100,Point_CHR,Gaussian,6,0.6,equicorrelated,absolute_residual,200,12.618909995578804,1.8048198052660034,12.402998424720915
0.1,10,100,Point_CHR,Gaussian,7,0.6,equicorrelated,absolute_residual,200,10.141393441238225,1.3978219068886328,10.056233525150061
0.1,10,100,Point_CHR,Gaussian,8,0.6,equicorrelated,absolute_residual,200,7.549201231420414,1.0025323382276448,7.499962428154224
0.1,10,100,Point_CHR,Gaussian,9,0.6,equicorrelated,absolute_residual,200,5.055480741456504,0.6492478408995046,5.0787871835092915
0.1,10,100,Point_CHR,Gaussian,10,0.6,equicorrelated,absolute_residual,200,2.5271895743475357,0.3248269482465937,2.5135991200187218
0.1,10,100,TSCP_R,Gaussian,1,0.6,equicorrelated,absolute_residual,200,24.604029482718715,2.012679803036213,24.672741216704473
0.1,10,100,TSCP_R,Gaussian,2,0.6,equicorrelated,absolute_residual,200,21.991489604456703,1.7683832857877613,21.87706948969769
0.1,10,100,TSCP_R,Gaussian,3,0.6,equicorrelated,absolute_residual,200,19.620500083720252,1.5201850722627486,19.329615298453877
0.1,10,100,TSCP_R,Gaussian,4,0.6,equicorrelated,absolute_residual,200,17.271008440128842,1.3504921696853662,17.08669552481951
0.1,10,100,TSCP_R,Gaussian,5,0.6,equicorrelated,absolute_residual,200,14.782186849610746,1.1974592019840502,14.721921815991003
0.1,10,100,TSCP_R,Gaussian,6,0.6,equicorrelated,absolute_residual,200,12.258869629552432,0.9798336748311941,12.198513195298128
0.1,10,100,TSCP_R,Gaussian,7,0.6,equicorrelated,absolute_residual,200,9.851785385868233,0.8548112646759647,9.858685696877513
0.1,10,100,TSCP_R,Gaussian,8,0.6,equicorrelated,absolute_residual,200,7.359407586428265,0.6111321981395053,7.378038592907199
0.1,10,100,TSCP_R,Gaussian,9,0.6,equicorrelated,absolute_residual,200,4.9211501127635096,0.3810369076757938,4.9123663714298385
0.1,10,100,TSCP_R,Gaussian,10,0.6,equicorrelated,absolute_residual,200,2.462697555420365,0.2192727621425145,2.4646513948675963
0.1,10,100,Unscaled,Gaussian,1,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,2,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,3,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,4,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,5,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,6,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,7,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,8,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,9,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.1,10,100,Unscaled,Gaussian,10,0.6,equicorrelated,absolute_residual,200,18.748283999347624,1.2390191837306963,18.698956856424758
0.2,10,100,Empirical_copula,Gaussian,1,0.6,equicorrelated,absolute_residual,200,20.398266521710198,1.976785315947882,20.363821294511897
0.2,10,100,Empirical_copula,Gaussian,2,0.6,equicorrelated,absolute_residual,200,18.443155455661955,1.7238324658296051,18.184742140665037
0.2,10,100,Empirical_copula,Gaussian,3,0.6,equicorrelated,absolute_residual,200,16.38563906149635,1.6218299475030944,16.171791522455287
0.2,10,100,Empirical_copula,Gaussian,4,0.6,equicorrelated,absolute_residual,200,14.336421204901503,1.3491313816166586,14.292614212024741
0.2,10,100,Empirical_copula,Gaussian,5,0.6,equicorrelated,absolute_residual,200,12.37264726422153,1.2651605048722432,12.273639020651911
0.2,10,100,Empirical_copula,Gaussian,6,0.6,equicorrelated,absolute_residual,200,10.299761701724824,0.9532320259723853,10.284351448567865
0.2,10,100,Empirical_copula,Gaussian,7,0.6,equicorrelated,absolute_residual,200,8.292301259199558,0.9807271839267669,8.267452723277355
0.2,10,100,Empirical_copula,Gaussian,8,0.6,equicorrelated,absolute_residual,200,6.137233863413222,0.6072685974640144,6.119175889631148
0.2,10,100,Empirical_copula,Gaussian,9,0.6,equicorrelated,absolute_residual,200,4.121671368519146,0.38427178680167495,4.093474599989697
0.2,10,100,Empirical_copula,Gaussian,10,0.6,equicorrelated,absolute_residual,200,2.0582586222557477,0.21703380471567135,2.054543507504916
0.2,10,100,Point_CHR,Gaussian,1,0.6,equicorrelated,absolute_residual,200,21.332298900003344,2.6524680080173964,21.107819683641928
0.2,10,100,Point_CHR,Gaussian,2,0.6,equicorrelated,absolute_residual,200,19.354094191025208,2.234837483357972,19.077298854763693
0.2,10,100,Point_CHR,Gaussian,3,0.6,equicorrelated,absolute_residual,200,17.305606357678997,2.1432686923856887,17.172916389084705
0.2,10,100,Point_CHR,Gaussian,4,0.6,equicorrelated,absolute_residual,200,15.117311659590937,1.9219183989909165,14.927301345866402
0.2,10,100,Point_CHR,Gaussian,5,0.6,equicorrelated,absolute_residual,200,13.107506302578559,1.5551181571201478,13.059367470668562
0.2,10,100,Point_CHR,Gaussian,6,0.6,equicorrelated,absolute_residual,200,10.703241063301716,1.3841755541936476,10.587735476008362
0.2,10,100,Point_CHR,Gaussian,7,0.6,equicorrelated,absolute_residual,200,8.641247120779173,1.0791495401529447,8.584358961031658
0.2,10,100,Point_CHR,Gaussian,8,0.6,equicorrelated,absolute_residual,200,6.525298254600118,0.8731523295465993,6.475303533986267
0.2,10,100,Point_CHR,Gaussian,9,0.6,equicorrelated,absolute_residual,200,4.276403290569186,0.5587820180197969,4.254822862446341
0.2,10,100,Point_CHR,Gaussian,10,0.6,equicorrelated,absolute_residual,200,2.1423386362518184,0.2803031597982037,2.118985818081378
0.2,10,100,TSCP_R,Gaussian,1,0.6,equicorrelated,absolute_residual,200,21.09236016462081,1.6519901060794793,21.066148639440062
0.2,10,100,TSCP_R,Gaussian,2,0.6,equicorrelated,absolute_residual,200,18.886356286713486,1.4346244476489503,18.8545002261364
0.2,10,100,TSCP_R,Gaussian,3,0.6,equicorrelated,absolute_residual,200,16.825866218325825,1.2297358782576266,16.71324046424405
0.2,10,100,TSCP_R,Gaussian,4,0.6,equicorrelated,absolute_residual,200,14.809414146127,1.0803083336621975,14.784340774833744
