alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,1,25.771316680460366,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,2,24.294559484219334,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,3,19.150886676799903,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,4,18.104462004744345,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,5,16.251759838191553,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,6,12.269155343649988,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,7,9.542329012417202,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,8,8.385434006586086,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,9,5.017297279642746,0.6,equicorrelated
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.547870726514334,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,1,30.101365768306568,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,2,30.765621673390577,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,3,21.516133835013072,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,4,23.93472922108341,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,5,18.773885847918162,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,6,15.154189642531446,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,7,11.101449049072066,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,8,11.539133450180664,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,9,5.265609918468527,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,10,3.4360560946899863,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,1,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,2,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,3,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,4,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,5,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,6,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,7,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,8,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,9,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,10,21.547530600223183,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,30.101365768306568,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,25.241349269482562,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,19.149915766730597,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,18.113449428997953,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,15.72689135894939,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,11.32449128450341,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,11.295373217792418,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,8,9.117936136464795,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,9,4.246730494986451,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,10,2.238662957584335,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,1,24.377677276110397,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,2,22.93869312535103,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,3,18.13072114496237,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,4,17.08957358796284,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,5,15.390102089875628,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,6,11.531429147809828,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,7,9.02375337980448,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,8,7.90224856860983,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,9,4.75483775537701,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.4125471252411006,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,1,25.65724326067909,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,2,21.522450831388685,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,3,18.9805187063379,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,4,16.833912003746097,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,5,16.090286422117053,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,6,11.61322524996622,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,7,9.72145184316816,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,8,8.180360770378746,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,9,4.7108259012764275,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,10,2.6515986112859484,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,1,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,2,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,3,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,4,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,5,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,6,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,7,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,8,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,9,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,10,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,24.65860188257012,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,24.975328045068796,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,17.45403227492018,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,16.613696235704573,0.6,equicorrelated
