alpha,n_dim,n_cal,method,noise_type,correlation,correlation_structure,score_type,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.05,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,200,0.9200437499999999,0.034711295258606396,74100068445.70387,48717968164.67756,27.29297748447573,0.0011300671100616456
0.05,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,200,0.95908125,0.03114598959782204,407811253273.33167,599679496090.3748,30.56472273793043,0.00042539715766906736
0.05,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,200,0.952803125,0.02207877783102894,114605889756.57306,73126840403.82747,27.76354078787288,0.003992868661880493
0.05,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,200,0.949521875,0.023226170575611736,29363367081414.586,26075144346152.074,21.55099974877331,2.5057792663574217e-05
0.1,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,200,0.863615625,0.037527673912471284,20896359146.18332,11794655345.931957,23.9281077015641,0.0010971331596374512
0.1,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,200,0.897509375,0.043850005832862596,47633862528.36282,45750891582.28875,25.506589078741914,0.0004003739356994629
0.1,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,200,0.902628125,0.03093175245453966,32761483212.845863,18729048108.370243,24.7280691341867,0.003660022020339966
0.1,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,200,0.900409375,0.03023668655463743,6524775629734.915,4754551744089.8125,18.698956856424758,4.9878358840942386e-05
0.2,10,100,Empirical_copula,Gaussian,0.6,equicorrelated,absolute_residual,200,0.7701281249999999,0.04474704244300797,5222978642.862416,2732997592.5547905,20.598582991225367,0.0010509908199310303
0.2,10,100,Point_CHR,Gaussian,0.6,equicorrelated,absolute_residual,200,0.797390625,0.05448884638977803,9068337604.559965,6584860412.599743,21.57580165539847,0.00038480043411254883
0.2,10,100,TSCP_R,Gaussian,0.6,equicorrelated,absolute_residual,200,0.80028125,0.041630636379526104,6967361928.417554,4166440610.3543715,21.235255030836235,0.0031375765800476076
0.2,10,100,Unscaled,Gaussian,0.6,equicorrelated,absolute_residual,200,0.8067624999999999,0.040443752040899075,1091562547267.3455,714520786476.0632,15.649500380363929,6.000995635986328e-05
