alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,0.92125,44275386686.0691,25.771316680460366,0.0039997100830078125,0.6,equicorrelated
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,0.979375,314480221495.3324,30.765621673390577,0.0,0.6,equicorrelated
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,0.953125,21576205078807.516,21.547530600223183,0.0,0.6,equicorrelated
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.90375,45958826610.51513,30.101365768306568,0.0009996891021728516,0.6,equicorrelated
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,0.8925,25152510974.421844,24.377677276110397,0.003994941711425781,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,0.90625,32750647749.3966,25.65724326067909,0.0010104179382324219,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,0.921875,8078086122076.43,19.531286376904877,0.0,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.854375,16727970058.46038,24.975328045068796,0.0009875297546386719,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,0.845625,10836282498.3511,22.418891425053275,0.0030069351196289062,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,0.855,21077085908.083572,21.720650655073108,0.0010008811950683594,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,0.8425,1602000531232.6414,16.613696235743323,0.0,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.824375,9693940965.336956,21.547530600126432,0.0009925365447998047,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,0.965625,115403147848.58113,28.0850045134067,0.004000425338745117,0.6,equicorrelated
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,0.97375,244516589577.38394,28.22611536430249,0.0010097026824951172,0.6,equicorrelated
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,0.944375,14362771983120.518,20.688253379199097,0.0,0.6,equicorrelated
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.95125,87077147045.7532,27.59368297616663,0.0009975433349609375,0.6,equicorrelated
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,0.905,23206415062.179455,23.763658270679763,0.003992557525634766,0.6,equicorrelated
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,0.8575,13861916627.169582,23.136840387437104,0.0,0.6,equicorrelated
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,0.90125,4589129742930.605,18.457506652126717,0.0,0.6,equicorrelated
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.9,23516203373.004272,26.562842677434624,0.0010151863098144531,0.6,equicorrelated
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,0.7925,4678442814.0142975,19.943960575849346,0.0019998550415039062,0.6,equicorrelated
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,0.77,4340695063.780449,19.78315905650367,0.0,0.6,equicorrelated
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,0.79125,643522538640.4642,15.165487527776804,0.0,0.6,equicorrelated
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.76125,3475220678.53388,19.03183303431282,0.0009918212890625,0.6,equicorrelated
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,0.95875,92522735754.70981,30.386721246118952,0.003998756408691406,0.6,equicorrelated
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,0.93,188588580243.02496,33.59142821881797,0.0010013580322265625,0.6,equicorrelated
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,0.975625,40463083661897.79,22.945942327753272,0.0,0.6,equicorrelated
0.05,10,100,2,Empirical_copula,Gaussian,absolute_residual,0.895625,34618967309.29191,29.151389310201537,0.0010008811950683594,0.6,equicorrelated
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,0.8775,17306175666.632763,25.625801504469944,0.004005908966064453,0.6,equicorrelated
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,0.909375,41426603513.40983,26.60000486063904,0.0,0.6,equicorrelated
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,0.92125,7437067573722.603,19.37047063777994,0.0,0.6,equicorrelated
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,0.86125,18390036108.791718,26.361719324327005,0.0009965896606445312,0.6,equicorrelated
0.2,10,100,2,TSCP_R,Gaussian,absolute_residual,0.805625,6366770627.475823,22.999452811058415,0.0029931068420410156,0.6,equicorrelated
0.2,10,100,2,Point_CHR,Gaussian,absolute_residual,0.785,6783988231.269131,21.977262113290664,0.0,0.6,equicorrelated
0.2,10,100,2,Unscaled,Gaussian,absolute_residual,0.808125,884263622654.4055,15.655183983361585,0.0,0.6,equicorrelated
0.2,10,100,2,Empirical_copula,Gaussian,absolute_residual,0.76125,4595824461.71446,22.569430499243694,0.0009965896606445312,0.6,equicorrelated
0.05,10,100,3,TSCP_R,Gaussian,absolute_residual,0.951875,56065228939.10221,25.80856804397871,0.0040128231048583984,0.6,equicorrelated
0.05,10,100,3,Point_CHR,Gaussian,absolute_residual,0.926875,46752746499.52193,25.83226238014412,0.0009930133819580078,0.6,equicorrelated
0.05,10,100,3,Unscaled,Gaussian,absolute_residual,0.95125,18146577000941.48,21.177733145710796,0.0,0.6,equicorrelated
0.05,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.929375,43444149093.95411,25.808016231664457,0.0010063648223876953,0.6,equicorrelated
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,0.90875,22023819737.947727,23.46917722969836,0.004002571105957031,0.6,equicorrelated
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,0.880625,20456692985.135246,23.083210590088772,0.000990152359008789,0.6,equicorrelated
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,0.914375,6206440608741.974,19.023230070867626,0.0,0.6,equicorrelated
