alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,1,32.7587376852464,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,2,31.639759688870704,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,3,18.755127611141347,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,4,21.419428185054855,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,5,15.90639637754683,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,6,11.935150450198819,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,7,10.44267655582949,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,8,8.90291342264048,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,9,6.438634945367001,0.0,equicorrelated
0.1,10,30,0,TSCP_R,Gaussian,absolute_residual,10,3.464437458831048,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,1,52.74531369045188,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,2,46.441888971259445,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,3,22.80757414136294,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,4,19.883398291389778,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,5,20.61331801869614,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,6,9.585431581746274,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,7,11.92137469049035,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,8,14.125469796529519,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,9,7.432507166689102,0.0,equicorrelated
0.1,10,30,0,Point_CHR,Gaussian,absolute_residual,10,5.561910542537557,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,1,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,2,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,3,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,4,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,5,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,6,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,7,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,8,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,9,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Unscaled,Gaussian,absolute_residual,10,24.768691593245943,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,1,28.130475239580363,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,2,27.10552910933056,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,3,12.458167044740208,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,4,19.883398291389778,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,5,11.38273943005802,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,6,8.548038740092588,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,7,9.67112198530369,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,8,7.533487822078201,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,9,4.7446550299857755,0.0,equicorrelated
0.1,10,30,0,Empirical_copula,Gaussian,absolute_residual,10,2.96631446197914,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,1,27.7899300434486,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,2,25.161086704081395,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,3,22.43002947310213,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,4,25.71529024817137,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,5,15.773923002885784,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,6,15.495410841060446,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,7,11.594995516687217,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,8,8.064658279933983,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,9,4.546022866605259,0.0,equicorrelated
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,10,2.715167308264504,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,1,39.20715535746496,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,2,37.2863344399113,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,3,39.759787279187975,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,4,45.90770475811619,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,5,17.312942269939054,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,6,14.687760327041104,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,7,22.903230181558897,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,8,10.436678245431143,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,9,6.927518988523413,0.0,equicorrelated
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,10,3.8026442071833566,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,1,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,2,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,3,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,4,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,5,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,6,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,7,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,8,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,9,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,10,19.408772278721255,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,1,23.102416317257195,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,2,19.40877227862858,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,3,17.974149002763067,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,4,20.753429084092616,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,5,13.821369540405957,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,6,14.687760327041104,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,7,10.353829839109927,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,8,5.867957909699886,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,9,3.1317133978824785,0.0,equicorrelated
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,10,2.1564429060828605,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,1,22.896405208948824,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,2,28.67166368488499,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,3,24.82508971683795,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,4,18.0338331535636,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,5,15.484075315541974,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,6,16.01455704098041,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,7,10.927813213575046,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,8,7.9949114751145895,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,9,5.4665481628216845,0.0,equicorrelated
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,10,2.9692997835860315,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,1,26.64214338396252,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,2,27.530946934126902,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,3,28.479151448455752,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,4,29.28915685139014,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,5,23.087881819582172,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,6,18.765317483452847,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,7,10.647309790154846,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,8,7.709623371652072,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,9,7.103794607635667,0.0,equicorrelated
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,10,2.9740508144723443,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,1,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,2,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,3,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,4,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,5,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,6,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,7,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,8,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,9,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Unscaled,Gaussian,absolute_residual,10,17.603829154929073,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,1,17.60382915483976,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,2,21.77010052989009,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,3,16.4770574237427,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,4,16.945698687926694,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,5,13.35785426129571,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,6,13.780071841201021,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,7,7.549331917500268,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,8,7.709623371652072,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,9,4.110011209018431,0.0,equicorrelated
0.1,10,30,2,Empirical_copula,Gaussian,absolute_residual,10,2.0867015996938783,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,1,33.67848449309435,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,2,26.816060001012065,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,3,18.032074547606836,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,4,22.00458596016868,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,5,16.932564354388784,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,6,11.993542729966066,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,7,9.957453224605649,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,8,10.75284516595529,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,9,7.012668290419822,0.0,equicorrelated
0.1,10,30,3,TSCP_R,Gaussian,absolute_residual,10,2.192564999377726,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,1,27.537579818049878,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,2,28.016869093690207,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,3,21.831466512808696,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,4,28.22153250715084,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,5,17.436998643194272,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,6,12.290573297156433,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,7,9.908381725961618,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,8,14.17601515699953,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,9,5.815840643267277,0.0,equicorrelated
0.1,10,30,3,Point_CHR,Gaussian,absolute_residual,10,1.9214846051790537,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,1,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,2,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,3,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,4,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,5,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,6,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,7,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,8,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,9,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Unscaled,Gaussian,absolute_residual,10,21.24619262281368,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,1,27.537579818049878,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,2,21.092114586666256,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,3,16.435519320280967,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,4,21.246192622794215,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,5,13.970553590052962,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,6,9.252789076914635,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,7,7.459388914355158,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,8,10.672218050984547,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,9,4.8504467516137595,0.0,equicorrelated
0.1,10,30,3,Empirical_copula,Gaussian,absolute_residual,10,1.446563259207264,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,1,27.65041398947392,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,2,21.261484055710618,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,3,22.10650076166448,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,4,23.398393595632907,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,5,16.3146545156485,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,6,15.862953961686786,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,7,11.297021235116105,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,8,7.117324824742806,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,9,4.721269802026608,0.0,equicorrelated
0.1,10,30,4,TSCP_R,Gaussian,absolute_residual,10,2.797736688460712,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,1,32.50375166122558,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,2,18.784392718449862,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,3,30.134684191948494,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,4,33.747377519523596,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,5,20.157608904419355,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,6,21.010004043175982,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,7,10.243304473267894,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,8,8.591319749412085,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,9,5.170574736344149,0.0,equicorrelated
0.1,10,30,4,Point_CHR,Gaussian,absolute_residual,10,3.924579136111587,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,1,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,2,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,3,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,4,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,5,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,6,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,7,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,8,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,9,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Unscaled,Gaussian,absolute_residual,10,21.194342718870583,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,1,21.207479466868932,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,2,18.784392718449862,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,3,19.107124061825164,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,4,24.541706100001484,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,5,12.659569510670991,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,6,14.188308382490456,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,7,10.090012604889878,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,8,6.32518183311045,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,9,4.065369684281734,0.0,equicorrelated
0.1,10,30,4,Empirical_copula,Gaussian,absolute_residual,10,2.464750785141046,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,1,23.780225154991033,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,2,22.326016698381583,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,3,21.791155466863216,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,4,26.402315505429904,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,5,13.411356290298471,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,6,13.563704371778163,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,7,10.708247018861988,0.0,equicorrelated
0.1,10,30,5,TSCP_R,Gaussian,absolute_residual,8,8.084626172311939,0.0,equicorrelated
