alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,noise_ratio
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,1,2.91739479387359,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,2,2.876556912669222,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,3,2.811006958244426,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,4,2.8940618057163903,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,5,2.7314935643331766,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,6,2.470570903377028,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,7,2.89130821526443,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,8,2.7959266169780737,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,9,2.7156752263818578,1
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.8373225537166515,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,1,2.916527972955553,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,2,3.1534973789705303,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,3,2.453413257276297,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,4,2.7822295400060324,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,5,2.3078479484167036,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,6,2.182446146690647,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,7,2.6572057419166804,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,8,2.749491254419678,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,9,2.603956971707606,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,10,2.7947054332574406,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,1,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,2,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,3,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,4,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,5,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,6,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,7,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,8,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,9,2.6965555904303695,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,10,2.6965555904303695,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,2.84110997077369,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,2.222202502105759,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,2.350705455690637,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,2.459713040399656,1
