alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,noise_ratio
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,0.95125,28697.370206174146,2.91739479387359,0.004174232482910156,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,0.896875,16812.038715144277,3.1534973789705303,0.0,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,0.931875,20327.959111301174,2.6965555904303695,0.0,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.844375,8956.581884000547,3.1944745425109304,0.0019927024841308594,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,0.944375,33822.770816787815,3.0184405837201904,0.003999948501586914,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,0.916875,25276.175280024367,3.3982081421782087,0.0,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,0.92875,21447.17001588899,2.71104670456027,0.0,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.8525,9734.847595912188,2.8037446803755,0.002010822296142578,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,0.906875,17661.520608616433,2.8530651781979386,0.005001544952392578,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,0.91375,31225.230760347287,3.30042355841523,0.0,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,0.92125,18062.009540234278,2.6648735527010765,0.0,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,0.81125,6079.158015612872,2.7532079446602253,0.001998424530029297,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,0.88,11766.564097039769,2.9367075694909905,0.002999544143676758,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,0.8425,8487.999331939209,2.9900729469418015,0.0010073184967041016,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,0.879375,9283.335121225657,2.4932762655997425,0.0,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.776875,4642.698322051524,2.9207307047134208,0.0009922981262207031,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,0.9175,19965.91218781483,3.127352300404245,0.004006147384643555,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,0.88125,16047.886560006884,3.2865360948991764,0.0,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,0.9475,28596.158563856297,2.790170673287979,0.0,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.84,8363.450230792107,2.8898550327181987,0.0020008087158203125,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,0.8825,13921.527913432425,3.0043903161129295,0.003998279571533203,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,0.901875,17083.970289602694,3.3715408252672394,0.0,1
