alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,10,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,200,19.03735410079511,5.215095480616254,18.576818388703366
0.1,10,10,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,200,16.446550569940985,4.310971379512379,16.47036852556041
0.1,10,10,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,200,14.513978960547432,3.9149009371160433,14.370910530756694
0.1,10,10,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,200,13.22395207010884,3.603720326539933,13.13029792675502
0.1,10,10,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,200,11.45242149586496,3.150316373648359,11.059806250599085
0.1,10,10,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,200,9.663181590383342,2.750681090716008,9.292238027993465
0.1,10,10,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,200,7.581034056559603,1.9839751445779803,7.501334808711281
0.1,10,10,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,200,5.6681722243265575,1.5528533448661346,5.480070051041792
0.1,10,10,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,200,3.6902986527960047,1.037404406887087,3.5746676281292404
0.1,10,10,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,200,1.9534931815754932,0.523131410731952,1.9315613583737528
0.1,10,10,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,200,inf,,inf
0.1,10,10,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,200,39.574821821152455,13.523245988187446,38.28003174386291
0.1,10,10,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,200,34.20755336147804,12.136306538045696,33.05926817699938
0.1,10,10,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,200,30.481442961801278,10.532417140031697,28.547808114886514
0.1,10,10,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,200,27.717461706604585,10.02947227149986,26.454447153319325
0.1,10,10,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,200,24.206755067297127,9.23943743969588,22.700824364115
0.1,10,10,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,200,19.810676016187337,7.44650067413665,17.987079384522197
0.1,10,10,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,200,15.743350609767157,5.708249326539452,14.63938210596769
0.1,10,10,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,200,11.713196481305012,4.294956320735003,11.075556153708657
0.1,10,10,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,200,7.650461913940544,2.7498790125600228,7.360257294162354
0.1,10,10,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,200,4.036406846536952,1.3584631116256416,3.780086178071863
0.1,10,10,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,2,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,10,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,200,21.406273888292095,4.140022489588045,20.87775706713837
0.1,10,20,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,200,21.74142181497286,4.718406024406135,21.11288796309121
0.1,10,20,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,200,19.564233905771456,4.12389053115176,19.05821116223087
0.1,10,20,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,200,17.134830122876895,3.6921497200230675,16.92434744087513
0.1,10,20,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,200,15.090249257303476,3.4043085389549494,14.640685614549897
0.1,10,20,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,200,12.82534399188371,2.875848005667023,12.691879461442888
0.1,10,20,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,200,10.7405258492042,2.3839369849712333,10.454128391832606
0.1,10,20,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,200,8.682563799152998,1.8053562352532824,8.56427836122265
0.1,10,20,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,200,6.343844464145478,1.3439103655716493,6.222929175434145
0.1,10,20,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,200,4.328192470108246,1.0246439363593896,4.175027923596383
0.1,10,20,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,200,2.1696423768015958,0.4394315180425969,2.128506050796374
0.1,10,20,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,200,35.810182504987786,13.205680797376703,33.15966807676403
