alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,1,55.86651648746045,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,2,32.95235255058528,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,3,34.2751164991038,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,4,24.703467969862857,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,5,26.26847169669227,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,6,17.164513805977556,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,7,13.068106268189098,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,8,7.87737303004617,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,9,9.768733698211927,0.0,equicorrelated
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,10,6.255340241104147,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,1,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,2,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,3,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,4,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,5,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,6,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,7,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,8,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,9,inf,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,10,inf,0.0,equicorrelated
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,1,22.45611652457922,0.0,equicorrelated
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,2,22.45611652457922,0.0,equicorrelated
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,3,22.45611652457922,0.0,equicorrelated
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,4,22.45611652457922,0.0,equicorrelated
