alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.1,10,10,0,TSCP_R,Gaussian,absolute_residual,0.988125,4421040281205.052,55.86651648746045,0.002999544143676758,0.0,equicorrelated
0.1,10,10,0,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.00099945068359375,0.0,equicorrelated
0.1,10,10,0,Unscaled,Gaussian,absolute_residual,0.948125,32609679605304.457,22.45611652457922,0.0,0.0,equicorrelated
0.1,10,10,0,Empirical_copula,Gaussian,absolute_residual,0.52875,3219015618.0210614,22.456116524481658,0.0,0.0,equicorrelated
0.1,10,10,1,TSCP_R,Gaussian,absolute_residual,0.999375,20982217785918.73,44.564664959474776,0.0029973983764648438,0.0,equicorrelated
0.1,10,10,1,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,0.791875,1836905934081.5762,16.84258282497165,0.0,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,0.398125,1341824936.1873596,16.84258282487409,0.0,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,0.52625,56514324420.86895,24.864796083133328,0.0030024051666259766,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010004043579101562,0.0,equicorrelated
0.1,10,10,2,Unscaled,Gaussian,absolute_residual,0.78625,1506416602571.9705,16.511803413581394,0.0,0.0,equicorrelated
0.1,10,10,2,Empirical_copula,Gaussian,absolute_residual,0.09625,215903597.48104158,16.511803413536356,0.0,0.0,equicorrelated
0.1,10,10,3,TSCP_R,Gaussian,absolute_residual,0.901875,404975438560.98364,34.61095424757139,0.001997232437133789,0.0,equicorrelated
0.1,10,10,3,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010013580322265625,0.0,equicorrelated
0.1,10,10,3,Unscaled,Gaussian,absolute_residual,0.783125,1595069207864.2422,16.60649400817589,0.0,0.0,equicorrelated
0.1,10,10,3,Empirical_copula,Gaussian,absolute_residual,0.246875,392135278.1833782,16.60649400809003,0.0,0.0,equicorrelated
0.1,10,10,4,TSCP_R,Gaussian,absolute_residual,1.0,97015562793908.14,64.73659679739971,0.002085447311401367,0.0,equicorrelated
0.1,10,10,4,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,4,Unscaled,Gaussian,absolute_residual,0.979375,72379573608481.25,24.31988976268556,0.0,0.0,equicorrelated
0.1,10,10,4,Empirical_copula,Gaussian,absolute_residual,0.550625,5343486921.188288,24.319889762615823,0.0009217262268066406,0.0,equicorrelated
0.1,10,10,5,TSCP_R,Gaussian,absolute_residual,0.98875,4858740556711.372,44.09537726786323,0.0020058155059814453,0.0,equicorrelated
0.1,10,10,5,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,5,Unscaled,Gaussian,absolute_residual,0.944375,20120140189459.395,21.397503211907292,0.0,0.0,equicorrelated
0.1,10,10,5,Empirical_copula,Gaussian,absolute_residual,0.49875,1977950229.111107,21.397503211863405,0.0,0.0,equicorrelated
0.1,10,10,6,TSCP_R,Gaussian,absolute_residual,0.990625,2677528743080.215,44.13553290451575,0.0020072460174560547,0.0,equicorrelated
0.1,10,10,6,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.00099945068359375,0.0,equicorrelated
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,0.925625,12157107863530.02,20.346186777732058,0.0,0.0,equicorrelated
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,0.4725,1913410841.964182,20.346186777655944,0.0,0.0,equicorrelated
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,0.958125,273284313712.8624,30.40149645000654,0.0009984970092773438,0.0,equicorrelated
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,7,Unscaled,Gaussian,absolute_residual,0.9175,13871294271554.9,20.616346200922923,0.0,0.0,equicorrelated
0.1,10,10,7,Empirical_copula,Gaussian,absolute_residual,0.60625,4731675502.356314,20.616346200913505,0.0,0.0,equicorrelated
0.1,10,10,8,TSCP_R,Gaussian,absolute_residual,0.810625,35486872034.16025,22.341682155810012,0.0019965171813964844,0.0,equicorrelated
0.1,10,10,8,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009999275207519531,0.0,equicorrelated
0.1,10,10,8,Unscaled,Gaussian,absolute_residual,0.6125,202791721531.47952,13.511545317938722,0.0,0.0,equicorrelated
0.1,10,10,8,Empirical_copula,Gaussian,absolute_residual,0.196875,186606366.67093846,13.511545317893685,0.0,0.0,equicorrelated
0.1,10,10,9,TSCP_R,Gaussian,absolute_residual,0.903125,123973567260.28275,28.89159462523628,0.003005504608154297,0.0,equicorrelated
0.1,10,10,9,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,9,Unscaled,Gaussian,absolute_residual,0.808125,2146165981142.9727,17.106703601336065,0.0,0.0,equicorrelated
0.1,10,10,9,Empirical_copula,Gaussian,absolute_residual,0.505625,2511785886.7385964,17.106703601291027,0.0010006427764892578,0.0,equicorrelated
0.1,10,10,10,TSCP_R,Gaussian,absolute_residual,0.986875,855190210558.5109,43.16370760526486,0.002007722854614258,0.0,equicorrelated
0.1,10,10,10,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,10,Unscaled,Gaussian,absolute_residual,0.983125,136685623026474.4,25.916257338177196,0.0,0.0,equicorrelated
0.1,10,10,10,Empirical_copula,Gaussian,absolute_residual,0.440625,1767374811.9104927,25.916257338101083,0.0,0.0,equicorrelated
0.1,10,10,11,TSCP_R,Gaussian,absolute_residual,0.986875,1730187122811.975,49.03850132057356,0.003006458282470703,0.0,equicorrelated
0.1,10,10,11,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,11,Unscaled,Gaussian,absolute_residual,0.98,95869393935987.98,25.013127576929424,0.0,0.0,equicorrelated
