alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,1,1.2100197608333556,18.162717621034975,37.535455002903326
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,2,1.1136008741984633,387.0642893361396,775.2421795464776
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,3,0.9351140391185627,185.90959149966153,372.7542970384413
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,1.2100197608333556,6.4574507292215735,14.124921219276496
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,1.1136008741984633,7.290001694811836,15.693604263822142
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,0.9351140391185627,4.448276619817381,9.831667278753338
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,1.2100197608333556,6.320649489806673,13.851318740446713
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,1.1136008741984633,6.320649489806673,13.754899853811809
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,0.9351140391185627,6.320649489806673,13.576413018731916
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,1.2100197608333556,6.429065113566942,14.068149987967253
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,1.1136008741984633,6.437261207281992,13.988123288762454
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,0.9351140391185627,5.408491261943293,11.752096563005152
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,1,1.155830392506597,35.19429550691117,71.54442140632912
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,2,1.1674222052315735,189.0166012033418,379.2006246119149
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,3,0.898338648621623,134.1475069705008,269.1933525896227
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,1.155830392506597,6.612610319711862,14.381051031930323
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,1.1674222052315735,6.844843488160818,14.857109181553215
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,0.898338648621623,4.605100188649166,10.108539025919963
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,1.155830392506597,6.56876803401876,14.293366460544126
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,1.1674222052315735,6.56876803401876,14.304958273269097
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,0.898338648621623,6.56876803401876,14.035874716659134
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,1.155830392506597,6.353154452245699,13.862139296997997
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,1.1674222052315735,6.316137052454032,13.799696310139652
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,0.898338648621623,4.187093885550096,9.272526419721812
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,1,1.1874402105659583,23.43917039409825,48.065780998762484
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,2,1.1410619806099245,67.37971095541207,135.90048389143388
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,3,0.9157506945549408,62.87884892736855,126.6734485492921
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,1.1874402105659583,7.094847310712233,15.377134831990416
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,1.1410619806099245,8.025562387738166,17.192186756086265
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,0.9157506945549408,5.022095635127531,10.959941964810008
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,1.1874402105659583,6.507841181011976,14.203122572589907
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,1.1410619806099245,6.507841181011976,14.15674434263388
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,0.9157506945549408,6.507841181011976,13.931433056578884
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,1.1874402105659583,6.930168778390724,15.047777767347425
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,1.1410619806099245,6.507841180973228,14.156744342556376
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,0.9157506945549408,4.886244810356253,10.688240315267457
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.9,0.0,1,1.109330404931125,29.196477953780736,59.50228631249181
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.9,0.0,2,1.0880481386208634,125.80300116809417,252.6940504748091
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.9,0.0,3,0.9426390279812544,148.12221647286364,297.18707197370816
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,1.109330404931125,7.170121169696639,15.449572744324408
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,1.0880481386208634,6.9288630665154365,14.945774271651741
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,0.9426390279812544,4.627395522489904,10.197430072961064
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,1.109330404931125,6.645247280268465,14.399824965468047
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,1.0880481386208634,6.645247280268465,14.378542699157794
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,0.9426390279812544,6.645247280268465,14.233133588518188
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,1.109330404931125,6.998429451943634,15.106189308818402
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,1.0880481386208634,7.34915974483383,15.786367628288533
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,0.9426390279812544,4.5077445983418265,9.958128224664906
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,1,1.0997764621311357,22.619182791984144,46.33814204609875
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,2,1.1123288352201965,98.26845008992213,197.64922901506458
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.0234953651868999,144.2690595393232,289.56161444383355
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,1.0997764621311357,7.766676444679947,16.633129351491025
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,1.1123288352201965,7.9648834240241895,17.042095683268567
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.0234953651868999,5.306788172954855,11.637071711096613
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,1.0997764621311357,7.179287090465974,15.45835064306308
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,1.1123288352201965,7.179287090465974,15.470903016152146
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.0234953651868999,7.179287090465974,15.382069546118844
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,1.0997764621311357,7.614981044472703,16.329738551076545
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,1.1123288352201965,7.179287090421358,15.470903016062932
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.0234953651868999,5.3761734253991635,11.775842215985225
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,1,1.0938015314304625,20.04323957112634,41.180280673682994
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,2,1.0456077565996478,77.79404595759218,156.6336996717836
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,3,0.9438754367144863,92.71981108027238,186.3834975972595
0.1,3,100,5,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,1.0938015314304625,5.837513835212178,12.768829201854823
0.1,3,100,5,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,1.0456077565996478,4.830142175563525,10.705892107726708
0.1,3,100,5,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,0.9438754367144863,3.8503838175558696,8.64464307182623
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,1.0938015314304625,5.288477961837336,11.670757455105138
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,1.0456077565996478,5.288477961837336,11.622563680274327
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,0.9438754367144863,5.288477961837336,11.520831360389165
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,1.0938015314304625,5.666103890810456,12.426009313051367
