alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,0.8733333333333333,695103387.3587909,775.2421795464776,18.162717621034975,0.0
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.87,2182.686173572197,15.693604263822142,,0.00099945068359375
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8716666666666667,2589.9347033639565,13.851318740446713,,0.0
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.875,2315.8775623729794,14.068149987967253,,0.0010080337524414062
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,0.93,506300521.2027493,379.2006246119149,35.19429550691128,0.0
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.88,2161.893599261633,14.857109181553215,,0.0010132789611816406
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8983333333333333,2872.233236582366,14.304958273269097,,0.0
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8516666666666667,1775.7561870079942,13.862139296997997,,0.0
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,0.8983333333333333,6135271.855079554,135.90048389143388,23.439170394098245,0.0
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9216666666666666,2899.9774334522594,17.192186756086265,,0.00099945068359375
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9033333333333333,2803.4709132158514,14.203122572589907,,0.0
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9016666666666666,2279.1127930431035,15.047777767347425,,0.0010178089141845703
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.9,0.0,0.9166666666666666,96352921.54217888,297.18707197370816,29.196477953780363,0.0
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.88,2356.426179044839,15.449572744324408,,0.0010058879852294922
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8916666666666667,2948.771092113808,14.399824965468047,,0.0
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.875,2376.489686272902,15.786367628288533,,0.0
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,0.915,82733478.30794804,289.56161444383355,22.619182791983807,0.0
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.905,3300.559318381242,17.042095683268567,,0.0010137557983398438
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9016666666666666,3680.578210707819,15.470903016152146,,0.0
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8966666666666666,2976.7846397239864,16.329738551076545,,0.0009958744049072266
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,0.8866666666666667,24055429.248169877,186.3834975972595,20.04323957112625,0.0
0.1,3,100,5,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8166666666666667,1183.385932189113,12.768829201854823,,0.0010004043579101562
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.83,1564.41721953042,11.670757455105138,,0.0
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8033333333333333,1085.853065744593,12.426009313051367,,0.0
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.9,0.0,0.895,4305024.067767717,115.32257960246815,22.393718776039677,0.0
0.1,3,100,6,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9483333333333334,3002.7427924207227,17.484108194682957,,0.0009996891021728516
0.1,3,100,6,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.905,2386.142814675301,13.481241027621035,,0.0
0.1,3,100,6,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9383333333333334,2540.6705653845247,15.9633194677914,,0.0009992122650146484
0.1,3,100,7,CQHR,Gaussian,cqr,native,0.9,0.0,0.84,1850309.985722053,128.2997311804893,14.60558791383549,0.0
0.1,3,100,7,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.885,2006.7780448388387,16.02449820925727,,0.0009999275207519531
0.1,3,100,7,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.895,2645.4839487009062,13.913279525507402,,0.0
0.1,3,100,7,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.865,1780.549373457844,14.767843492151435,,0.000993967056274414
0.1,3,100,8,CQHR,Gaussian,cqr,native,0.9,0.0,0.93,88822058.24359535,305.39781350988363,41.50490102965841,0.0
0.1,3,100,8,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.92,3685.655695730572,18.41401096394863,,0.0009996891021728516
0.1,3,100,8,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9166666666666666,4010.1232731209075,15.981329115978006,,0.0
0.1,3,100,8,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8983333333333333,2696.093493031977,16.630538026120977,,0.001001596450805664
0.1,3,100,9,CQHR,Gaussian,cqr,native,0.9,0.0,0.9383333333333334,178855801.33275935,365.82725025944137,52.64826469918198,0.0
0.1,3,100,9,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.91,3127.1952548350905,17.901440466612556,,0.0009996891021728516
0.1,3,100,9,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.91,3703.9082557909983,15.527645296948377,,0.0
0.1,3,100,9,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8866666666666667,2608.277771351702,15.625103494726812,,0.0010001659393310547
0.1,3,100,10,CQHR,Gaussian,cqr,native,0.9,0.0,0.945,5310185439.975981,820.1044457466614,41.349389718840094,0.0
0.1,3,100,10,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8733333333333333,2871.3116086402947,16.088425871407328,,0.001008749008178711
0.1,3,100,10,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8583333333333333,2717.0669317426245,14.015380811243421,,0.0
0.1,3,100,10,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8616666666666667,2718.062811305256,14.92618061628789,,0.0009970664978027344
0.1,3,100,11,CQHR,Gaussian,cqr,native,0.9,0.0,0.91,17631572.399954606,148.0236285766885,27.40795523414385,0.0009925365447998047
0.1,3,100,11,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8766666666666667,1924.2183406314157,15.277982107831477,,0.001007080078125
0.1,3,100,11,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9,2932.544637471333,14.388014422790603,,0.0
0.1,3,100,11,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.875,2083.299209928782,17.3462675419757,,0.0009937286376953125
0.1,3,100,12,CQHR,Gaussian,cqr,native,0.9,0.0,0.9133333333333333,323201693.3608478,471.61808432082654,34.07527683578878,0.0
0.1,3,100,12,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8966666666666666,2053.794725706172,15.877786897082062,,0.0009999275207519531
0.1,3,100,12,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9066666666666666,2550.664255865221,13.759504031916395,,0.0
0.1,3,100,12,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.885,1923.2042860239678,15.863512187031313,,0.0009932518005371094
0.1,3,100,13,CQHR,Gaussian,cqr,native,0.9,0.0,0.9283333333333333,473918751.34466654,566.986114843903,37.686097200855556,0.0
0.1,3,100,13,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8816666666666667,2469.7316637439853,15.442672084680272,,0.0013663768768310547
0.1,3,100,13,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.845,2074.8699815216523,12.885368164021209,,0.0
0.1,3,100,13,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8066666666666666,1713.2012766533626,14.068419926584392,,0.0010204315185546875
0.1,3,100,14,CQHR,Gaussian,cqr,native,0.9,0.0,0.92,151555506.2070663,338.15945139518703,35.483874722812416,0.0
0.1,3,100,14,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8833333333333333,2237.398992789483,16.58000014488298,,0.0009975433349609375
0.1,3,100,14,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8933333333333333,2910.0847398439623,14.41886001587428,,0.0
0.1,3,100,14,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.87,1965.4762084942074,16.526179103887742,,0.0010001659393310547
0.1,3,100,15,CQHR,Gaussian,cqr,native,0.9,0.0,0.9266666666666666,5939973122.257097,960.1676668472732,31.661036307569162,0.0
0.1,3,100,15,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.925,3422.8927171328996,17.03832185886562,,0.0009999275207519531
0.1,3,100,15,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.93,4167.3770389000465,16.152495443063767,,0.0
0.1,3,100,15,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9266666666666666,3832.5340430006386,16.339314113989627,,0.0009944438934326172
0.1,3,100,16,CQHR,Gaussian,cqr,native,0.9,0.0,0.8583333333333333,3485394.6460215803,151.77568705691866,16.797465605718624,0.0
0.1,3,100,16,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9283333333333333,3817.4965503342323,18.81954607016271,,0.00099945068359375
0.1,3,100,16,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9383333333333334,4590.701896917813,16.71061994612304,,0.0
0.1,3,100,16,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9083333333333333,2953.7649992024562,17.979718640227052,,0.0009999275207519531
0.1,3,100,17,CQHR,Gaussian,cqr,native,0.9,0.0,0.8783333333333333,58075450.67646705,189.68755253307688,21.655107738167793,0.0009989738464355469
0.1,3,100,17,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.7966666666666666,1427.7700111484014,14.24866103191706,,0.0010001659393310547
0.1,3,100,17,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8483333333333334,2244.8406399978226,13.195015226800425,,0.0
0.1,3,100,17,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.7833333333333333,1387.3597191641418,15.432948248569765,,0.00099945068359375
0.1,3,100,18,CQHR,Gaussian,cqr,native,0.9,0.0,0.9266666666666666,177108290.5248626,294.70691092762866,30.8699247506154,0.0
0.1,3,100,18,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8566666666666667,1726.7544422568628,15.272680753255218,,0.0010051727294921875
0.1,3,100,18,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.88,2576.1798685298113,13.781316240316304,,0.0
0.1,3,100,18,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8016666666666666,1422.729300668489,14.573173689002866,,0.0009951591491699219
0.1,3,100,19,CQHR,Gaussian,cqr,native,0.9,0.0,0.8566666666666667,26346265.675836124,167.99940910923075,14.627836871345103,0.0
0.1,3,100,19,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8916666666666667,2236.4970723826264,15.89131428361864,,0.0009999275207519531
0.1,3,100,19,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8483333333333334,2292.287568206371,13.228218186757452,,0.0
0.1,3,100,19,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8466666666666667,1947.8817769908192,14.563800359312797,,0.0
0.1,3,100,20,CQHR,Gaussian,cqr,native,0.9,0.0,0.925,1863391297.437076,638.6884459729864,37.865691469070136,0.0
0.1,3,100,20,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.875,2573.0394707933133,16.832213384949654,,0.0010068416595458984
0.1,3,100,20,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8883333333333333,2930.81386481295,14.400750044016133,,0.0
0.1,3,100,20,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8716666666666667,2622.9031742101256,18.291178798197542,,0.0009999275207519531
0.1,3,100,21,CQHR,Gaussian,cqr,native,0.9,0.0,0.8866666666666667,191631459.00948295,248.38783542878932,28.26334476806453,0.0
0.1,3,100,21,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.865,2111.9798230609144,15.24417721510953,,0.001999378204345703
0.1,3,100,21,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8866666666666667,3086.1472756345747,14.673498686823184,,0.0
0.1,3,100,21,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8416666666666667,1843.8266561097612,14.534394356569491,,0.0010001659393310547
0.1,3,100,22,CQHR,Gaussian,cqr,native,0.9,0.0,0.9483333333333334,39410117.665617056,273.20449571843585,38.747045881629134,0.0
0.1,3,100,22,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9316666666666666,3769.6115162713268,19.511700305418948,,0.0010004043579101562
0.1,3,100,22,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.915,3599.1568861827495,15.458328375692744,,0.0
0.1,3,100,22,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.9283333333333333,3639.626529810298,19.148179357019874,,0.0
0.1,3,100,23,CQHR,Gaussian,cqr,native,0.9,0.0,0.91,63203677.835472256,294.0692272495767,28.993982725034122,0.0
0.1,3,100,23,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9483333333333334,3982.3623709513386,18.70165857901622,,0.000997781753540039
0.1,3,100,23,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9466666666666667,4430.833867756511,16.477791845240095,,0.0
