alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,30,CQHR,Gaussian,1,cqr,native,0.5,0.0,100,39.859330212878824,30.313193482963857,28.447384984575983,4.745182539389258,17.5570738367448
0.1,3,30,CQHR,Gaussian,2,cqr,native,0.5,0.0,100,60.90019348308,51.64086489572485,43.56870952426566,4.375445009983842,28.26237423654807
0.1,3,30,CQHR,Gaussian,3,cqr,native,0.5,0.0,100,43.78688244718947,35.91515080273613,31.39719065484859,3.4601424820630795,20.1633699825632
0.1,3,30,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,100,14.966807803193175,2.9666270993288872,14.809223715900519,4.745182539389258,5.110812631901959
0.1,3,30,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,100,13.531505194009508,2.6176251444460927,13.15919796476929,4.375445009983842,4.578030092012832
0.1,3,30,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,100,9.499278832434753,2.267642065825615,9.07754682090134,3.4601424820630795,3.019568175185836
0.1,3,30,TSCP_R,Gaussian,1,cqr,capped,0.5,0.0,100,17.739643927446092,3.550639994397037,17.81618165341989,4.745182539389258,6.497230694028416
0.1,3,30,TSCP_R,Gaussian,2,cqr,capped,0.5,0.0,100,16.393278062347406,3.9391129545108114,15.684676381270423,4.375445009983842,6.008916526181782
0.1,3,30,TSCP_R,Gaussian,3,cqr,capped,0.5,0.0,100,11.047045616385049,2.735526311797882,10.477894985933098,3.4601424820630795,3.793451567160984
0.1,3,30,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,100,15.2648785865993,2.3026675972206943,15.268556134910188,4.745182539389258,5.25984802360502
0.1,3,30,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,100,14.895141057193884,2.3107740518240774,14.834917922392364,4.375445009983842,5.25984802360502
