alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.768658412877112,10.256338165662118,25.2813347442015
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.342181701622427,15.076662066518232,34.49550583465889
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.3145517020697888,10.255049024404792,23.82464975087938
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.768658412877112,9.560709190923973,23.89007679472509
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.342181701622427,4.014083842716039,12.37034938705448
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.3145517020697888,2.8465147476380976,9.007581197345994
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.768658412877112,6.042599030517647,16.85385647391239
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.342181701622427,6.042599030517647,16.427379762657726
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.3145517020697888,6.042599030517647,15.399749763105074
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.768658412877112,7.321520223193492,19.411698859264067
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.342181701622427,3.4180504085075656,11.17828251863755
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.3145517020697888,1.6364251183765006,6.587401938822787
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.697574232723519,8.277452921833996,21.25248007639133
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.483830778261375,10.349701751605819,25.18323428147301
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.4994698737319214,7.470554048768452,18.44057797126883
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.697574232723519,7.7743012928966,20.246176818516734
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.483830778261375,4.37652879773331,13.236888373728009
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.4994698737319214,2.7042809381331416,8.908031749998207
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.697574232723519,5.840383079633118,16.378340391989767
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.483830778261375,5.840383079633118,16.164596937527623
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.4994698737319214,5.840383079633118,15.180236032998154
0.1,3,30,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.697574232723519,6.890511452016682,18.47859713675687
0.1,3,30,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.483830778261375,4.318903984672566,13.121638747606506
0.1,3,30,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.4994698737319214,2.139204273475041,7.777878420682006
0.1,3,30,2,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.6563407370174135,7.582202083287383,19.82074490359198
0.1,3,30,2,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.178690829861726,16.03132474619449,36.24134032225066
0.1,3,30,2,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.3223458050330956,9.992095745368616,23.30653729577035
0.1,3,30,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.6563407370174135,6.3793757429289295,17.415092222875263
0.1,3,30,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.178690829861726,4.2560659739514834,12.690822777764698
0.1,3,30,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.3223458050330956,2.602829736298554,8.528005277630202
0.1,3,30,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.6563407370174135,5.110196476218283,14.876733689453971
0.1,3,30,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.178690829861726,5.110196476218283,14.399083782298305
0.1,3,30,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.3223458050330956,5.110196476218283,13.54273875746966
0.1,3,30,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.6563407370174135,5.74446802562327,16.145276788263953
0.1,3,30,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.178690829861726,3.4970459735475155,11.172782776956756
0.1,3,30,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.3223458050330956,2.694680818707649,8.711707442448397
0.1,3,30,3,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.501990988103484,17.627499471305253,39.75698993071407
0.1,3,30,3,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.2919659311156355,27.641643302451413,59.575252536018475
0.1,3,30,3,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.1783729364122655,25.674949832034144,54.52827260048057
0.1,3,30,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.501990988103484,5.962068499596492,16.42612798729647
0.1,3,30,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.2919659311156355,3.792187853339187,11.876341637794004
0.1,3,30,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.1783729364122655,2.0187797286063223,7.2159323936248985
0.1,3,30,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.501990988103484,4.704536912294191,13.911064812691851
0.1,3,30,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.2919659311156355,4.704536912294191,13.701039755704008
0.1,3,30,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.1783729364122655,4.704536912294191,12.587446761000646
0.1,3,30,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.501990988103484,5.420452876481777,15.342896741067031
0.1,3,30,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.2919659311156355,3.068414092227705,10.428794115571035
0.1,3,30,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.1783729364122655,1.7797415151457452,6.737855966703754
0.1,3,30,4,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.834741830278755,12.276487109023707,29.38771604832588
0.1,3,30,4,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.567495825061829,26.09575670587686,56.75900923681556
0.1,3,30,4,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.4578432720894057,20.47935290968514,44.416549091459665
0.1,3,30,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.834741830278755,6.057709376199913,16.950160582678567
0.1,3,30,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.567495825061829,7.595211241831,19.75791830872384
0.1,3,30,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.4578432720894057,4.034915851295682,11.527674974680766
0.1,3,30,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.834741830278755,5.370225228341301,15.575192286961338
0.1,3,30,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.567495825061829,5.370225228341301,15.307946281744426
0.1,3,30,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.4578432720894057,5.370225228341301,14.198293728771999
0.1,3,30,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.834741830278755,5.370225228296262,15.575192286871255
0.1,3,30,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.567495825061829,4.153015510604914,12.873526846271654
0.1,3,30,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.4578432720894057,2.899631887874513,9.257107047838415
0.1,3,30,5,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.832022797522223,10.678396927886478,26.188816653295003
0.1,3,30,5,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.078099702935984,13.028201595560873,30.134502894057682
0.1,3,30,5,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.335036464097134,10.55914396657166,24.45332439724049
0.1,3,30,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.832022797522223,6.506352281622061,17.84472736076636
0.1,3,30,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.078099702935984,5.070397176533849,14.218894056003679
0.1,3,30,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.335036464097134,2.9326550617052183,9.20034658750757
0.1,3,30,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.832022797522223,4.342472555782417,13.516967909087079
0.1,3,30,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.078099702935984,4.342472555782417,12.763044814500823
0.1,3,30,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.335036464097134,4.342472555782417,12.019981575661964
0.1,3,30,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.832022797522223,4.7303164488219664,14.292655695166152
0.1,3,30,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.078099702935984,3.593605143185273,11.265309989306543
0.1,3,30,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.335036464097134,2.8615844109013224,9.058205285899781
0.1,3,30,6,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.721038376045194,8.340127054105626,21.401292484256498
0.1,3,30,6,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.482876867002107,11.45451187438451,27.39190061577113
0.1,3,30,6,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.536323852291451,8.414248237648541,20.364820327588497
0.1,3,30,6,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.721038376045194,6.768380034568729,18.25779844518265
0.1,3,30,6,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,4.482876867002107,5.044503496396672,14.571883859795438
0.1,3,30,6,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,3.536323852291451,3.340085095462734,10.216494043216914
0.1,3,30,6,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,4.721038376045194,4.751501983289942,14.224042342625069
0.1,3,30,6,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,4.482876867002107,4.751501983289942,13.985880833581989
0.1,3,30,6,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,3.536323852291451,4.751501983289942,13.03932781887133
0.1,3,30,6,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,4.721038376045194,4.751501983274514,14.224042342594215
0.1,3,30,6,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,4.482876867002107,4.511350119264886,13.50557710553188
0.1,3,30,6,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,3.536323852291451,2.4816511110167268,8.499626074324905
0.1,3,30,7,CQHR,Gaussian,cqr,native,0.5,0.0,1,4.829523836676196,7.89353101721062,20.616585871097435
0.1,3,30,7,CQHR,Gaussian,cqr,native,0.5,0.0,2,4.357115278358174,15.280681013283923,34.91847730492603
0.1,3,30,7,CQHR,Gaussian,cqr,native,0.5,0.0,3,3.4968526940236955,16.660502256355635,36.81785720673497
0.1,3,30,7,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,4.829523836676196,4.126611552229307,13.082746941134799
