alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,0.895,339250.36769714725,34.49550583465889,10.256338165662209,0.0
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8866666666666667,2803.310986281416,23.89007679472509,,0.001001119613647461
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9483333333333334,4402.109766994653,16.85385647391239,,0.0
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.785,1546.80418199513,19.411698859264067,,0.0010006427764892578
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,0.8716666666666667,15699.859641444578,25.18323428147301,8.277452921833902,0.0
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8783333333333333,2544.6183880164003,20.246176818516734,,0.0010006427764892578
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9216666666666666,4181.5214243052915,16.378340391989767,,0.0
0.1,3,30,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.84,2032.347460167817,18.47859713675687,,0.0010001659393310547
0.1,3,30,2,CQHR,Gaussian,cqr,native,0.5,0.0,0.8283333333333334,349915.40130354516,36.24134032225066,7.5822020832872745,0.0
0.1,3,30,2,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8533333333333334,2011.307199025006,17.415092222875263,,0.001172780990600586
0.1,3,30,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.885,3033.5633491941344,14.876733689453971,,0.0
0.1,3,30,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8083333333333333,1689.0716480547424,16.145276788263953,,0.0
0.1,3,30,3,CQHR,Gaussian,cqr,native,0.5,0.0,0.94,3530803.258622301,59.575252536018475,17.62749947130528,0.0
0.1,3,30,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8083333333333333,1527.035779190478,16.42612798729647,,0.0010018348693847656
0.1,3,30,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8683333333333333,2522.5360983914275,13.911064812691851,,0.0
0.1,3,30,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7383333333333333,1188.3180935802447,15.342896741067031,,0.0
0.1,3,30,4,CQHR,Gaussian,cqr,native,0.5,0.0,0.9066666666666666,6387277.098066179,56.75900923681556,12.276487109023567,0.0
0.1,3,30,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.94,4026.9292163674318,19.75791830872384,,0.0010018348693847656
0.1,3,30,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9083333333333333,3538.9453432970795,15.575192286961338,,0.0
0.1,3,30,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8533333333333334,1992.3939436388137,15.575192286871255,,0.0
0.1,3,30,5,CQHR,Gaussian,cqr,native,0.5,0.0,0.8783333333333333,110821.24136315353,30.134502894057682,10.678396927886396,0.0
0.1,3,30,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9183333333333333,2482.8546370376125,17.84472736076636,,0.0009927749633789062
0.1,3,30,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.86,2208.3095246032476,13.516967909087079,,0.0
0.1,3,30,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8283333333333334,1583.239962517056,14.292655695166152,,0.0
0.1,3,30,6,CQHR,Gaussian,cqr,native,0.5,0.0,0.8883333333333333,28843.54241063815,27.39190061577113,8.340127054105652,0.0
0.1,3,30,6,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.905,2881.470937470236,18.25779844518265,,0.0009999275207519531
0.1,3,30,6,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8833333333333333,2742.843684093925,14.224042342625069,,0.0
0.1,3,30,6,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8233333333333334,1769.6685067698227,14.224042342594215,,0.0010001659393310547
0.1,3,30,7,CQHR,Gaussian,cqr,native,0.5,0.0,0.8616666666666667,424313.14122797747,36.81785720673497,7.893531017210627,0.0
0.1,3,30,7,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8133333333333334,1846.282448721795,13.4097850570599,,0.0010073184967041016
0.1,3,30,7,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.7783333333333333,1679.1280723374632,12.1685550228757,,0.0
0.1,3,30,7,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7266666666666667,1285.6829964468698,12.168555022720893,,0.0
0.1,3,30,8,CQHR,Gaussian,cqr,native,0.5,0.0,0.9566666666666667,10622539.60146707,123.1812594898926,25.4305360283526,0.0
0.1,3,30,8,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.88,2680.425213861707,15.492744055475965,,0.0
0.1,3,30,8,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8566666666666667,2307.4417791912924,13.399561590482282,,0.0
0.1,3,30,8,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.86,2312.7462569866557,13.77351939939859,,0.0009996891021728516
0.1,3,30,9,CQHR,Gaussian,cqr,native,0.5,0.0,0.9233333333333333,1873841.4980417157,48.382181247870456,12.920995876943458,0.0
0.1,3,30,9,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.97,7212.555873414548,23.504002013501694,,0.0010111331939697266
0.1,3,30,9,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9583333333333334,5613.281037579626,18.045840644915447,,0.0
