alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,300.0,100,30.77763098950977,7.998329003442445,29.710845283971718,4.740969271164555,13.018330859172622
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,300.0,100,43.04369158549352,18.171727184654966,39.17579430410113,4.4146887098601475,19.314501437816688
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,300.0,100,31.995770603024006,18.265330825611308,28.617881834490937,3.460634540294441,14.267568031364782
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,300.0,100,15.801152027847488,1.8057440447069077,15.518607990564025,4.740969271164555,5.530091378341467
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,300.0,100,14.570431987248739,1.417920390564406,14.422901855946627,4.4146887098601475,5.077871638694296
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,300.0,100,10.118821736345293,1.4255291865721151,9.95228687297271,3.460634540294441,3.329093598025427
0.1,3,100,TSCP_GWC,Gaussian,1,cqr,shifted,0.5,300.0,100,16.328719956044083,1.7200153477873386,16.04604488774511,4.740969271164555,5.793875342439764
0.1,3,100,TSCP_GWC,Gaussian,2,cqr,shifted,0.5,300.0,100,15.124725856057596,1.4962578624252778,14.936892551845895,4.4146887098601475,5.355018573098725
0.1,3,100,TSCP_GWC,Gaussian,3,cqr,shifted,0.5,300.0,100,10.803903371817748,1.210054271856132,10.750314389697767,3.460634540294441,3.6716344157616536
0.1,3,100,TSCP_R,Gaussian,1,cqr,shifted,0.5,300.0,100,16.328719956044083,1.7200153477873386,16.04604488774511,4.740969271164555,5.793875342439764
0.1,3,100,TSCP_R,Gaussian,2,cqr,shifted,0.5,300.0,100,15.124725856057596,1.4962578624252778,14.936892551845895,4.4146887098601475,5.355018573098725
0.1,3,100,TSCP_R,Gaussian,3,cqr,shifted,0.5,300.0,100,10.803903371817748,1.210054271856132,10.750314389697767,3.460634540294441,3.6716344157616536
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.5,300.0,100,14.986080882328965,1.1123760842120503,14.860369741287842,4.740969271164555,5.122555805582206
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.5,300.0,100,14.659800321024559,1.0999295684026813,14.55029726017027,4.4146887098601475,5.122555805582206
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,300.0,100,13.705746151458852,1.1194274207853416,13.53604625512053,3.460634540294441,5.122555805582206
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,100.0,100,30.77763098950977,7.998329003442445,29.710845283971718,4.740969271164555,13.018330859172622
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,100.0,100,43.04369158549352,18.171727184654966,39.17579430410113,4.4146887098601475,19.314501437816688
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,100.0,100,31.995770603024006,18.265330825611308,28.617881834490937,3.460634540294441,14.267568031364782
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,100.0,100,15.801152027847488,1.8057440447069077,15.518607990564025,4.740969271164555,5.530091378341467
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,100.0,100,14.570431987248739,1.417920390564406,14.422901855946627,4.4146887098601475,5.077871638694296
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,100.0,100,10.118821736345293,1.4255291865721151,9.95228687297271,3.460634540294441,3.329093598025427
0.1,3,100,TSCP_GWC,Gaussian,1,cqr,shifted,0.5,100.0,100,16.328719956044086,1.7200153477873628,16.046044887745097,4.740969271164555,5.793875342439767
0.1,3,100,TSCP_GWC,Gaussian,2,cqr,shifted,0.5,100.0,100,15.124725856057571,1.4962578624252745,14.936892551845968,4.4146887098601475,5.355018573098712
0.1,3,100,TSCP_GWC,Gaussian,3,cqr,shifted,0.5,100.0,100,10.80390337181777,1.2100542718561254,10.750314389697829,3.460634540294441,3.6716344157616643
0.1,3,100,TSCP_R,Gaussian,1,cqr,shifted,0.5,100.0,100,16.328719956044086,1.7200153477873628,16.046044887745097,4.740969271164555,5.793875342439767
0.1,3,100,TSCP_R,Gaussian,2,cqr,shifted,0.5,100.0,100,15.124725856057571,1.4962578624252745,14.936892551845968,4.4146887098601475,5.355018573098712
0.1,3,100,TSCP_R,Gaussian,3,cqr,shifted,0.5,100.0,100,10.80390337181777,1.2100542718561254,10.750314389697829,3.460634540294441,3.6716344157616643
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.5,100.0,100,14.986080882328965,1.1123760842120503,14.860369741287842,4.740969271164555,5.122555805582206
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.5,100.0,100,14.659800321024559,1.0999295684026813,14.55029726017027,4.4146887098601475,5.122555805582206
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,100.0,100,13.705746151458852,1.1194274207853416,13.53604625512053,3.460634540294441,5.122555805582206
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,1000.0,100,30.77763098950977,7.998329003442445,29.710845283971718,4.740969271164555,13.018330859172622
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,1000.0,100,43.04369158549352,18.171727184654966,39.17579430410113,4.4146887098601475,19.314501437816688
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,1000.0,100,31.995770603024006,18.265330825611308,28.617881834490937,3.460634540294441,14.267568031364782
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,1000.0,100,15.801152027847488,1.8057440447069077,15.518607990564025,4.740969271164555,5.530091378341467
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,1000.0,100,14.570431987248739,1.417920390564406,14.422901855946627,4.4146887098601475,5.077871638694296
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,1000.0,100,10.118821736345293,1.4255291865721151,9.95228687297271,3.460634540294441,3.329093598025427
0.1,3,100,TSCP_GWC,Gaussian,1,cqr,shifted,0.5,1000.0,100,16.328719956044083,1.7200153477874236,16.046044887745683,4.740969271164555,5.7938753424397635
0.1,3,100,TSCP_GWC,Gaussian,2,cqr,shifted,0.5,1000.0,100,15.12472585605763,1.4962578624252347,14.936892551846807,4.4146887098601475,5.355018573098741
0.1,3,100,TSCP_GWC,Gaussian,3,cqr,shifted,0.5,1000.0,100,10.803903371817773,1.2100542718560863,10.750314389697765,3.460634540294441,3.6716344157616665
0.1,3,100,TSCP_R,Gaussian,1,cqr,shifted,0.5,1000.0,100,16.328719956044083,1.7200153477874236,16.046044887745683,4.740969271164555,5.7938753424397635
0.1,3,100,TSCP_R,Gaussian,2,cqr,shifted,0.5,1000.0,100,15.12472585605763,1.4962578624252347,14.936892551846807,4.4146887098601475,5.355018573098741
0.1,3,100,TSCP_R,Gaussian,3,cqr,shifted,0.5,1000.0,100,10.803903371817773,1.2100542718560863,10.750314389697765,3.460634540294441,3.6716344157616665
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.5,1000.0,100,14.986080882328965,1.1123760842120503,14.860369741287842,4.740969271164555,5.122555805582206
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.5,1000.0,100,14.659800321024559,1.0999295684026813,14.55029726017027,4.4146887098601475,5.122555805582206
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,1000.0,100,13.705746151458852,1.1194274207853416,13.53604625512053,3.460634540294441,5.122555805582206
