alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,300.0,1,4.703542562641052,10.365803634595903,25.435149831832614
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,300.0,2,4.381040337046846,16.435242160446684,37.251524657940266
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,300.0,3,3.3943406054668346,13.859566354816732,31.11347331510026
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,1,4.703542562641052,4.854116013773705,14.411774590188456
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,2,4.381040337046846,5.370782342169775,15.122605021386399
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,3,3.3943406054668346,3.241618668039848,9.877577941546516
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,1,4.703542562641052,4.854116013773705,14.411774590188456
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,2,4.381040337046846,5.370782342169775,15.122605021386399
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,3,3.3943406054668346,3.241618668039848,9.877577941546516
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,300.0,1,4.703542562641052,4.929652473206831,14.562847509054714
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,300.0,2,4.381040337046846,4.929652473206831,14.240345283460517
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,300.0,3,3.3943406054668346,4.929652473206831,13.25364555188049
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,1,4.703542562641052,5.006781778594021,14.71710611982909
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,2,4.381040337046846,4.929652473168083,14.240345283383013
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,3,3.3943406054668346,2.9951702327357026,9.384681070938235
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,300.0,1,4.627487606155158,15.818109817943556,36.26370724204206
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,300.0,2,4.52836322041175,25.888005395588266,56.304374011588166
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,300.0,3,3.4751975168420284,21.348809402662138,46.17281632216626
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,1,4.627487606155158,6.299677915608754,17.226843437372654
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,2,4.52836322041175,5.7022669964690635,15.932897213349866
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,3,3.4751975168420284,3.7679314404928164,11.01106039782767
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,1,4.627487606155158,6.299677915608754,17.226843437372654
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,2,4.52836322041175,5.7022669964690635,15.932897213349866
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,3,3.4751975168420284,3.7679314404928164,11.01106039782767
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,300.0,1,4.627487606155158,5.430477504246511,15.488442614648177
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,300.0,2,4.52836322041175,5.430477504246511,15.389318228904777
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,300.0,3,3.4751975168420284,5.430477504246511,14.33615252533505
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,1,4.627487606155158,5.430477504167818,15.488442614490799
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,2,4.52836322041175,6.107404775953835,16.74317277231942
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,3,3.4751975168420284,4.411363041044556,12.29792359893113
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,300.0,1,4.809761652361764,12.786342812248943,30.382447276859462
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,300.0,2,4.203716053455974,13.541064723154227,31.285845499764413
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,300.0,3,3.3064248506538716,10.13807091205282,23.582566674759494
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,1,4.809761652361764,5.6499743056930924,16.109710263747942
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,2,4.203716053455974,5.816590919000532,15.83689789145703
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,3,3.3064248506538716,4.206715276866532,11.71985540438694
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,1,4.809761652361764,5.6499743056930924,16.109710263747942
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,2,4.203716053455974,5.816590919000532,15.83689789145703
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,3,3.3064248506538716,4.206715276866532,11.71985540438694
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,300.0,1,4.809761652361764,4.957914363330205,14.725590379022169
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,300.0,2,4.203716053455974,4.957914363330205,14.1195447801164
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,300.0,3,3.3064248506538716,4.957914363330205,13.222253577314286
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,1,4.809761652361764,6.266267522168405,17.342296696698575
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,2,4.203716053455974,4.957914363264013,14.119544779983993
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,3,3.3064248506538716,3.867116629067926,11.040658108789732
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,300.0,1,4.488759120152995,7.624241505236261,19.737242130625617
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,300.0,2,4.509062828615594,11.020048378357906,26.54915958533141
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,300.0,3,3.4310473944719235,7.812392715972272,19.055832826416474
0.1,3,100,3,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,1,4.488759120152995,6.06705795515461,16.622875030462197
0.1,3,100,3,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,2,4.509062828615594,4.969236663276035,14.447536155167663
0.1,3,100,3,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,3,3.4310473944719235,3.2149963487805167,9.861040092032944
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,1,4.488759120152995,6.06705795515461,16.622875030462197
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,2,4.509062828615594,4.969236663276035,14.447536155167663
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,3,3.4310473944719235,3.2149963487805167,9.861040092032944
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,300.0,1,4.488759120152995,5.483044874197739,15.45484886854847
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,300.0,2,4.509062828615594,5.483044874197739,15.475152577011055
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,300.0,3,3.4310473944719235,5.483044874197739,14.397137142867395
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,1,4.488759120152995,5.891775074067932,16.27230926828885
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,2,4.509062828615594,5.247881856262868,15.004826541141346
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,3,3.4310473944719235,3.014807430042673,9.460662254557278
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,300.0,1,4.836870550633614,24.637648159263737,54.11216686916146
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,300.0,2,4.533668525005404,29.374750165250518,63.283168855506375
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,300.0,3,3.584827510278618,21.87101601116902,47.326859532616666
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,1,4.836870550633614,6.233702599651679,17.30427574993695
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,2,4.533668525005404,5.431514662535278,15.396697850075943
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,3,3.584827510278618,4.459099977764083,12.503027465806772
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,1,4.836870550633614,6.233702599651679,17.30427574993695
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,2,4.533668525005404,5.431514662535278,15.396697850075943
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,3,3.584827510278618,4.459099977764083,12.503027465806772
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,300.0,1,4.836870550633614,5.518325524928314,15.873521600490239
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,300.0,2,4.533668525005404,5.518325524928314,15.570319574862024
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,300.0,3,3.584827510278618,5.518325524928314,14.621478560135245
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,1,4.836870550633614,6.869922659871513,18.576715870376617
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,2,4.533668525005404,5.26170421768167,15.057076960368759
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,3,3.584827510278618,3.8396709906679334,11.264169491614469
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.5,300.0,1,4.611542320069376,15.79682766372132,36.205197647511945
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.5,300.0,2,4.143156274276559,23.975962024585176,52.0950803234469
