alpha,n_dim,n_cal,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,300.0,100,0.9056000000000001,0.03208392473983755,2592288.0357654816,13716283.10919177,39.17579430410113,8.032560348510743e-05
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,100,0.8721333333333334,0.03669655959311198,2480.183406811893,558.8950232546823,16.083649362315477,0.0008525848388671875
0.1,3,100,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,100,0.8936499999999999,0.03683973160754328,2856.1838581389297,728.3517156727646,16.334568525894227,0.0001795506477355957
0.1,3,100,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,100,0.8936499999999999,0.03683973160754328,2856.1838581389297,728.3517156727646,16.334568525894227,0.0009412717819213867
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,300.0,100,0.8933,0.032024804499868074,3211.571607988131,746.7996542548128,14.860369741287842,3.9892196655273436e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,100.0,100,0.9056000000000001,0.03208392473983755,2592288.0357654816,13716283.10919177,39.17579430410113,9.992361068725586e-05
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,100.0,100,0.8721333333333334,0.03669655959311198,2480.183406811893,558.8950232546823,16.083649362315477,0.0007610249519348144
0.1,3,100,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,100,0.8936499999999999,0.03683973160754328,2856.1838581389306,728.351715672758,16.334568525894227,0.00017279863357543945
0.1,3,100,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,100,0.8936499999999999,0.03683973160754328,2856.1838581389306,728.351715672758,16.334568525894227,0.001020176410675049
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,100.0,100,0.8933,0.032024804499868074,3211.571607988131,746.7996542548128,14.860369741287842,5.9986114501953124e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,1000.0,100,0.9056000000000001,0.03208392473983755,2592288.0357654816,13716283.10919177,39.17579430410113,9.984970092773438e-05
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,1000.0,100,0.8721333333333334,0.03669655959311198,2480.183406811893,558.8950232546823,16.083649362315477,0.0008113622665405273
0.1,3,100,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,100,0.8936499999999999,0.03683973160754328,2856.1838581389434,728.3517156727664,16.334568525894227,0.000169980525970459
0.1,3,100,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,100,0.8936499999999999,0.03683973160754328,2856.1838581389434,728.3517156727664,16.334568525894227,0.0009607958793640136
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,1000.0,100,0.8933,0.032024804499868074,3211.571607988131,746.7996542548128,14.860369741287842,5.0008296966552734e-05
