alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,300.0,0.895,327688.01597186597,37.251524657940266,10.365803634595775,0.0
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,0.8516666666666667,2305.687646711646,15.122605021386399,,0.0
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,0.8516666666666667,2305.687646711646,15.122605021386399,,0.0
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,300.0,0.8766666666666667,2909.2055204360636,14.562847509054714,,0.0
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,0.8466666666666667,2117.057048116672,14.71710611982909,,0.0009975433349609375
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,300.0,0.9433333333333334,1053219.868535064,56.304374011588166,15.81810981794344,0.0009992122650146484
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,0.93,3156.95289141662,17.226843437372654,,0.0010004043579101562
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,0.93,3156.95289141662,17.226843437372654,,0.0
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,300.0,0.9183333333333333,3551.2920495254393,15.488442614648177,,0.0
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,0.9216666666666666,3321.8349502744077,16.74317277231942,,0.0009999275207519531
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,300.0,0.8883333333333333,29274.21596527618,31.285845499764413,12.786342812248847,0.0
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,0.935,3133.789537565831,16.109710263747942,,0.0010004043579101562
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,0.935,3133.789537565831,16.109710263747942,,0.0
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,300.0,0.905,2885.9412661006,14.725590379022169,,0.0
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,0.925,2844.8229663291972,17.342296696698575,,0.00099945068359375
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,300.0,0.8466666666666667,24106.9121527216,26.54915958533141,7.62424150523632,0.0
0.1,3,100,3,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,0.885,2526.888153633407,16.622875030462197,,0.0009961128234863281
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,0.885,2526.888153633407,16.622875030462197,,0.0009996891021728516
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,300.0,0.905,3608.723127915155,15.475152577011055,,0.0
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,0.8766666666666667,2467.3608388999965,16.27230926828885,,0.0010001659393310547
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,300.0,0.955,271978.57906261407,63.283168855506375,24.63764815926394,0.0
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,0.92,3486.8857473677035,17.30427574993695,,0.0010073184967041016
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,0.92,3486.8857473677035,17.30427574993695,,0.0009996891021728516
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,300.0,0.915,3768.303765016622,15.873521600490239,,0.0
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,0.905,3308.4280923304036,18.576715870376617,,0.0
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.5,300.0,0.925,394118.1291778131,52.0950803234469,15.796827663721299,0.0
0.1,3,100,5,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,0.9233333333333333,2668.978388446342,15.149551271198124,,0.0010018348693847656
0.1,3,100,5,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,0.9233333333333333,2668.978388446342,15.149551271198124,,0.0
0.1,3,100,5,Unscaled,Gaussian,cqr,raw,0.5,300.0,0.915,2740.306796047235,14.369462593502012,,0.0
0.1,3,100,5,Empirical_copula,Gaussian,cqr,raw,0.5,300.0,0.915,2741.6657296227795,14.413895556236794,,0.0010018348693847656
0.1,3,100,6,CQHR,Gaussian,cqr,native,0.5,300.0,0.9416666666666667,54416.260765461106,37.04678794005916,12.06068935174857,0.0
0.1,3,100,6,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,0.9066666666666666,2548.0437949479146,15.47847894156898,,0.0009996891021728516
0.1,3,100,6,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,0.9066666666666666,2548.0437949479146,15.47847894156898,,0.0
