alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.05,10,100,0,TSCP_R,Gaussian,absolute_residual,0.88125,23910923376.50928,24.713789892982426,0.0030035972595214844,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Point_CHR,Gaussian,absolute_residual,0.815,10210838644.52271,23.62209264378037,0.0010001659393310547,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Unscaled,Gaussian,absolute_residual,0.925,15253875344443.924,20.813159829644633,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.785,7062917649.290382,22.23881684897928,0.0009949207305908203,0.6,equicorrelated,True,7200,800
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,0.80875,8236691688.061337,22.108077349687054,0.0030088424682617188,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,0.74875,3946099639.8764715,21.251167165310303,0.0009968280792236328,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,0.8725,4059138361566.161,18.232380909420698,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.785,7062917649.290382,22.23881684897928,0.00099945068359375,0.6,equicorrelated,True,7200,800
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,0.74375,3459328404.94547,20.318616263767804,0.003015756607055664,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,0.67,1755599029.033994,21.107168760156267,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,0.74,421849588228.75995,14.538371524536453,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.69,2170572003.109208,21.162046466600593,0.0009949207305908203,0.6,equicorrelated,True,7200,800
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,0.88625,25995668647.63097,25.45111351998267,0.003998279571533203,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Point_CHR,Gaussian,absolute_residual,0.885,29388956942.306583,25.236481566084095,0.0009999275207519531,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Unscaled,Gaussian,absolute_residual,0.91625,8630480856990.409,19.660904757337466,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.8375,12033899575.285446,22.810566626503665,0.0009999275207519531,0.6,equicorrelated,True,7200,800
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,0.8525,12504872791.460806,23.632810413467457,0.003009319305419922,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,0.8325,8654417590.44538,20.101077960710366,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,0.85,2464451165787.29,17.344908841197523,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.8375,12033899575.285446,22.810566626503665,0.0009992122650146484,0.6,equicorrelated,True,7200,800
0.2,10,100,1,TSCP_R,Gaussian,absolute_residual,0.755,4228449541.5303807,21.241022066137944,0.0029954910278320312,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Point_CHR,Gaussian,absolute_residual,0.725,5410910723.121948,22.37997314307438,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Unscaled,Gaussian,absolute_residual,0.785,735016721166.5376,15.368437734705916,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.7125,2718228204.7266717,19.704975524642826,0.0020139217376708984,0.6,equicorrelated,True,7200,800
0.05,10,100,2,TSCP_R,Gaussian,absolute_residual,0.96375,118163437963.77374,29.547251736655372,0.0030126571655273438,0.6,equicorrelated,True,7200,800
0.05,10,100,2,Point_CHR,Gaussian,absolute_residual,0.92875,80855505025.64561,35.69938696571797,0.000993490219116211,0.6,equicorrelated,True,7200,800
0.05,10,100,2,Unscaled,Gaussian,absolute_residual,0.98,128789193432318.44,25.762496295327185,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,2,Empirical_copula,Gaussian,absolute_residual,0.9525,175733111621.42676,41.23521219154716,0.0009992122650146484,0.6,equicorrelated,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,0.9075,30952969016.522392,25.69533170057092,0.0029997825622558594,0.6,equicorrelated,True,7200,800
