alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,df,redraw_train_test,n_train,n_test
0.1,10,30,0,TSCP_R,t,absolute_residual,1,18.646636561862632,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,2,17.528998845275293,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,3,33.2891207664794,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,4,10.689234812077999,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,5,12.35349042931952,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,6,25.71209809179071,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,7,19.872118279360983,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,8,11.200458858133292,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,9,18.79202044526698,1.5,True,7200,800
0.1,10,30,0,TSCP_R,t,absolute_residual,10,13.45260417901956,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,1,44.8520546371884,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,2,52.74640266515028,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,3,81.00289683784028,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,4,11.228183668998424,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,5,17.027288480741113,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,6,14.648564711272014,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,7,23.542042582510003,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,8,36.186989271375275,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,9,38.76866792158903,1.5,True,7200,800
0.1,10,30,0,Point_CHR,t,absolute_residual,10,30.407485552012435,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,t,absolute_residual,1,9.272200531775535,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,t,absolute_residual,2,10.90418770772529,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,t,absolute_residual,3,16.7456119727554,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,t,absolute_residual,4,6.406105295981444,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,t,absolute_residual,5,7.064279711789187,1.5,True,7200,800
0.1,10,30,0,Empirical_copula,t,absolute_residual,6,14.648564711272012,1.5,True,7200,800
