alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,0,TSCP_R,Gaussian,absolute_residual,0.92375,14115.757700369295,2.8176632781367648,0.003998756408691406,True,7200,800,1
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,0.90125,13650.506664368193,2.961576127389721,0.0,True,7200,800,1
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,0.92375,13979.432132795771,2.5974605066319167,0.0010035037994384766,True,7200,800,1
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,0.8075,5310.751790231557,2.7767868237975613,0.000997304916381836,True,7200,800,1
0.1,10,100,1,TSCP_R,Gaussian,absolute_residual,0.8925,14423.253179996987,2.9262132304835573,0.0040132999420166016,True,7200,800,1
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,0.915,27709.59433111627,3.4121238479107325,0.0009937286376953125,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,0.9,13215.244980108868,2.582899581049953,0.0,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,0.805,5186.868080535815,2.6702325092736263,0.0009925365447998047,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,0.92375,15972.154341189003,2.924365201340138,0.0030059814453125,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,0.9375,29631.10498712636,3.7563746872083774,0.0,True,7200,800,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,0.9175,12837.91718941095,2.5754282607527026,0.0,True,7200,800,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,0.81,6675.799768975146,3.406361733680443,0.0009951591491699219,True,7200,800,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,0.91375,17141.93605286646,2.8685055979049205,0.002999544143676758,True,7200,800,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,0.90625,28499.43754185504,3.469516520854719,0.0010082721710205078,True,7200,800,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,0.91625,17256.696761183688,2.652746601152018,0.0,True,7200,800,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.8625,9409.082948642861,2.8261143658656636,0.000997781753540039,True,7200,800,1
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,0.90375,9619.221893895701,2.866129562856778,0.004006624221801758,True,7200,800,1
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,0.9125,10850.185135977597,2.858489713918477,0.0,True,7200,800,1
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,0.91125,10406.975804285503,2.521926670199101,0.0,True,7200,800,1
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.8275,5499.418799333587,2.8345200445488032,0.0011017322540283203,True,7200,800,1
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,0.89875,12157.429665518363,2.8615555561126005,0.004010677337646484,True,7200,800,1
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,0.94625,21893.472328808894,3.1139050622500353,0.0,True,7200,800,1
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,0.88125,8671.424823912621,2.476333006657531,0.0,True,7200,800,1
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.795,5100.902205216688,2.9559621503202678,0.0009968280792236328,True,7200,800,1
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,0.855,9544.060328478432,2.5951293658969936,0.0030057430267333984,True,7200,800,1
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,0.8275,5792.681656247804,2.902354439503841,0.0009999275207519531,True,7200,800,1
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,0.83875,7056.578191172853,2.4258247114099967,0.0,True,7200,800,1
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.8,5143.49936109521,2.6930223657308154,0.0009946823120117188,True,7200,800,1
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,0.91375,18570.75149052805,2.9021161513519473,0.0029921531677246094,True,7200,800,1
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,0.905,23287.542953383672,3.3671594468387207,0.00099945068359375,True,7200,800,1
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,0.91375,16061.347406025683,2.6337721290914478,0.0,True,7200,800,1
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.81625,5957.11475622423,2.7349348923762697,0.0010061264038085938,True,7200,800,1
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,0.87375,10527.92121456858,2.8520233873168253,0.003007173538208008,True,7200,800,1
0.1,10,100,8,Point_CHR,Gaussian,absolute_residual,0.89875,15897.372319106149,2.987556033702015,0.0009984970092773438,True,7200,800,1
0.1,10,100,8,Unscaled,Gaussian,absolute_residual,0.85375,7832.446734887236,2.451262069247853,0.0,True,7200,800,1
0.1,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.7625,4471.174530737696,2.81610493839743,0.00099945068359375,True,7200,800,1
0.1,10,100,9,TSCP_R,Gaussian,absolute_residual,0.89375,10783.383303544126,2.767583415601595,0.0039997100830078125,True,7200,800,1
