alpha,n_dim,n_cal,trial,method,noise_type,score_type,redraw_train_test,n_train,n_test,test_coverage,coverage_volume,runtime,n_shapes,grid_size,template_calibration_size
0.1,2,30,0,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.7816666666666666,5.047224152505448,2.7239277999615297,1,20,15
0.1,2,30,1,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.605,5.744467276594131,0.0881908000446856,2,20,15
0.1,2,30,2,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.845,10.484414172055478,0.07728560001123697,3,20,15
0.1,2,30,3,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.885,9.411612416276832,0.11781279998831451,2,20,15
0.1,2,30,4,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9716666666666667,17.55231437989699,0.06640519993379712,2,20,15
0.1,2,30,5,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8366666666666667,10.428387556630765,0.08640489995013922,2,20,15
0.1,2,30,6,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.835,8.994090789868245,0.12260590004734695,2,20,15
0.1,2,30,7,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.96,14.997066645807587,0.06939119996968657,2,20,15
0.1,2,30,8,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9716666666666667,15.059740102120994,0.133682900108397,1,20,15
0.1,2,30,9,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.985,22.702900524130605,0.1269239999819547,1,20,15
0.1,2,30,10,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9533333333333334,32.961886773632,0.10437109996564686,2,20,15
0.1,2,30,11,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.965,15.469010695819684,0.126773800002411,1,20,15
0.1,2,30,12,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.945,19.495835672129214,0.10561550001148134,1,20,15
0.1,2,30,13,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8966666666666666,10.596111354712393,0.13130750006530434,1,20,15
