alpha,n_dim,n_cal,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,3,100,CQHR,Gaussian,cqr,native,0.9,0.0,True,2400,600,30,0.8980555555555555,0.04187667382903517,6001354823.078864,13979830602.758446,646.5789889080646,0.0001338640848795573
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,True,2400,600,30,0.8853333333333333,0.037682887362833546,26594.059783128247,7999.564587274848,35.95466388577215,0.000897216796875
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.9,0.0,True,2400,600,30,0.9034444444444444,0.031752555432604766,29693.410550481385,7684.588943033199,38.05134441170859,0.0009691476821899414
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.9,0.0,True,2400,600,30,0.8977222222222223,0.03292998299926765,38303.89757389132,11087.51440227403,34.17506294186967,0.0
0.1,3,100,CQHR,Gaussian,cqr,native,0.7,0.0,True,2400,600,30,0.916,0.032126426500522685,817480893.6379839,1416662098.791345,285.5043814567073,0.0002332607905069987
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.7,0.0,True,2400,600,30,0.8895555555555555,0.03882106839350615,24889.165016205432,7005.217659395758,36.459296828374505,0.0009008566538492839
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.7,0.0,True,2400,600,30,0.9055,0.035504438231010155,28041.69957289502,7777.868502819954,37.89722978110973,0.0011011362075805664
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.7,0.0,True,2400,600,30,0.8995555555555556,0.031782707331391685,34495.741474544215,9822.523062089786,33.107918678185584,3.33706537882487e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.8935555555555557,0.03184833952537603,128863172.73428012,378982498.2498621,76.24342381151335,0.0002008676528930664
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8854444444444444,0.03864548898184927,25883.554462215205,5543.3013910470845,37.19528286738556,0.0006337881088256836
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.5,0.0,True,2400,600,30,0.9045000000000001,0.03743743183876254,29090.202430651116,6870.972079189172,38.49475988786442,0.001032249132792155
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8972777777777777,0.03398355285462723,34296.73778202561,9118.008160664906,34.354256650894996,6.686846415201822e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.3,0.0,True,2400,600,30,0.9008333333333333,0.03635381158638304,47728.817225441264,10496.4929974179,44.71148645251793,9.984175364176432e-05
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.3,0.0,True,2400,600,30,0.8878888888888888,0.03784909877944715,34531.53482997762,6382.7459052612785,39.66254824610253,0.0008010069529215494
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.3,0.0,True,2400,600,30,0.9044444444444444,0.033677343627706816,37735.37907766409,7273.708241556614,41.25107973696274,0.0009668429692586263
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.3,0.0,True,2400,600,30,0.9012222222222221,0.030659835987561387,43604.25352075577,7975.053255846791,37.36888463580087,3.330707550048828e-05
