alpha,n_dim,n_cal,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.8935555555555557,0.03184833952537603,128863172.73428012,378982498.2498621,76.24342381151335,0.00013438860575358072
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8854444444444444,0.03864548898184927,25883.554462215205,5543.3013910470845,37.19528286738556,0.0009340206782023112
0.1,3,100,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,True,2400,600,30,0.9076666666666667,0.03648229508139709,29458.113975344622,6911.322938223168,38.769482114769446,6.666978200276693e-05
0.1,3,100,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,True,2400,600,30,0.9076666666666667,0.03648229508139709,29458.113975344622,6911.322938223168,38.769482114769446,0.0008991320927937825
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8972777777777777,0.03398355285462723,34296.73778202561,9118.008160664906,34.354256650894996,0.0
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.8935555555555557,0.03184833952537603,128863172.73428012,378982498.2498621,76.24342381151335,0.00010000069936116537
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8854444444444444,0.03864548898184927,25883.554462215205,5543.3013910470845,37.19528286738556,0.0009339094161987304
0.1,3,100,TSCP_GWC,Gaussian,cqr,shifted,0.5,300.0,True,2400,600,30,0.9076666666666667,0.03648229508139709,29458.113975344844,6911.322938223219,38.76948211476942,0.0002001047134399414
0.1,3,100,TSCP_R,Gaussian,cqr,shifted,0.5,300.0,True,2400,600,30,0.9076666666666667,0.03648229508139709,29458.113975344844,6911.322938223219,38.76948211476942,0.0010329246520996093
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8972777777777777,0.03398355285462723,34296.73778202561,9118.008160664906,34.354256650894996,3.332297007242839e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.8935555555555557,0.03184833952537603,128863172.73428012,378982498.2498621,76.24342381151335,0.00013010501861572267
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8854444444444444,0.03864548898184927,25883.554462215205,5543.3013910470845,37.19528286738556,0.0008334795633951823
0.1,3,100,TSCP_GWC,Gaussian,cqr,shifted,0.5,1000.0,True,2400,600,30,0.9076666666666667,0.03648229508139709,29458.113975344924,6911.322938223296,38.769482114770334,0.00020051002502441406
0.1,3,100,TSCP_R,Gaussian,cqr,shifted,0.5,1000.0,True,2400,600,30,0.9076666666666667,0.03648229508139709,29458.113975344924,6911.322938223296,38.769482114770334,0.0009989976882934571
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8972777777777777,0.03398355285462723,34296.73778202561,9118.008160664906,34.354256650894996,0.0
