alpha,n_dim,n_cal,method,noise_type,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,30,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.7231687499999999,0.07393664924409764,17350283796.958374,11101837627.412298,24.75270876867123,0.0004873311519622803
0.1,10,30,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.9421437500000001,0.05648692113875724,7762808323492.576,36462825224199.52,37.53604080131202,0.00046342253684997556
0.1,10,30,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.91811875,0.057741055440252105,185556050263.08752,199307515420.16287,29.413472710587904,0.002886613607406616
0.1,10,30,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.9043625,0.052237467240174855,17452091797958.363,22918155972028.03,20.060997542033356,7.08019733428955e-05
0.1,10,50,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.8231875,0.050854005428190706,36359508801.95418,21206944858.180492,26.112634872447146,0.0006763935089111328
0.1,10,50,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.9234749999999999,0.05690802440083497,591104728153.6208,1602105030584.919,31.93013496015702,0.0003528106212615967
0.1,10,50,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.91153125,0.039359355690092225,96027515814.19344,76408015060.0109,27.59559559231633,0.0031678128242492677
0.1,10,50,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.90289375,0.0426607176756381,13477190400975.797,13382913576572.588,19.949651159778135,8.505940437316894e-05
0.1,10,100,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.8191625,0.04004377119864022,24546211992.367943,9109379110.384268,24.79979397377656,0.0011533761024475097
0.1,10,100,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.90206875,0.04097787840445316,90726237291.45576,61357278462.27408,28.138536310017116,0.00042040348052978515
0.1,10,100,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.90500625,0.031512215840422325,63679625650.392845,29963512294.115524,26.520659404146443,0.003657115697860718
0.1,10,100,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.9057437500000001,0.029634524606966518,11006107201672.662,6997856904343.859,19.801687692721707,6.984114646911621e-05
0.1,10,300,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.8746875,0.021545481139619224,37201732930.659775,8751529259.55791,25.339321130447406,0.0037769508361816407
0.1,10,300,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.9006000000000001,0.02812446537738663,56409012709.40955,21584994817.27839,26.23100666250074,0.0004634213447570801
0.1,10,300,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.90281875,0.02026597542029944,50219458401.36679,13258249845.600483,25.962935778504807,0.0046056008338928225
0.1,10,300,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.90151875,0.021684291629075043,8795160320155.322,3283978079098.041,19.575340218894123,6.466984748840332e-05
0.1,10,500,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.88640625,0.018107690790554496,40760879560.01168,7737907423.390857,25.363439261208462,0.0077285850048065185
0.1,10,500,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.90239375,0.021739946522739147,51946689809.992424,14663739736.054756,25.933271725274054,0.000510166883468628
0.1,10,500,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.90168125,0.017209814774142716,47677979131.35378,9394854250.755335,25.807719640848262,0.005673931837081909
0.1,10,500,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,True,7200,800,200,0.89944375,0.018611801206715343,8241105740349.581,2412095692338.976,19.437076158092943,6.469130516052246e-05
0.1,10,30,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.75060625,0.07418897521637415,17996912714.590397,14632811236.393372,23.954365805628893,0.0005162608623504639
0.1,10,30,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9422812500000001,0.055563077794588925,3074323874549.3057,12881425394209.176,37.1092725894605,0.0004191851615905762
0.1,10,30,TSCP_R,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9141750000000001,0.054512088927099286,159097789407.85773,189624484823.8823,28.49491155530079,0.0027013182640075683
0.1,10,30,Unscaled,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9034749999999999,0.04962186789984179,18145238781567.324,44435886141988.266,19.804049636489516,6.538867950439453e-05
0.1,10,50,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.834375,0.05420059174703392,36243149828.358185,22200461777.427162,25.879874587644583,0.0006718027591705322
0.1,10,50,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9222562499999999,0.057417558539007915,399361608078.9391,692506439694.7268,31.03397240522102,0.00043396711349487306
0.1,10,50,TSCP_R,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9115375,0.041595214908284016,86409573949.59053,66956427618.19039,27.29734679727624,0.003110365867614746
0.1,10,50,Unscaled,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.90396875,0.03791488200329945,11738872688410.223,11396312653219.297,19.53293355735034,5.5670738220214844e-05
0.1,10,100,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.84235,0.039687765351465266,26525252877.705883,12259440243.742949,24.411606740313587,0.0011269092559814454
0.1,10,100,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9045375,0.03846564699499695,83550403879.27783,71713368346.6514,27.18823191903951,0.0004164791107177734
0.1,10,100,TSCP_R,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.90530625,0.03267047902058789,56812735602.88386,29198105921.66682,25.848284224570428,0.003625282049179077
0.1,10,100,Unscaled,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9006624999999999,0.03338096445114254,9459303036716.324,5918013514427.453,19.53106799002271,4.138827323913574e-05
0.1,10,300,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.88715,0.022133446347918365,37517672436.517235,10015710782.321993,25.21709580920017,0.0037993967533111574
0.1,10,300,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.900775,0.030453430548311046,50531232456.496956,21448727499.272682,25.761640883682094,0.0004506540298461914
0.1,10,300,TSCP_R,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.90278125,0.020448964194320532,44141635151.29336,12026698031.113367,25.51432837703032,0.0046308600902557374
0.1,10,300,Unscaled,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.9011437499999999,0.020108365929115083,7991479292403.606,2802127710891.771,19.389660850586175,8.509397506713868e-05
0.1,10,500,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.89104375,0.01831971844370934,37146547460.176186,7839210044.037547,25.144057598278053,0.007648236751556396
0.1,10,500,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,True,7200,800,200,0.90089375,0.01955791935469941,44228612248.191376,13798847919.144205,25.540444639414638,0.0004952287673950195
