alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length,redraw_train_test,n_train,n_test
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,1,9.980095895407837,16.51291663567716,43.00592916676229,True,2400,600
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.836300540600384,33.72023325599978,78.27676705259984,True,2400,600
0.1,3,30,0,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.920481560946957,18.07417058279678,42.068822726540496,True,2400,600
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,9.980095895407837,15.024722967908573,40.02954183122499,True,2400,600
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,10.836300540600384,11.755581860887963,34.34746426237623,True,2400,600
0.1,3,30,0,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,5.920481560946957,9.40351570782229,24.727512976591566,True,2400,600
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,9.980095895407837,9.29103255374071,28.562161002889262,True,2400,600
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.836300540600384,9.29103255374071,29.41836564808178,True,2400,600
0.1,3,30,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,5.920481560946957,9.29103255374071,24.502546668428348,True,2400,600
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,9.980095895407837,7.186343250830419,24.35278239706869,True,2400,600
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.836300540600384,8.652969612066517,28.142239764733414,True,2400,600
0.1,3,30,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,5.920481560946957,6.986777090145799,19.894035741238547,True,2400,600
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,1,9.881320570760305,33.455558581124954,76.79243773301053,True,2400,600
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.351023792814123,62.82594317869288,136.00291015019997,True,2400,600
0.1,3,30,1,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.946370713941786,35.57579635039675,77.0979634147353,True,2400,600
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,9.881320570760305,11.418837999397056,32.718996569554434,True,2400,600
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,10.351023792814123,19.153371482807422,48.65776675842895,True,2400,600
0.1,3,30,1,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,5.946370713941786,12.122183784047133,30.190738282036055,True,2400,600
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,9.881320570760305,11.879017974341336,33.63935651944298,True,2400,600
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.351023792814123,11.879017974341336,34.109059741496786,True,2400,600
0.1,3,30,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,5.946370713941786,11.879017974341336,29.704406662624447,True,2400,600
