alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.5,0.0,0.87,597602.7911681741,75.751249923805,15.94218758114844,0.001016378402709961,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.89,24613.989079803418,35.71022678775049,,0.0009906291961669922,True,2400,600
0.1,3,100,0,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.89,24613.989079803418,35.71022678775049,,0.0,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8833333333333333,27459.69818931396,31.59398587971504,,0.0,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8766666666666667,22965.19005884485,35.40896106284853,,0.0010001659393310547,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.5,0.0,0.8583333333333333,283408.2360974999,59.89474257740419,14.70576971898125,0.0,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.88,20717.288813744643,33.725003557379644,,0.0,True,2400,600
0.1,3,100,1,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.88,20717.288813744643,33.725003557379644,,0.0,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9083333333333333,30943.612485968024,33.012790290385375,,0.0,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8616666666666667,18276.165553266914,33.22742008445558,,0.0010008811950683594,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.5,0.0,0.8816666666666667,1056875.268341353,79.99487343682046,17.308726342791257,0.0,True,2400,600
0.1,3,100,2,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.9233333333333333,30774.430365045697,39.18187253360226,,0.0009996891021728516,True,2400,600
0.1,3,100,2,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.9233333333333333,30774.430365045697,39.18187253360226,,0.0,True,2400,600
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.91,37319.005788288836,35.060536458439465,,0.0,True,2400,600
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.915,31378.111178809067,36.81110320586401,,0.0010001659393310547,True,2400,600
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.5,0.0,0.9316666666666666,270307.1524863737,71.89328803065725,19.14199140598907,0.0010006427764892578,True,2400,600
0.1,3,100,3,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.87,21198.56270239097,36.086715690864715,,0.00099945068359375,True,2400,600
0.1,3,100,3,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.87,21198.56270239097,36.086715690864715,,0.0,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.875,25633.272921498326,31.002740445192273,,0.0,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8583333333333333,23473.345748374602,43.079203589636876,,0.0010073184967041016,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.5,0.0,0.92,77380704.84718335,308.78094703646275,19.572348392205463,0.0,True,2400,600
0.1,3,100,4,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.8916666666666667,26036.815235819344,33.871291552997114,,0.001001119613647461,True,2400,600
0.1,3,100,4,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.8916666666666667,26036.815235819344,33.871291552997114,,0.0,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8416666666666667,23302.711947638003,30.063456941232314,,0.0,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8916666666666667,25332.00394182081,34.48314504372458,,0.0009987354278564453,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.5,0.0,0.8266666666666667,648350.4660731395,68.53301195440517,14.550800058656499,0.0,True,2400,600
0.1,3,100,5,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.9083333333333333,29617.97365990419,38.505924188273006,,0.0010013580322265625,True,2400,600
