dataset,trial,n_cal,n_test,n_dim,alpha,fallback,any_backward,backward_coordinates,binary_coordinates,binary_candidates,backward_candidates,regime,runtime_ms,zero_scale_coordinates
stock,0,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0357,0
stock,0,15,64,6,0.3,0,0,0,6,24,0,binary_only,1.0039,0
stock,0,15,64,6,0.5,0,0,0,6,24,0,binary_only,0.9965,0
stock,0,15,64,6,0.7,0,0,0,6,23,0,binary_only,0.6756,0
stock,0,15,64,6,0.9,0,0,0,6,23,0,binary_only,0.6058,0
stock,1,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.0089,0
stock,1,15,64,6,0.3,0,0,0,6,23,0,binary_only,0.9876,0
stock,1,15,64,6,0.5,0,0,0,6,22,0,binary_only,0.6488,0
stock,1,15,64,6,0.7,0,0,0,6,22,0,binary_only,0.6324,0
stock,1,15,64,6,0.9,1,0,0,0,0,0,fallback,0.1366,0
stock,2,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0486,0
stock,2,15,64,6,0.3,0,0,0,6,24,0,binary_only,1.0255,0
stock,2,15,64,6,0.5,0,0,0,6,22,0,binary_only,0.6149,0
stock,2,15,64,6,0.7,0,0,0,6,22,0,binary_only,0.619,0
stock,2,15,64,6,0.9,1,0,0,0,0,0,fallback,0.1258,0
stock,3,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.2818,0
stock,3,15,64,6,0.3,0,0,0,6,24,0,binary_only,1.0214,0
stock,3,15,64,6,0.5,0,0,0,6,24,0,binary_only,0.7819,0
stock,3,15,64,6,0.7,0,0,0,6,24,0,binary_only,0.7333,0
stock,3,15,64,6,0.9,1,0,0,0,0,0,fallback,0.117,0
stock,4,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0334,0
stock,4,15,64,6,0.3,0,0,0,6,24,0,binary_only,0.9935,0
stock,4,15,64,6,0.5,0,0,0,6,24,0,binary_only,0.8529,0
stock,4,15,64,6,0.7,1,0,0,0,0,0,fallback,0.1258,0
stock,4,15,64,6,0.9,1,0,0,0,0,0,fallback,0.1156,0
stock,5,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0042,0
stock,5,15,64,6,0.3,0,0,0,6,24,0,binary_only,1.2029,0
stock,5,15,64,6,0.5,0,0,0,6,24,0,binary_only,0.7976,0
stock,5,15,64,6,0.7,0,0,0,6,24,0,binary_only,0.6518,0
stock,5,15,64,6,0.9,1,0,0,0,0,0,fallback,0.1164,0
stock,6,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0016,0
stock,6,15,64,6,0.3,0,0,0,6,24,0,binary_only,0.8792,0
stock,6,15,64,6,0.5,0,0,0,6,24,0,binary_only,0.7326,0
stock,6,15,64,6,0.7,0,0,0,6,22,0,binary_only,0.6791,0
stock,6,15,64,6,0.9,1,0,0,0,0,0,fallback,0.1125,0
