alpha,n_dim,n_cal,method,noise_type,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,2,30,Point_CHR,Gaussian,absolute_residual,True,2400,600,100,0.9326333333333333,0.05727156840614035,12.575088670844172,6.451877747253982,4.350153924160445,0.00042058467864990233
0.1,2,30,TSCP_R,Gaussian,absolute_residual,True,2400,600,100,0.9131666666666667,0.048045701681379574,9.031460739770067,2.2738730626695687,4.17650247582804,0.0006921505928039551
0.1,2,30,Unscaled,Gaussian,absolute_residual,True,2400,600,100,0.8974833333333333,0.052104689897507064,11.857380406821635,3.699029433215615,3.348086892886579,3.9873123168945315e-05
0.1,2,50,Point_CHR,Gaussian,absolute_residual,True,2400,600,100,0.91675,0.0530751193503286,9.529945555740744,2.991907989147891,4.1194840417071825,0.0003556370735168457
0.1,2,50,TSCP_R,Gaussian,absolute_residual,True,2400,600,100,0.9013666666666666,0.04277835497446094,8.050143273224458,1.511083172677921,3.953442086899922,0.000760800838470459
0.1,2,50,Unscaled,Gaussian,absolute_residual,True,2400,600,100,0.8980833333333333,0.04069084601596467,11.38764900144452,2.6880687314722125,3.3489015778814566,8.008480072021484e-05
0.1,2,100,Point_CHR,Gaussian,absolute_residual,True,2400,600,100,0.9016333333333333,0.04527071581538901,8.239317121958265,1.6770139310828849,3.949973521587464,0.0003402853012084961
0.1,2,100,TSCP_R,Gaussian,absolute_residual,True,2400,600,100,0.9055,0.02965996973555105,8.039609805165421,1.0493603458514518,3.9793788569973003,0.0008019018173217774
0.1,2,100,Unscaled,Gaussian,absolute_residual,True,2400,600,100,0.8967666666666666,0.030070829219052745,11.150314943401044,1.588041825389488,3.3258442726717967,4.013299942016602e-05
0.1,2,200,Point_CHR,Gaussian,absolute_residual,True,2400,600,100,0.9000666666666666,0.03503879523780992,8.010452376344697,1.2190604494889543,4.0164983991705085,0.0003294515609741211
0.1,2,200,TSCP_R,Gaussian,absolute_residual,True,2400,600,100,0.9045000000000001,0.023736890173454088,7.917071847303373,0.7102154630310319,4.009215734624704,0.0009511852264404297
0.1,2,200,Unscaled,Gaussian,absolute_residual,True,2400,600,100,0.9047333333333333,0.022441744011964408,11.43585672172534,1.3705331448377716,3.3537539360197917,8.995532989501953e-05
