dataset,method,n_trials,joint_coverage_mean,joint_coverage_sd,infinite_fraction,target_within_one_sd,mc95_lower,mc95_upper
stock,Empirical_copula,200,0.726875,0.11271658729533796,0.0,False,0.7112532780071672,0.7424967219928329
stock,Unscaled,200,0.93984375,0.057163635113017176,0.0,True,0.9319212743709652,0.9477662256290348
stock,Point_CHR,200,1.0,0.0,1.0,False,1.0,1.0
stock,TSCP_R,200,0.9559375,0.058876594335548676,0.0,True,0.9477776203348641,0.9640973796651359
rf2,Empirical_copula,200,0.8931510416666667,0.01644179367457614,0.0,True,0.8908723253214428,0.8954297580118906
rf2,Unscaled,200,0.8995930989583333,0.0162352841734268,0.0,True,0.8973430033697632,0.9018431945469033
rf2,Point_CHR,200,0.9014973958333333,0.021663613042158792,0.0,True,0.8984949722466594,0.9044998194200072
rf2,TSCP_R,200,0.901943359375,0.016568403494676556,0.0,True,0.899647095803954,0.9042396229460461
scm1d,Empirical_copula,200,0.8930545639979602,0.016440679665454674,0.0,True,0.8907760020465235,0.895333125949397
scm1d,Unscaled,200,0.8998521162672106,0.015704450976206635,0.0,True,0.8976755904063135,0.9020286421281077
scm1d,Point_CHR,200,0.9046685364609892,0.01982112051130176,0.0,True,0.9019214693110348,0.9074156036109436
scm1d,TSCP_R,200,0.9014737378888323,0.015185456110403884,0.0,True,0.8993691410465812,0.9035783347310835
scm20d,Empirical_copula,200,0.8921544035674471,0.017099379268246787,0.0,True,0.8897845505086541,0.8945242566262401
scm20d,Unscaled,200,0.9006661092530658,0.01570365182466969,0.0,True,0.898489694148921,0.9028425243572106
scm20d,Point_CHR,200,0.9022408026755854,0.022651869191183765,0.0,True,0.8991014137745046,0.9053801915766662
scm20d,TSCP_R,200,0.9011120401337793,0.015857289460954195,0.0,True,0.8989143319395999,0.9033097483279587
energy,Empirical_copula,200,0.8866558441558442,0.06062787942090498,0.0,True,0.8782532487610176,0.8950584395506708
energy,Unscaled,200,0.9167532467532468,0.04843029735896348,0.0,True,0.9100411499844756,0.9234653435220179
energy,Point_CHR,200,0.898896103896104,0.06875937466350349,0.0,True,0.8893665407575408,0.9084256670346671
energy,TSCP_R,200,0.9230844155844156,0.04808931550094415,0.0,True,0.9164195764901215,0.9297492546787096
student,Empirical_copula,200,0.861145038167939,0.07260590670668533,0.0,True,0.851082372886586,0.871207703449292
student,Unscaled,200,0.9041221374045801,0.0549701427092362,0.0,True,0.8965036643127715,0.9117406104963888
student,Point_CHR,200,0.9388167938931298,0.05712698788563247,0.0,True,0.930899397310682,0.9467341904755775
student,TSCP_R,200,0.9121374045801527,0.05625672322810724,0.0,True,0.9043406205256945,0.9199341886346108
