dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,0,15,64,6,Empirical_copula,57,0.890625,1.0981624017850692e-05,0
stock,0,15,64,6,Unscaled,62,0.96875,0.001622684741929733,0
stock,0,15,64,6,Point_CHR,64,1.0,inf,1
stock,0,15,64,6,TSCP_R,64,1.0,0.00016782700892936382,0
stock,1,15,64,6,Empirical_copula,47,0.734375,5.262328504098679e-06,0
stock,1,15,64,6,Unscaled,59,0.921875,0.002204219421619378,0
stock,1,15,64,6,Point_CHR,64,1.0,inf,1
stock,1,15,64,6,TSCP_R,62,0.96875,0.000171298973187535,0
stock,2,15,64,6,Empirical_copula,56,0.875,1.3587575841938788e-05,0
stock,2,15,64,6,Unscaled,60,0.9375,0.008231907898380644,0
stock,2,15,64,6,Point_CHR,64,1.0,inf,1
stock,2,15,64,6,TSCP_R,63,0.984375,0.00011434980709540386,0
stock,3,15,64,6,Empirical_copula,49,0.765625,1.5400372689834545e-05,0
stock,3,15,64,6,Unscaled,64,1.0,0.08613063015760611,0
stock,3,15,64,6,Point_CHR,64,1.0,inf,1
stock,3,15,64,6,TSCP_R,64,1.0,0.00014868225407270506,0
stock,4,15,64,6,Empirical_copula,54,0.84375,9.461575861272194e-06,0
stock,4,15,64,6,Unscaled,64,1.0,0.01981198910621998,0
stock,4,15,64,6,Point_CHR,64,1.0,inf,1
stock,4,15,64,6,TSCP_R,64,1.0,0.000395560895300971,0
stock,5,15,64,6,Empirical_copula,49,0.765625,3.882786708317063e-05,0
stock,5,15,64,6,Unscaled,64,1.0,0.8164150249493777,0
stock,5,15,64,6,Point_CHR,64,1.0,inf,1
stock,5,15,64,6,TSCP_R,64,1.0,0.00040277721776117324,0
stock,6,15,64,6,Empirical_copula,46,0.71875,6.353849429518274e-06,0
stock,6,15,64,6,Unscaled,61,0.953125,0.004778330192598682,0
stock,6,15,64,6,Point_CHR,64,1.0,inf,1
stock,6,15,64,6,TSCP_R,61,0.953125,4.586858810753403e-05,0
stock,7,15,64,6,Empirical_copula,53,0.828125,3.111899581840144e-05,0
stock,7,15,64,6,Unscaled,64,1.0,0.3419000407571922,0
stock,7,15,64,6,Point_CHR,64,1.0,inf,1
stock,7,15,64,6,TSCP_R,64,1.0,0.00991676066076348,0
stock,8,15,64,6,Empirical_copula,53,0.828125,8.975633941666336e-06,0
stock,8,15,64,6,Unscaled,58,0.90625,0.002238978311878771,0
stock,8,15,64,6,Point_CHR,64,1.0,inf,1
stock,8,15,64,6,TSCP_R,61,0.953125,6.986476244955638e-05,0
stock,9,15,64,6,Empirical_copula,42,0.65625,3.628278811393885e-06,0
stock,9,15,64,6,Unscaled,58,0.90625,0.0009358557817959022,0
stock,9,15,64,6,Point_CHR,64,1.0,inf,1
stock,9,15,64,6,TSCP_R,51,0.796875,6.328259699491963e-05,0
stock,10,15,64,6,Empirical_copula,38,0.59375,4.140172272038026e-06,0
stock,10,15,64,6,Unscaled,61,0.953125,0.007828137793920472,0
stock,10,15,64,6,Point_CHR,64,1.0,inf,1
stock,10,15,64,6,TSCP_R,62,0.96875,0.00014172940754398234,0
stock,11,15,64,6,Empirical_copula,59,0.921875,1.6718424112091907e-05,0
stock,11,15,64,6,Unscaled,63,0.984375,0.026472919152914953,0
stock,11,15,64,6,Point_CHR,64,1.0,inf,1
stock,11,15,64,6,TSCP_R,63,0.984375,0.000645248157039619,0
stock,12,15,64,6,Empirical_copula,56,0.875,1.1678027324345839e-05,0
stock,12,15,64,6,Unscaled,62,0.96875,0.019832116081256367,0
