dataset,trial,n_cal,n_test,n_dim,alpha,repeat,runtime_ms,regime
stock,0,15,64,6,0.1,0,1.0357,binary_only
stock,0,15,64,6,0.1,1,1.0168,binary_only
stock,0,15,64,6,0.1,2,1.3182,binary_only
stock,0,15,64,6,0.1,3,1.0693,binary_only
stock,0,15,64,6,0.1,4,1.0027,binary_only
stock,0,15,64,6,0.1,5,1.1067,binary_only
stock,0,15,64,6,0.1,6,1.0072,binary_only
stock,1,15,64,6,0.1,0,1.0252,binary_only
stock,1,15,64,6,0.1,1,0.9719,binary_only
stock,1,15,64,6,0.1,2,0.9919,binary_only
stock,1,15,64,6,0.1,3,1.0453,binary_only
stock,1,15,64,6,0.1,4,1.1978,binary_only
stock,1,15,64,6,0.1,5,1.0089,binary_only
stock,1,15,64,6,0.1,6,0.9675,binary_only
stock,2,15,64,6,0.1,0,1.0569,binary_only
stock,2,15,64,6,0.1,1,0.9967,binary_only
stock,2,15,64,6,0.1,2,1.0257,binary_only
stock,2,15,64,6,0.1,3,0.9968,binary_only
stock,2,15,64,6,0.1,4,1.0486,binary_only
stock,2,15,64,6,0.1,5,1.2838,binary_only
stock,2,15,64,6,0.1,6,1.0765,binary_only
stock,3,15,64,6,0.1,0,1.2818,binary_only
stock,3,15,64,6,0.1,1,1.2966,binary_only
stock,3,15,64,6,0.1,2,1.0794,binary_only
stock,3,15,64,6,0.1,3,1.0025,binary_only
stock,3,15,64,6,0.1,4,1.0205,binary_only
stock,3,15,64,6,0.1,5,1.4779,binary_only
stock,3,15,64,6,0.1,6,1.2921,binary_only
stock,4,15,64,6,0.1,0,1.0565,binary_only
stock,4,15,64,6,0.1,1,0.9991,binary_only
stock,4,15,64,6,0.1,2,1.0334,binary_only
stock,4,15,64,6,0.1,3,1.032,binary_only
stock,4,15,64,6,0.1,4,1.0644,binary_only
stock,4,15,64,6,0.1,5,0.9977,binary_only
stock,4,15,64,6,0.1,6,1.1126,binary_only
stock,5,15,64,6,0.1,0,0.9825,binary_only
stock,5,15,64,6,0.1,1,1.0042,binary_only
stock,5,15,64,6,0.1,2,0.9983,binary_only
stock,5,15,64,6,0.1,3,1.0465,binary_only
stock,5,15,64,6,0.1,4,1.0469,binary_only
stock,5,15,64,6,0.1,5,0.9928,binary_only
stock,5,15,64,6,0.1,6,1.0322,binary_only
stock,6,15,64,6,0.1,0,1.0016,binary_only
stock,6,15,64,6,0.1,1,1.012,binary_only
stock,6,15,64,6,0.1,2,0.97,binary_only
stock,6,15,64,6,0.1,3,0.9809,binary_only
stock,6,15,64,6,0.1,4,0.9878,binary_only
stock,6,15,64,6,0.1,5,1.0076,binary_only
stock,6,15,64,6,0.1,6,1.0694,binary_only
stock,7,15,64,6,0.1,0,1.2962,binary_only
stock,7,15,64,6,0.1,1,1.1171,binary_only
stock,7,15,64,6,0.1,2,1.1072,binary_only
stock,7,15,64,6,0.1,3,0.9573,binary_only
stock,7,15,64,6,0.1,4,0.9363,binary_only
stock,7,15,64,6,0.1,5,0.9276,binary_only
stock,7,15,64,6,0.1,6,1.3176,binary_only
stock,8,15,64,6,0.1,0,1.2229,binary_only
stock,8,15,64,6,0.1,1,1.0556,binary_only
stock,8,15,64,6,0.1,2,1.0117,binary_only
stock,8,15,64,6,0.1,3,0.995,binary_only
stock,8,15,64,6,0.1,4,1.0072,binary_only
stock,8,15,64,6,0.1,5,1.0033,binary_only
stock,8,15,64,6,0.1,6,1.362,binary_only
stock,9,15,64,6,0.1,0,0.9686,binary_only
stock,9,15,64,6,0.1,1,1.0204,binary_only
stock,9,15,64,6,0.1,2,0.9739,binary_only
stock,9,15,64,6,0.1,3,1.4785,binary_only
