,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Cauchy,0.940153125,0.04113016978376801,311364.4441431076,4188210.2312003174,54.749603532114705,3.0208826065063476e-05
1,0.1,2,50,200,Cauchy,0.9284874999999999,0.03701748619125288,978.9550507882105,1697.0160815839508,31.474652660295654,4.018425941467285e-05
2,0.1,2,100,200,Cauchy,0.908803125,0.02874513678963188,288.0620449103889,195.40779307594678,19.46363721629625,5.527615547180176e-05
3,0.1,2,300,200,Cauchy,0.902825,0.017075909446266267,201.7593559993449,59.77204948723875,15.61124217816215,6.520628929138184e-05
4,0.1,2,500,200,Cauchy,0.9069406250000001,0.014883128967852955,208.2379675952694,53.31251121256148,15.62863166970753,9.050726890563965e-05
5,0.1,2,1000,200,Cauchy,0.9060124999999999,0.011286331618689716,197.12887259830785,32.94526048081002,14.9102054231538,0.00011569619178771972
6,0.1,10,30,200,Cauchy,1.0,0.0,inf,,inf,4.999279975891113e-05
7,0.1,10,50,200,Cauchy,1.0,0.0,inf,,inf,3.008604049682617e-05
8,0.1,10,100,200,Cauchy,0.902803125,0.029774986966473103,6.368111559015592e+23,5.299616244246189e+24,827.6372809674856,7.00533390045166e-05
9,0.1,10,300,200,Cauchy,0.9016375,0.018063061296942042,1.4324098678961996e+20,7.108082825641829e+20,220.58009152593124,0.0001320195198059082
10,0.1,10,500,200,Cauchy,0.9003156250000001,0.01418080782385335,1.7129177810505398e+19,2.8785711212348436e+19,156.05457619570865,0.0002011871337890625
11,0.1,10,1000,200,Cauchy,0.900709375,0.011897983824151635,7.013326139936303e+18,7.849157981650989e+18,134.96455382521424,0.0004905235767364502
