,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Cauchy,0.9054375,0.05136252049215004,1231.0994914749108,3569.050095170585,23.257679520315932,6.759405136108398e-05
1,0.1,2,50,200,Cauchy,0.9076156249999999,0.04331464462139524,613.02634044284,1750.9768491888026,21.18304016766886,6.531953811645508e-05
2,0.1,2,100,200,Cauchy,0.9063624999999998,0.029647992424005197,437.93254695985144,839.7916255030007,20.688542106895817,7.026910781860352e-05
3,0.1,2,300,200,Cauchy,0.9012625,0.017215467765994922,900.6169827692935,5240.445048984079,18.9899387540585,6.0285329818725583e-05
4,0.1,2,500,200,Cauchy,0.90493125,0.013879838952025735,309.0792396626495,294.10313173288336,19.966424446931086,7.045149803161621e-05
5,0.1,2,1000,200,Cauchy,0.903775,0.011556210940725023,272.15804034714876,179.6867511205557,19.280247286579865,0.0001304781436920166
6,0.1,10,30,200,Cauchy,0.8958687500000001,0.05440943900142465,1.497665522576803e+27,1.4605409910370231e+28,691.7456833155114,0.0001055908203125
7,0.1,10,50,200,Cauchy,0.8972718749999999,0.04131244215114661,8.534139826066824e+24,8.040213119002803e+25,657.0937790271221,9.03940200805664e-05
8,0.1,10,100,200,Cauchy,0.897890625,0.03129490727484394,7.282020514500232e+23,6.819414258436114e+24,697.4573264390933,8.045315742492676e-05
9,0.1,10,300,200,Cauchy,0.897896875,0.019626816072790584,2.400776815076491e+23,2.8130834778885947e+24,573.7453676124873,0.0001559925079345703
10,0.1,10,500,200,Cauchy,0.8966375,0.015138540494098407,5.982786792810167e+23,7.646286164215324e+24,542.7835407206308,0.00011018276214599609
11,0.1,10,1000,200,Cauchy,0.89673125,0.011617346659393558,3.561874269844953e+23,2.775918112965175e+24,551.2428768827017,0.00015531182289123534
