,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Cauchy,0.913909375,0.047486774040550135,88642.84509447077,1233362.800769602,29.130716831305044,0.0002558600902557373
1,0.1,2,50,200,Cauchy,0.912565625,0.040254343958410065,942.6693555761844,2225.986390887581,27.62675455561423,0.00021592140197753906
2,0.1,2,100,200,Cauchy,0.90740625,0.029134671895695848,764.2678132968817,2001.1347691878948,25.34045564125976,0.00024558782577514647
3,0.1,2,300,200,Cauchy,0.9023781249999999,0.017823827450474727,628.6071688258797,3209.0398592646366,20.88357508213824,0.0003263866901397705
4,0.1,2,500,200,Cauchy,0.907196875,0.015166576320839658,484.8238887351706,1097.112575359751,20.471733153475434,0.000346142053604126
5,0.1,2,1000,200,Cauchy,0.9054781249999999,0.012579673456842147,434.1449594169423,772.2060601533183,20.05578508249244,0.0005121779441833496
6,0.1,10,30,200,Cauchy,0.901621875,0.059942395973422255,2.0955515172761493e+30,2.074540832693435e+31,593.3427281056738,0.00023067235946655273
7,0.1,10,50,200,Cauchy,0.90431875,0.04519891607949583,7.186919432740951e+25,8.563101172664637e+26,552.3901306613513,0.0002962136268615723
8,0.1,10,100,200,Cauchy,0.8989875,0.03320798011724496,1.0747146214727751e+23,1.038360558444051e+24,463.6129954506729,0.0002908718585968018
9,0.1,10,300,200,Cauchy,0.89885,0.01989484763227801,8.033905627756858e+21,6.554395368638766e+22,444.9852508123883,0.00044197201728820803
10,0.1,10,500,200,Cauchy,0.8970406249999999,0.015374496649337084,2.224709285215185e+21,9.570965061570954e+21,493.64753224948436,0.0006329536437988282
11,0.1,10,1000,200,Cauchy,0.8964343749999999,0.011507179984267497,1.4511262927575518e+22,1.0476464088704467e+23,550.9365578570928,0.0012379992008209229
