,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Cauchy,0.9074562500000001,0.05019722057249303,723.9956898385435,2808.8794804113604,15.523658480768177,6.034016609191895e-05
1,0.1,2,50,200,Cauchy,0.9085781249999999,0.04269459852634763,352.84039236147015,372.52711449855644,15.314383900484108,4.522562026977539e-05
2,0.1,2,100,200,Cauchy,0.90671875,0.029558741208764856,250.11877224256168,151.1684020981592,14.506137883623147,4.032611846923828e-05
3,0.1,2,300,200,Cauchy,0.900740625,0.016704021391196876,189.29763978287693,54.19355163979904,13.280847499838561,6.542205810546874e-05
4,0.1,2,500,200,Cauchy,0.903690625,0.014474488785875555,192.402635550103,43.70919490729316,13.56651673397051,8.05187225341797e-05
5,0.1,2,1000,200,Cauchy,0.903409375,0.011357456773246193,187.3990350438546,30.0380059282202,13.619509557591286,8.559107780456543e-05
6,0.1,10,30,200,Cauchy,0.8975031250000001,0.05429244865322608,5.169565998929442e+24,5.017042002462286e+25,97.37653773012704,4.5113563537597656e-05
7,0.1,10,50,200,Cauchy,0.8971687500000002,0.041777309076890416,1.6391521548344366e+21,8.546322768462073e+21,96.786522353067,3.5066604614257815e-05
8,0.1,10,100,200,Cauchy,0.8970875,0.02898733424243098,3.831302308445534e+20,1.5582733901659216e+21,95.02821335426755,2.004861831665039e-05
9,0.1,10,300,200,Cauchy,0.89936875,0.01884794247698082,9.396302541478016e+19,1.279262192660603e+20,94.99750921881895,7.027626037597656e-05
10,0.1,10,500,200,Cauchy,0.8963499999999999,0.014849332294685508,6.681392631201218e+19,6.050566910179532e+19,94.34399086505682,8.056282997131347e-05
11,0.1,10,1000,200,Cauchy,0.8967906249999998,0.010987065098641396,6.298463204435188e+19,4.41247663810102e+19,95.36573310095045,9.497523307800293e-05
