,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gamma,0.965021875,0.03529473540908561,2.8529972536921946e-10,1.3011515442754608e-10,2.6875307593101336,6.5155029296875e-05
1,0.1,2,50,200,Gamma,0.9600593749999998,0.025595575205195113,2.394527321461623e-10,7.817054366848686e-11,2.2862025818381486,2.0053386688232422e-05
2,0.1,2,100,200,Gamma,0.9498281250000001,0.022200683720273416,1.984027535401037e-10,4.456814437395653e-11,2.0513064343971132,6.021738052368164e-05
3,0.1,2,300,200,Gamma,0.951253125,0.014960361348166475,1.9827849102525297e-10,2.769501925740094e-11,2.0365191223399908,3.509163856506348e-05
4,0.1,2,500,200,Gamma,0.94915,0.012804402852615202,1.8985302534872433e-10,1.9689769462118865e-11,2.0100866722539017,7.030367851257324e-05
5,0.1,10,30,200,Gamma,1.0,0.0,inf,,inf,6.533980369567871e-05
6,0.1,10,50,200,Gamma,1.0,0.0,inf,,inf,6.5382719039917e-05
7,0.1,10,100,200,Gamma,0.9132750000000001,0.029207110031324732,1347.5943862572485,1140.8838496715482,53.48341291556926,7.024526596069336e-05
8,0.1,10,300,200,Gamma,0.912121875,0.01726714899109806,661.6387342394638,277.9119178964255,43.63593620842459,0.00016082286834716796
9,0.1,10,500,200,Gamma,0.911428125,0.013976882371024025,559.9276293802495,171.83371611148812,41.50404907984373,0.00023062944412231446
