,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gamma,0.87693375,0.06126946557634988,8.366729422288781e-14,6.935065477922659e-14,1.836786502808109,0.0003620834350585938
1,0.1,2,50,500,Gamma,0.884985,0.04447732909141704,7.642568039417032e-14,5.350240156901595e-14,1.8277999504492997,0.0005734615325927734
2,0.1,2,100,500,Gamma,0.8916587499999999,0.030168577250080725,7.94582702590417e-14,5.88441131381152e-14,1.9043340696143236,0.0011758055686950683
3,0.1,2,300,500,Gamma,0.899145,0.020109145443328064,8.214177692731766e-14,5.5420617350099e-14,1.9474040233370429,0.0053963871002197265
4,0.1,2,500,500,Gamma,0.9004737500000001,0.016939467104341216,8.382966045939611e-14,6.000556967774488e-14,1.9420365250801161,0.014926520347595215
5,0.1,10,30,500,Gamma,0.7214662500000001,0.07165978136806543,0.06253481085201625,0.1413336003277473,42.13612076352662,0.0005695557594299316
6,0.1,10,50,500,Gamma,0.8211025000000001,0.050790178338743434,0.20074345067765717,0.24958015968106817,46.83679972183485,0.0010394625663757324
7,0.1,10,100,500,Gamma,0.81872875,0.03668759721303689,0.10526560706861574,0.09414295081277269,39.580402298669654,0.002626354694366455
8,0.1,10,300,500,Gamma,0.8729987499999999,0.020053445740311544,0.17347025622298579,0.11291252708392162,39.482353484673865,0.024856221675872803
9,0.1,10,500,500,Gamma,0.88546,0.015552792875636998,0.1982145086451464,0.11851947448488562,39.42325274856516,0.07861763572692872
