,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gamma,0.878590625,0.06208084944913371,8.688799463558402e-14,7.251111084163191e-14,1.8136215720770386,0.00030909419059753417
1,0.1,2,50,200,Gamma,0.888471875,0.04049705390809994,8.10636618391147e-14,6.323847151288046e-14,1.8513465698886924,0.0006206429004669189
2,0.1,2,100,200,Gamma,0.88905,0.03217982021618096,7.772114542451945e-14,5.4546376497030347e-14,1.8908495168570632,0.0011662769317626954
3,0.1,2,300,200,Gamma,0.90010625,0.02089670000966588,8.698511995590526e-14,6.027922555289339e-14,1.9567127532110362,0.005347195863723755
4,0.1,2,500,200,Gamma,0.9004281249999999,0.018457153788960037,8.67253444827156e-14,6.68047893955e-14,1.9551756889730079,0.015005197525024414
5,0.1,10,30,200,Gamma,0.7144875,0.06673258505626362,0.053269253580591744,0.06852018186266391,42.10182460763498,0.0006255590915679931
6,0.1,10,50,200,Gamma,0.8257374999999999,0.04789580530515325,0.22027690299476455,0.27834601559840105,47.93523896713766,0.0010071957111358642
7,0.1,10,100,200,Gamma,0.8179343750000001,0.037565698181769414,0.10434184594683707,0.10063652409300126,40.05862228769463,0.00255393385887146
8,0.1,10,300,200,Gamma,0.872871875,0.01925157207205695,0.17514240830506955,0.11454485654122283,39.744896588810775,0.02465110778808594
9,0.1,10,500,200,Gamma,0.88450625,0.015161477722211169,0.1888795120826638,0.10595626240113132,39.3950947703983,0.07903023481369019
