,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gamma,0.9009,0.05078369181411841,9.84958654555579e-14,8.083478651796094e-14,1.9393119057902468,0.00013585925102233888
1,0.1,2,50,200,Gamma,0.9005187500000001,0.037558377404432276,8.841517291568894e-14,6.457364197589317e-14,1.9613827868592009,9.041666984558106e-05
2,0.1,2,100,200,Gamma,0.903396875,0.03050832028138114,8.687553503174663e-14,6.109434348552044e-14,1.9963575381090393,7.535696029663086e-05
3,0.1,2,300,200,Gamma,0.9044,0.02078298522528397,9.033230282366914e-14,6.17511938285081e-14,2.016410327128786,0.00011059761047363281
4,0.1,2,500,200,Gamma,0.9016531249999999,0.01704149641639268,8.936132239329811e-14,6.872464609394958e-14,2.008114529058421,0.00013046741485595704
5,0.1,10,30,200,Gamma,0.820690625,0.0631002394812996,0.18796908979527394,0.3279720553434492,39.33543338534868,0.0001025080680847168
6,0.1,10,50,200,Gamma,0.864465625,0.04561527127896581,0.28227955819228184,0.4300484231458716,39.511569688478914,0.00012040138244628906
7,0.1,10,100,200,Gamma,0.8784093749999999,0.031919326843073456,0.2633437162721243,0.2981251478616859,38.638167439360075,0.00010520219802856445
8,0.1,10,300,200,Gamma,0.8909937499999999,0.01799508216424671,0.2255138443110917,0.14174183657915254,37.09076769093336,8.53288173675537e-05
9,0.1,10,500,200,Gamma,0.8922031250000001,0.016307871619040005,0.21383564214283746,0.12245946392143178,36.827132641852174,0.0001435697078704834
