,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gamma,0.944275,0.05357106332132007,2.568965972816842e-13,3.477724834135622e-13,2.7555986001794195,0.00040645837783813475
1,0.1,2,50,200,Gamma,0.9241062500000001,0.048399660410240825,1.455055066954984e-13,1.6721222023906646e-13,2.198883879818495,0.00040245652198791506
2,0.1,2,100,200,Gamma,0.9069343750000001,0.041475163864320486,9.475377730551486e-14,7.676852190859701e-14,1.7967884567920311,0.00035189032554626464
3,0.1,2,300,200,Gamma,0.90419375,0.026083959041601018,8.816395780047145e-14,5.967022788590554e-14,1.742000521179089,0.0003569519519805908
4,0.1,2,500,200,Gamma,0.901071875,0.021868886214912245,8.41749715885955e-14,6.365703860566906e-14,1.7169486919831212,0.00042200565338134765
5,0.1,10,30,200,Gamma,0.929059375,0.05776824574379904,755.1372919182529,4320.778380457292,72.95189871721715,0.00043842673301696777
6,0.1,10,50,200,Gamma,0.9273875000000001,0.04881855442637981,50.07067072943189,336.22180982270777,58.00071190649259,0.000426555871963501
7,0.1,10,100,200,Gamma,0.90599375,0.03802940740499879,1.280132565621156,2.3753876306867756,43.662800004422266,0.000381464958190918
8,0.1,10,300,200,Gamma,0.894953125,0.023927114769972842,0.37436757501509726,0.37005613654342157,38.00344406031128,0.0004073202610015869
9,0.1,10,500,200,Gamma,0.895625,0.020421419899299794,0.31972807632407263,0.2329557766488946,37.53796965626332,0.0004619097709655762
