,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gamma,0.94074875,0.0540254236214994,2.562429295841931e-13,3.847825090011831e-13,2.6602425374783962,0.00045620298385620116
1,0.1,2,50,500,Gamma,0.9221825000000001,0.051493195347387104,1.3036787498910914e-13,1.2271684132876972e-13,2.2864083544164924,0.0003904566764831543
2,0.1,2,100,500,Gamma,0.90878375,0.040911301756486815,1.0012363959713993e-13,7.847757996402877e-14,2.1303863416991424,0.0004016547203063965
3,0.1,2,300,500,Gamma,0.9051187500000001,0.025334667363680872,8.995839386712175e-14,5.952743081602487e-14,2.0991021478809517,0.000403292179107666
4,0.1,2,500,500,Gamma,0.9028375,0.02119275340402203,9.0552521823216e-14,6.624215392687237e-14,2.124318879386345,0.00043813514709472657
5,0.1,4,30,500,Gamma,0.9401912499999999,0.05635439115092526,1.5748755106451102e-10,3.0970562705551576e-10,12.627393377144362,0.0003730225563049316
6,0.1,4,50,500,Gamma,0.92118625,0.05419031472604413,5.558156036650161e-11,1.6483849398545596e-10,10.483871214870053,0.0004080939292907715
7,0.1,4,100,500,Gamma,0.90174,0.04029729154560916,1.9339294777408888e-11,2.3314196830921867e-11,8.83305670829678,0.0004011883735656738
8,0.1,4,300,500,Gamma,0.8997950000000001,0.02514502972835944,1.3127693389391811e-11,9.741419158261565e-12,8.14176152216857,0.0003980712890625
9,0.1,4,500,500,Gamma,0.8981475,0.020288950855172558,1.2814155802537742e-11,8.231000056997517e-12,7.9430924224303565,0.000459592342376709
10,0.1,10,30,500,Gamma,0.93322625,0.06162830163416906,1043.4993527037993,8378.328111489684,72.75568317566149,0.0003943648338317871
11,0.1,10,50,500,Gamma,0.92324625,0.051407452957978314,15.420925106652865,68.76271762502965,56.31639384643573,0.00041239261627197267
12,0.1,10,100,500,Gamma,0.90189125,0.04167430202878836,1.0938631685134992,2.3694904132492143,46.39503309109365,0.000412841796875
13,0.1,10,300,500,Gamma,0.8983187499999999,0.025118502802786775,0.3439736946550323,0.3520639896304582,40.44885056765369,0.00042473649978637694
14,0.1,10,500,500,Gamma,0.89862875,0.019864863586193996,0.28783647649354144,0.21182821296244422,38.80401874572047,0.0004384393692016602
15,0.1,15,30,500,Gamma,0.9341725,0.061375310906158796,1.1913493658246342e+17,1.7364700452499062e+18,140.9901800404723,0.00048668527603149415
16,0.1,15,50,500,Gamma,0.9219425,0.05338116924262168,167560157890454.4,2527681993473067.5,113.71665463596219,0.0005025277137756347
17,0.1,15,100,500,Gamma,0.9040475,0.040924111897746036,182036456057.5383,542740057080.6061,90.02355074927192,0.0005524663925170898
18,0.1,15,300,500,Gamma,0.9019325,0.024418265645706465,32062926462.0254,38904880847.92267,79.24279212859855,0.0004638214111328125
19,0.1,15,500,500,Gamma,0.9024075,0.019879101491320085,22665144835.995186,20346028294.296295,76.24861862899823,0.00048827505111694334
20,0.1,20,30,500,Gamma,0.9352062499999999,0.06074190965770857,2.664063124812598e+30,3.0632626140900153e+31,232.20369864904063,0.0004464030265808105
21,0.1,20,50,500,Gamma,0.9204724999999999,0.05542753640867209,1.5541365507494626e+28,3.0518550878567362e+29,181.1280891079386,0.00044643115997314455
22,0.1,20,100,500,Gamma,0.9009562499999999,0.04208580204957262,4.024344662533024e+23,1.2192195047435928e+24,148.1560619166794,0.0004321074485778809
23,0.1,20,300,500,Gamma,0.9017037499999999,0.025881343765301202,4.1784812326484615e+22,6.413613439308529e+22,127.58010091629659,0.0004818282127380371
24,0.1,20,500,500,Gamma,0.89904,0.022293754405010878,2.519160998814137e+22,3.0284290775264384e+22,121.80283252689938,0.0005030388832092285
