,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gamma,0.910215,0.052102681349500767,1.100541664109949e-13,9.142393295094133e-14,2.1907739973386615,0.00037419795989990234
1,0.1,2,50,500,Gamma,0.90581625,0.039553872722936555,9.161496870833896e-14,6.171458507267437e-14,2.1011933904848377,0.0004064059257507324
2,0.1,2,100,500,Gamma,0.9078125,0.02890057339457247,9.247740003021168e-14,6.590219866509205e-14,2.1428335439819524,0.0005193395614624024
3,0.1,2,300,500,Gamma,0.90461625,0.02011522151159218,8.875849719396891e-14,5.887253629577926e-14,2.1273022025983077,0.000825157642364502
4,0.1,2,500,500,Gamma,0.90258125,0.016042116559073175,8.959303178187251e-14,6.534270203757257e-14,2.11606194303814,0.0012007079124450684
5,0.1,4,30,500,Gamma,0.90596,0.0533479741902202,2.7923373078513174e-11,3.3426495850704596e-11,9.92936609819219,0.0006504621505737304
6,0.1,4,50,500,Gamma,0.9006175,0.041384727225693904,1.8770524162000336e-11,2.044198313080327e-11,9.113352012232152,0.0008056383132934571
7,0.1,4,100,500,Gamma,0.899885,0.028472305524205925,1.4457299970458013e-11,1.0929591640233139e-11,8.144845880828493,0.0009306612014770508
8,0.1,4,300,500,Gamma,0.8997275,0.01839984823524804,1.2195826096500785e-11,8.22889525301304e-12,7.892999848469756,0.0015003538131713866
9,0.1,4,500,500,Gamma,0.8983037500000001,0.015211541232262482,1.2553176247188023e-11,8.367830882799106e-12,7.837325073729147,0.0021297507286071778
10,0.1,10,30,500,Gamma,0.9103575,0.05449731572373253,8.323003210636791,36.69440137329677,55.342955946659636,0.0015671052932739258
11,0.1,10,50,500,Gamma,0.9036124999999999,0.04255428168856878,1.2273695587908227,2.8952048844044396,47.31844891746844,0.0019166960716247559
12,0.1,10,100,500,Gamma,0.901625,0.031331831734830305,0.5177132500553375,0.5854602049232653,42.352565367160125,0.0024723100662231447
13,0.1,10,300,500,Gamma,0.8980975000000001,0.018365654788261788,0.2726160884601564,0.1831983904972106,38.23119917970946,0.0040223069190979
14,0.1,10,500,500,Gamma,0.8974975000000001,0.014988931913576087,0.2484755379609867,0.14715920642706878,37.6103163882849,0.005755082607269287
15,0.1,15,30,500,Gamma,0.90979625,0.0593302546169602,29770184170586.637,497420297514548.0,113.0534984586778,0.0024487428665161135
16,0.1,15,50,500,Gamma,0.9060900000000001,0.0427498149804385,234388333572.52606,680860767696.4185,93.62726217936616,0.002994856834411621
17,0.1,15,100,500,Gamma,0.90539875,0.03140621623219752,56733324843.18425,96244728425.08116,83.4883151094777,0.00386069393157959
18,0.1,15,300,500,Gamma,0.9023424999999999,0.017991075602995652,23127008832.323658,23029505668.850372,75.53675502604824,0.0065562667846679685
19,0.1,15,500,500,Gamma,0.90271375,0.01480740475771557,18986196622.582653,14208822602.770496,73.5655738119419,0.009256083488464356
20,0.1,20,30,500,Gamma,0.91555625,0.05458808384146182,2.32414593478383e+26,2.781069668435834e+27,184.22819815275506,0.00350840425491333
21,0.1,20,50,500,Gamma,0.9072262499999999,0.045112559262292885,1.2382937376486679e+24,1.1290303066648631e+25,151.04539013104122,0.004296565532684326
22,0.1,20,100,500,Gamma,0.9040075,0.0324545302973814,9.471850498034357e+22,2.2268218197766123e+23,133.401848486598,0.005507315635681152
23,0.1,20,300,500,Gamma,0.8998400000000001,0.01952051647952109,2.2970310171439856e+22,2.4549767893576864e+22,120.56899562431207,0.009399913787841796
24,0.1,20,500,500,Gamma,0.8996175000000001,0.016429959857279738,1.8442090938529804e+22,1.7131828958574447e+22,117.17158705089744,0.013426801204681397
