,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gamma,0.9115875000000001,0.04764486472246627,1.094672162708294e-13,8.991115032755948e-14,2.0517731334917895,0.000557863712310791
1,0.1,2,50,200,Gamma,0.9068437500000001,0.03677490727333397,9.361621953784881e-14,6.881206618701536e-14,2.0267345423475494,0.0005378460884094238
2,0.1,2,100,200,Gamma,0.9057625,0.03027532527243528,8.925810595776878e-14,6.286517315878192e-14,2.035665106045002,0.0005932164192199707
3,0.1,2,300,200,Gamma,0.9051093750000001,0.020823238105790058,9.108995961969634e-14,6.22545722733677e-14,2.028597172826409,0.0008589601516723632
4,0.1,2,500,200,Gamma,0.9020656250000001,0.016897167821451807,8.980567983354101e-14,6.90634509432749e-14,2.0124414317644073,0.0010499858856201172
5,0.1,10,30,200,Gamma,0.9036687499999999,0.05564009485492297,3.7722807048863496,15.94235837936695,47.97741957881889,0.0020648062229156492
6,0.1,10,50,200,Gamma,0.9095781249999999,0.0411494194761664,1.1521391172279254,2.5564092385031443,44.48282925959798,0.0025444984436035155
7,0.1,10,100,200,Gamma,0.8999375000000001,0.030360778201737108,0.4647589948245991,0.5820515145861758,40.64440470941028,0.002909543514251709
8,0.1,10,300,200,Gamma,0.898203125,0.017800601300028824,0.266789740945658,0.16911983616777784,37.720798482604906,0.00428865909576416
9,0.1,10,500,200,Gamma,0.8965437499999999,0.016240564278309097,0.23580329478644074,0.1354484772366233,37.192100289531794,0.005707294940948487
