,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gamma,0.943628125,0.05400044265926306,2.6607647839348817e-13,4.066287467746773e-13,2.5727863421908035,0.0003654098510742188
1,0.1,2,50,200,Gamma,0.9245656250000001,0.04691307906834445,1.3183035544249768e-13,1.3327957614595357e-13,2.19493365634698,0.00036731600761413574
2,0.1,2,100,200,Gamma,0.9096312499999999,0.04126333108400534,9.799139801997333e-14,7.566072430205567e-14,2.060746997567941,0.0003791487216949463
3,0.1,2,300,200,Gamma,0.9049406250000002,0.026680676556111435,9.184856668492032e-14,6.090818287451208e-14,2.0233462067356314,0.00035179734230041506
4,0.1,2,500,200,Gamma,0.903271875,0.021726838290924314,9.069335698714957e-14,6.935351278167558e-14,2.025654750787436,0.0003721189498901367
5,0.1,10,30,200,Gamma,0.9293250000000001,0.0581913511981923,750.4592839438169,5447.900476010737,63.35901483359382,0.000361638069152832
6,0.1,10,50,200,Gamma,0.9291843750000001,0.04875705389228982,18.485232983392198,88.58984172774852,54.09364329900525,0.0004754722118377686
7,0.1,10,100,200,Gamma,0.904296875,0.03799805031178388,0.8089656895499207,1.180400959691783,45.021562550921146,0.0004554784297943115
8,0.1,10,300,200,Gamma,0.8980843749999999,0.025623971781981694,0.3310065827691865,0.31117799484060804,39.41687266263325,0.00045894384384155275
9,0.1,10,500,200,Gamma,0.896146875,0.020338758877393146,0.25910535922669475,0.17858897568536072,37.91124825678844,0.00046179890632629393
