,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gaussian,0.9385262499999999,0.04059560287929922,10.880959133727854,2.9335207565722206,4.5690782964496615,3.21502685546875e-05
1,0.1,2,50,500,Gaussian,0.9220787500000001,0.037094119677069215,9.085469390892849,1.7710002209369025,4.233565466667909,4.519987106323242e-05
2,0.1,2,100,500,Gaussian,0.9057125,0.030038101535178205,8.087531372474155,1.120082385203498,4.033384642625146,3.516101837158203e-05
3,0.1,2,300,500,Gaussian,0.903045,0.018065143892249943,7.79674897528142,0.611702732888622,3.9541743307317105,5.428934097290039e-05
4,0.1,2,500,500,Gaussian,0.902135,0.014694126708295355,7.704724110432948,0.46641256700517814,3.9162086631310027,5.42755126953125e-05
5,0.1,4,30,500,Gaussian,1.0,0.0,inf,,inf,4.0283203125e-05
6,0.1,4,50,500,Gaussian,0.9255512499999999,0.03791790807379655,950.5673898200557,328.5071605704879,9.984898356268156,2.816009521484375e-05
7,0.1,4,100,500,Gaussian,0.92623375,0.02567879608400963,823.2041316826183,192.02431864420348,9.590424918590761,3.4160614013671875e-05
8,0.1,4,300,500,Gaussian,0.9130075000000001,0.016364880457087044,667.1261946458775,83.13764700682661,9.132230973303074,7.03883171081543e-05
9,0.1,4,500,500,Gaussian,0.9095325000000001,0.014362939525515912,639.3296845780995,65.51385125162786,9.099245811443087,0.00010867786407470703
10,0.1,10,30,500,Gaussian,1.0,0.0,inf,,inf,4.4086933135986325e-05
11,0.1,10,50,500,Gaussian,1.0,0.0,inf,,inf,6.212139129638671e-05
12,0.1,10,100,500,Gaussian,0.9025250000000001,0.029897500456846457,87927847659.54591,41726251928.90852,28.206681310038867,6.621503829956055e-05
13,0.1,10,300,500,Gaussian,0.90260875,0.017956137193542675,58502548682.11275,14832881767.61705,26.321568832445948,0.00014303684234619142
14,0.1,10,500,500,Gaussian,0.90374125,0.015395709969287446,53755891738.12186,10895920576.01943,26.102110261431008,0.0002251739501953125
15,0.1,15,30,500,Gaussian,1.0,0.0,inf,,inf,6.035137176513672e-05
16,0.1,15,50,500,Gaussian,1.0,0.0,inf,,inf,5.6303024291992184e-05
17,0.1,15,100,500,Gaussian,1.0,0.0,inf,,inf,8.236885070800782e-05
18,0.1,15,300,500,Gaussian,0.89992375,0.01865745275416899,6.356209389186316e+18,2.362669568275995e+18,42.68389522036979,0.00015384483337402345
19,0.1,15,500,500,Gaussian,0.90941,0.014028102609606595,6.745055020655048e+18,1.888936532619101e+18,42.36905363448615,0.000299405574798584
20,0.1,20,30,500,Gaussian,1.0,0.0,inf,,inf,4.801368713378906e-05
21,0.1,20,50,500,Gaussian,1.0,0.0,inf,,inf,7.819414138793946e-05
22,0.1,20,100,500,Gaussian,1.0,0.0,inf,,inf,9.400320053100586e-05
23,0.1,20,300,500,Gaussian,0.93683375,0.014878769194156009,1.5590680845322573e+28,8.005007201502535e+27,65.04663090912184,0.0002389688491821289
24,0.1,20,500,500,Gaussian,0.9237025,0.013338342438549703,6.230350080795463e+27,2.3494692672179273e+27,60.61475118460912,0.00045499372482299806
