,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gaussian,0.9394843750000001,0.04047163443330266,5.498218102866729,1.5013619586879439,2.537331100173911,4.271984100341797e-05
1,0.1,2,50,200,Gaussian,0.92296875,0.03631025954435457,4.560989494776695,0.9154564648675889,2.2503078173837596,5.021214485168457e-05
2,0.1,2,100,200,Gaussian,0.907721875,0.02767623530872097,4.086219611027988,0.5506496200418068,2.129743150557143,4.102945327758789e-05
3,0.1,2,300,200,Gaussian,0.9030624999999999,0.0173803564463162,3.8981138768845027,0.30011438965535436,2.0373435184630093,3.5136938095092773e-05
4,0.1,2,500,200,Gaussian,0.9040062499999999,0.014104357720970687,3.8771727928742425,0.22858743101380213,2.0188092059764133,8.232712745666504e-05
5,0.1,10,30,200,Gaussian,1.0,0.0,inf,,inf,6.005644798278809e-05
6,0.1,10,50,200,Gaussian,1.0,0.0,inf,,inf,0.00010157346725463867
7,0.1,10,100,200,Gaussian,0.903896875,0.03080225581309348,25513.00270801547,13151.500399763367,3.4397712352383056,6.506085395812988e-05
8,0.1,10,300,200,Gaussian,0.902746875,0.017357402866811006,16120.887775684632,4032.1543247271525,2.9666792033884097,0.00014600038528442383
9,0.1,10,500,200,Gaussian,0.90425,0.015929630902927965,14915.241871201326,3029.4104340948875,2.8536216442226294,0.00023598670959472655
