,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gaussian,0.90064375,0.05300834850278268,8.128996270850783,2.001664046358614,3.950476898364048,3.505349159240723e-05
1,0.1,2,50,200,Gaussian,0.90304375,0.041448117107369675,7.983700937908313,1.5110897572449773,3.985549643124303,7.00700283050537e-05
2,0.1,2,100,200,Gaussian,0.906446875,0.027874166046237887,7.990052802568605,1.0419183501673503,3.995818694147835,5.984902381896973e-05
3,0.1,2,300,200,Gaussian,0.901015625,0.01879344187534537,7.693208990211178,0.6292256479298132,3.9099560274032488,8.498787879943847e-05
4,0.1,2,500,200,Gaussian,0.901478125,0.013984997556045117,7.647526477097469,0.43790957049630574,3.908093224673547,9.50014591217041e-05
5,0.1,10,30,200,Gaussian,0.90421875,0.05415830188440653,79591703297.90741,71457332219.3357,26.186715490208314,7.536888122558594e-05
6,0.1,10,50,200,Gaussian,0.9011875,0.04460093149758491,61699952788.0408,41983989004.487236,25.967086381919156,6.024599075317383e-05
7,0.1,10,100,200,Gaussian,0.8998093749999999,0.03486126473795845,54215115272.74917,26600919265.50101,25.935054525308512,8.054733276367187e-05
8,0.1,10,300,200,Gaussian,0.8974875,0.018109231140845346,46477237743.27346,11425147492.23282,25.62486776879687,7.545948028564453e-05
9,0.1,10,500,200,Gaussian,0.8992812499999999,0.016270733535597964,45904778141.92428,8963863115.724068,25.62104073313286,0.00012061357498168945
