,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gaussian,0.90064375,0.05300834850278268,4.064498135425387,1.0008320231793044,1.9857891940289003,5.5059194564819336e-05
1,0.1,2,50,200,Gaussian,0.90304375,0.041448117107369675,3.9918504689541576,0.7555448786224856,2.0044449276385903,6.490349769592286e-05
2,0.1,2,100,200,Gaussian,0.906446875,0.027874166046237887,3.995026401284304,0.5209591750836731,2.0014578005614543,9.529232978820801e-05
3,0.1,2,300,200,Gaussian,0.901015625,0.01879344187534537,3.8466044951055904,0.31461282396490026,1.965021996293556,8.986949920654297e-05
4,0.1,2,500,200,Gaussian,0.901478125,0.013984997556045117,3.8237632385487395,0.21895478524815506,1.9580215297397439,0.0001151442527770996
5,0.1,10,30,200,Gaussian,0.90421875,0.05415830188440653,21933.33975361166,19691.725148625992,2.6560608865844992,7.021665573120117e-05
6,0.1,10,50,200,Gaussian,0.9011875,0.04460093149758491,17002.852950849134,11569.661872929635,2.6327494341141824,7.035613059997559e-05
7,0.1,10,100,200,Gaussian,0.8998093749999999,0.03486126473795845,14940.232383363495,7330.500238509006,2.6218973060892257,6.532073020935059e-05
8,0.1,10,300,200,Gaussian,0.8974875,0.018109231140845346,12807.880771404816,3148.46436624587,2.595867543107452,0.0001872897148132324
9,0.1,10,500,200,Gaussian,0.8992812499999999,0.016270733535597964,12650.126251632608,2470.2003736012443,2.5925189397674187,0.00011062264442443848
