,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gaussian,0.90803125,0.0484647807653844,8.788888633613082,2.115133390497199,4.120506573933673,0.0003579883575439453
1,0.1,2,50,500,Gaussian,0.90259,0.04126481515698186,8.179248926246293,1.589447783944824,4.0095845382807696,0.0004714393615722656
2,0.1,2,100,500,Gaussian,0.9039825,0.030588499781580916,8.00633516132922,1.1223803073719236,4.007754605220203,0.0005212907791137696
3,0.1,2,300,500,Gaussian,0.9010137500000001,0.019027002742266277,7.720733482592892,0.6278719653272656,3.9363856129853323,0.0008782181739807129
4,0.1,2,500,500,Gaussian,0.9000874999999999,0.014739200089848064,7.625618423616298,0.45904815356782064,3.9040402123002917,0.0011670274734497071
5,0.1,4,30,500,Gaussian,0.9100687499999999,0.0556464991749558,905.2336147430489,404.85618948358075,9.812813166936483,0.0006023073196411133
6,0.1,4,50,500,Gaussian,0.9068350000000001,0.04190802835592916,746.4292155341479,245.17512965819358,9.386858644518021,0.0007570304870605468
7,0.1,4,100,500,Gaussian,0.9070925,0.03030426976982889,672.9888949650456,154.23973801669862,9.135845292987277,0.0009253029823303223
8,0.1,4,300,500,Gaussian,0.9044675,0.01703530258958253,616.9627837423343,75.09338056593542,8.962127941432586,0.001486093521118164
9,0.1,4,500,500,Gaussian,0.9027950000000001,0.014550359563490302,602.5854676651808,60.450735076662646,8.963355350149412,0.0021323661804199217
10,0.1,10,30,500,Gaussian,0.91395875,0.05534689761258689,271996957557.2575,490773222841.2697,30.716208867030854,0.0014999871253967285
11,0.1,10,50,500,Gaussian,0.90452125,0.04475979664810218,103647893358.22807,80797068147.30727,28.24361142713407,0.0018846468925476075
12,0.1,10,100,500,Gaussian,0.902635,0.03195873015885853,67054264634.05772,32950251330.042007,26.738847336439598,0.002349700927734375
13,0.1,10,300,500,Gaussian,0.89919125,0.01881043579178467,50475851422.427666,12965313878.12932,25.95289696109252,0.004053743839263916
14,0.1,10,500,500,Gaussian,0.9003175000000001,0.01594501861043047,48210922768.13475,9908207019.513445,25.77302013969837,0.005811797618865967
15,0.1,15,30,500,Gaussian,0.914165,0.0551037856402241,1.0857569594465704e+20,5.35501497380564e+20,50.82455483838948,0.002449826240539551
16,0.1,15,50,500,Gaussian,0.9046675000000001,0.04296242598297593,1.7807632521352325e+19,2.5480807742987043e+19,45.5001869894425,0.003006439208984375
17,0.1,15,100,500,Gaussian,0.90156875,0.030882926147669115,7.771257250009502e+18,5.309358669215682e+18,42.67378948038534,0.0038375115394592286
18,0.1,15,300,500,Gaussian,0.8959124999999999,0.01871590503964224,4.741535930510777e+18,1.6992649874522506e+18,40.99966748120251,0.006617542266845703
19,0.1,15,500,500,Gaussian,0.8950724999999999,0.015500815924933676,4.362996505124506e+18,1.1711928630854702e+18,40.71812021717212,0.009381094455718993
20,0.1,20,30,500,Gaussian,0.9187112500000001,0.05183940516192856,7.689801396288559e+29,1.0157490626934063e+31,71.5897902350064,0.0034711570739746093
21,0.1,20,50,500,Gaussian,0.9096025000000001,0.04523149851780651,2.1729506629765526e+28,3.8433812259450595e+28,64.68915790414108,0.004270586013793945
22,0.1,20,100,500,Gaussian,0.9054249999999999,0.02934985652701411,5.345766244373412e+27,4.673299292678055e+27,59.72909493949851,0.0055287666320800784
23,0.1,20,300,500,Gaussian,0.90288,0.018384658109619968,2.7854008960729157e+27,1.2337762583021409e+27,57.0010265966456,0.009389147281646729
24,0.1,20,500,500,Gaussian,0.9019037499999999,0.014555451797920364,2.473397924854616e+27,8.491844937038353e+26,56.5516869090395,0.013282160758972168
