,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gaussian,0.90803125,0.0484647807653844,4.394444316806543,1.0575666952485983,2.2713465614632566,0.00037128162384033204
1,0.1,2,50,500,Gaussian,0.90259,0.04126481515698186,4.08962446312315,0.7947238919724102,2.142529332653294,0.0004399094581604004
2,0.1,2,100,500,Gaussian,0.9039825,0.030588499781580916,4.003167580664609,0.5611901536859607,2.0978757506530656,0.0005054278373718262
3,0.1,2,300,500,Gaussian,0.9010137500000001,0.019027002742266277,3.860366741296447,0.3139359826636338,2.01672289625623,0.0008377938270568848
4,0.1,2,500,500,Gaussian,0.9000874999999999,0.014739200089848064,3.8128092118081502,0.22952407678391007,1.9918602819607503,0.0011199564933776856
5,0.1,4,30,500,Gaussian,0.9100687499999999,0.0556464991749558,37.71806728096036,16.869007895149217,2.8644590162049237,0.0006176538467407227
6,0.1,4,50,500,Gaussian,0.9068350000000001,0.04190802835592916,31.101217313922824,10.21563040242472,2.653004999897886,0.0007522130012512208
7,0.1,4,100,500,Gaussian,0.9070925,0.03030426976982889,28.041203956876874,6.426655750695829,2.4972786563640765,0.0009086174964904785
8,0.1,4,300,500,Gaussian,0.9044675,0.01703530258958253,25.706782655930553,3.128890856913961,2.3638532415565896,0.0015407023429870605
9,0.1,4,500,500,Gaussian,0.9027950000000001,0.014550359563490302,25.10772781938247,2.518780628194274,2.3187715626508116,0.0021726641654968262
10,0.1,10,30,500,Gaussian,0.91395875,0.05534689761258689,74955.06987358168,135243.94368421083,3.7680389387042297,0.0015508623123168944
11,0.1,10,50,500,Gaussian,0.90452125,0.04475979664810218,28562.580841663494,22265.50599297471,3.2816360144295587,0.001915112018585205
12,0.1,10,100,500,Gaussian,0.902635,0.03195873015885853,18478.357758503527,9080.205944125417,2.9981701949643877,0.0024481172561645506
13,0.1,10,300,500,Gaussian,0.89919125,0.01881043579178467,13909.79150750329,3572.89293378778,2.796933929669697,0.004063225746154785
14,0.1,10,500,500,Gaussian,0.9003175000000001,0.01594501861043047,13285.63788804424,2730.4362377406933,2.730481857369532,0.005809862136840821
15,0.1,15,30,500,Gaussian,0.914165,0.0551037856402241,83029612.41850968,409506762.9104493,4.140746581531522,0.002478656768798828
16,0.1,15,50,500,Gaussian,0.9046675000000001,0.04296242598297593,13617788.156685872,19485590.882964313,3.560942282697385,0.003013099193572998
17,0.1,15,100,500,Gaussian,0.90156875,0.030882926147669115,5942807.659291498,4060153.5054449947,3.2316630980926555,0.003867614269256592
18,0.1,15,300,500,Gaussian,0.8959124999999999,0.01871590503964224,3625930.1600922327,1299455.7582795545,2.9631114484743852,0.006598505973815918
19,0.1,15,500,500,Gaussian,0.8950724999999999,0.015500815924933676,3336454.863604437,895630.3585553627,2.8944312200825575,0.009662006378173828
20,0.1,20,30,500,Gaussian,0.9187112500000001,0.05183940516192856,316075261989.37274,4175051273251.9097,4.430275075247594,0.0035355105400085448
21,0.1,20,50,500,Gaussian,0.9096025000000001,0.04523149851780651,8931517404.620384,15797517586.109495,3.8088998806335983,0.004354238033294678
22,0.1,20,100,500,Gaussian,0.9054249999999999,0.02934985652701411,2197279720.435539,1920874444.1707048,3.3819139865973584,0.005575056552886963
23,0.1,20,300,500,Gaussian,0.90288,0.018384658109619968,1144888239.111788,507121229.772333,3.089225996988623,0.009343497276306153
24,0.1,20,500,500,Gaussian,0.9019037499999999,0.014555451797920364,1016645107.9993615,349041798.9914235,3.0171486553094304,0.01303163766860962
