,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,500,Gaussian,0.93627375,0.05853834699002141,12.1446044810139,5.479307375916089,4.692362118949886,0.00043160676956176757
1,0.1,2,50,500,Gaussian,0.9205399999999999,0.05261240198075325,9.668964389078248,3.1632510578941933,4.20015289008341,0.0003965306282043457
2,0.1,2,100,500,Gaussian,0.9031125,0.040135040634381405,8.18276719716868,1.6475213453515898,3.962615843048958,0.0004025421142578125
3,0.1,2,300,500,Gaussian,0.9015675000000001,0.02587165565600249,7.805191855437841,0.8932069395066424,3.9598228333570082,0.0004570622444152832
4,0.1,2,500,500,Gaussian,0.9003362500000001,0.01886206237349095,7.678301799969505,0.633158519243035,3.9174819074666605,0.00039835309982299807
5,0.1,4,30,500,Gaussian,0.93580125,0.061809798937359876,1827.8415088183053,1956.8112576459553,11.026546699695857,0.0004385061264038086
6,0.1,4,50,500,Gaussian,0.92569125,0.050534850568012595,1079.2900748452453,644.657262839697,10.022720033303596,0.00040018892288208005
7,0.1,4,100,500,Gaussian,0.9064300000000001,0.03917358231772027,719.2979787491024,247.8390539625044,9.216841964841546,0.00037825298309326173
8,0.1,4,300,500,Gaussian,0.9035550000000001,0.022884253113902627,623.6904267801618,106.77598059936977,8.968534801830712,0.0004704775810241699
9,0.1,4,500,500,Gaussian,0.9024125,0.019571039380033694,609.0514926061031,85.16588052945778,8.994580036571985,0.00046239137649536135
10,0.1,10,30,500,Gaussian,0.9352312500000001,0.06262464118503681,5856106442415.442,45598378534514.74,34.82788311804378,0.0004574151039123535
11,0.1,10,50,500,Gaussian,0.9188987500000001,0.05434595196219176,418474944854.26935,1754891712864.2893,30.06948443076417,0.00044161081314086914
12,0.1,10,100,500,Gaussian,0.89999125,0.04443728078465838,88144988008.36948,84759325018.38438,27.13677945031724,0.00045182418823242187
13,0.1,10,300,500,Gaussian,0.89919,0.025517075504151512,54456558844.313774,20451412235.728718,26.097949586380828,0.00044054317474365233
14,0.1,10,500,500,Gaussian,0.8997312500000001,0.021687132547290516,50551336067.45978,15793106977.039577,25.957067611401268,0.0004679532051086426
15,0.1,15,30,500,Gaussian,0.9379887499999999,0.0588965816652478,2.2386207887786756e+22,2.7516232714866323e+23,57.625853408656894,0.0004479565620422363
16,0.1,15,50,500,Gaussian,0.91870875,0.051953349321279554,1.4045206415376818e+20,7.070808120932906e+20,49.37374822671762,0.0004154353141784668
17,0.1,15,100,500,Gaussian,0.89819,0.04206753281491878,1.2145464388638915e+19,1.4852481781448542e+19,43.92699745093138,0.00043413543701171874
18,0.1,15,300,500,Gaussian,0.8935162499999999,0.026278926798384478,5.1514631960852e+18,2.796934497125438e+18,41.345275862963895,0.0004195413589477539
19,0.1,15,500,500,Gaussian,0.8951212499999999,0.02053746496337227,4.738334358969286e+18,1.8811796638022866e+18,40.8767887506945,0.0005498933792114258
20,0.1,20,30,500,Gaussian,0.9379712499999999,0.05975746806606547,1.397498929421444e+33,2.168741491239097e+34,83.4784000358224,0.000416384220123291
21,0.1,20,50,500,Gaussian,0.9199862499999999,0.052829409875400524,9.232055651231312e+31,2.0560132291944508e+33,69.59404286569146,0.000474482536315918
22,0.1,20,100,500,Gaussian,0.9004825,0.04181164456215498,1.054765679718139e+28,2.327854721431448e+28,61.82761461266786,0.0004503960609436035
23,0.1,20,300,500,Gaussian,0.9028275,0.025630860320159033,3.487313863156466e+27,2.5652177715820785e+27,57.54036421112436,0.00048357152938842776
24,0.1,20,500,500,Gaussian,0.90101125,0.019964860593164907,2.713586311422182e+27,1.3022184897932256e+27,56.76070412592877,0.0005248088836669922
